team,p_R64,p_R32,p_S16,p_E8,p_F4,p_NCG,p_Champ
Duke,1.0,1.0,0.9924,0.912,0.8385,0.1438,0.0688
Connecticut,1.0,1.0,0.937,0.7133,0.1007,0.0043,0.0003
Michigan St.,1.0,0.9976,0.7207,0.2263,0.0149,0.0003,0.0
Kansas,1.0,0.9806,0.1609,0.0039,0.0008,0.0,0.0
St. John's,1.0,0.9984,0.8391,0.0833,0.0434,0.0014,0.0001
Louisville,1.0,0.9018,0.2747,0.0494,0.0015,0.0,0.0
UCLA,1.0,0.5698,0.0394,0.0069,0.0001,0.0,0.0
Ohio St.,1.0,0.3845,0.0023,0.0001,0.0,0.0,0.0
TCU,1.0,0.6155,0.0053,0.0007,0.0,0.0,0.0
UCF,1.0,0.4302,0.0236,0.0041,0.0001,0.0,0.0
South Florida,1.0,0.0982,0.0046,0.0,0.0,0.0,0.0
Northern Iowa,1.0,0.0016,0.0,0.0,0.0,0.0,0.0
Cal Baptist,1.0,0.0194,0.0,0.0,0.0,0.0,0.0
North Dakota St.,1.0,0.0024,0.0,0.0,0.0,0.0,0.0
Furman,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Siena,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,1.0,1.0,0.9986,0.9782,0.9695,0.8461,0.6717
Iowa St.,1.0,0.9991,0.7097,0.2412,0.0014,0.0,0.0
Virginia,1.0,0.9981,0.2027,0.0902,0.0002,0.0,0.0
Alabama,1.0,0.9992,0.9004,0.0212,0.0158,0.0028,0.0001
Texas Tech,1.0,0.9431,0.0992,0.0005,0.0002,0.0,0.0
Tennessee,1.0,0.9777,0.7955,0.6081,0.0125,0.0013,0.0001
Kentucky,1.0,0.7077,0.2413,0.0553,0.0004,0.0,0.0
Georgia,1.0,0.4704,0.0006,0.0,0.0,0.0,0.0
Saint Louis,1.0,0.5296,0.0008,0.0001,0.0,0.0,0.0
Santa Clara,1.0,0.2923,0.049,0.0051,0.0,0.0,0.0
Miami OH,1.0,0.0223,0.0018,0.0001,0.0,0.0,0.0
Akron,1.0,0.0569,0.0003,0.0,0.0,0.0,0.0
Hofstra,1.0,0.0008,0.0001,0.0,0.0,0.0,0.0
Wright St.,1.0,0.0019,0.0,0.0,0.0,0.0,0.0
Tennessee St.,1.0,0.0009,0.0,0.0,0.0,0.0,0.0
Howard,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,1.0,1.0,0.7362,0.4384,0.135,0.0099,0.0003
Houston,1.0,0.9999,0.9311,0.4252,0.2962,0.039,0.0013
Illinois,1.0,0.999,0.948,0.565,0.4339,0.0594,0.003
Nebraska,1.0,0.9982,0.3256,0.107,0.0136,0.0003,0.0
Vanderbilt,1.0,0.9467,0.6687,0.357,0.1058,0.0085,0.0003
North Carolina,1.0,0.4237,0.0173,0.0016,0.0001,0.0,0.0
Saint Mary's,1.0,0.4011,0.0228,0.0018,0.0003,0.0,0.0
Clemson,1.0,0.1595,0.0112,0.001,0.0,0.0,0.0
Iowa,1.0,0.8405,0.2526,0.0962,0.0143,0.0001,0.0
Texas A&M,1.0,0.5989,0.0461,0.0028,0.0005,0.0001,0.0
VCU,1.0,0.5763,0.0347,0.0036,0.0003,0.0,0.0
McNeese,1.0,0.0533,0.0057,0.0004,0.0,0.0,0.0
Troy,1.0,0.0018,0.0,0.0,0.0,0.0,0.0
Penn,1.0,0.001,0.0,0.0,0.0,0.0,0.0
Idaho,1.0,0.0001,0.0,0.0,0.0,0.0,0.0
Prairie View A&M,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,1.0,0.9999,0.984,0.9561,0.9139,0.8497,0.2532
Purdue,1.0,0.9998,0.9542,0.7509,0.0595,0.0263,0.0006
Gonzaga,1.0,0.999,0.7404,0.2031,0.0068,0.0011,0.0
Arkansas,1.0,0.9981,0.8253,0.0343,0.0163,0.0052,0.0002
Wisconsin,1.0,0.972,0.1742,0.0024,0.0004,0.0,0.0
BYU,1.0,0.3598,0.0674,0.0066,0.0001,0.0,0.0
Miami FL,1.0,0.687,0.0378,0.0073,0.0001,0.0,0.0
Villanova,1.0,0.3321,0.0033,0.0011,0.0002,0.0,0.0
Utah St.,1.0,0.6679,0.0127,0.0061,0.0022,0.0004,0.0
Missouri,1.0,0.313,0.008,0.001,0.0,0.0,0.0
Texas,1.0,0.6402,0.1922,0.0311,0.0005,0.0,0.0
High Point,1.0,0.028,0.0004,0.0,0.0,0.0,0.0
Hawaii,1.0,0.0019,0.0001,0.0,0.0,0.0,0.0
Kennesaw St.,1.0,0.001,0.0,0.0,0.0,0.0,0.0
Queens,1.0,0.0002,0.0,0.0,0.0,0.0,0.0
LIU,1.0,0.0001,0.0,0.0,0.0,0.0,0.0
