season,actual_seed_score,actual_model_score,expected_seed_score,expected_model_score,diff_actual,diff_expected
2010,620,1050,838.7900000000001,1222.8660000000002,430,384.07600000000014
2011,570,660,757.7400000000001,1343.8120000000004,90,586.0720000000002
2012,720,1480,740.7060000000002,1292.67,760,551.9639999999998
2013,800,1680,673.8840000000001,1091.96,880,418.0759999999999
2014,680,1230,763.962,1036.8379999999997,550,272.87599999999975
2015,1050,1070,1213.2779999999998,1509.0579999999998,20,295.78
2016,710,1420,757.5079999999999,1271.9040000000002,710,514.3960000000003
2017,980,740,838.61,1107.254,-240,268.6439999999999
2018,650,1280,784.71,1305.034,630,520.3240000000001
2019,760,1700,851.536,1270.2479999999998,940,418.7119999999999
2022,780,1120,770.7059999999999,1039.294,340,268.5880000000002
2023,470,1200,654.802,1070.0500000000002,730,415.24800000000016
2024,890,1290,852.668,1318.688,400,466.0200000000001
2025,1730,1340,1247.3440000000003,1353.3280000000004,-390,105.98400000000015
2026,1000,1570,1294.0420000000001,1524.9219999999998,570,230.87999999999965
