Season,Round,TeamA,TeamB,SeedA,SeedB,label,AdjEM_A,AdjEM_B,d_AdjEM,AdjO_A,AdjO_B,d_AdjO,AdjD_A,AdjD_B,d_AdjD,AdjT_A,AdjT_B,d_AdjT,Luck_A,Luck_B,d_Luck,SOS-AdjEM_A,SOS-AdjEM_B,d_SOS-AdjEM,NCSOS-AdjEM_A,NCSOS-AdjEM_B,d_NCSOS-AdjEM,Momentum_A,Momentum_B,d_Momentum,OffEFG_A,OffEFG_B,d_OffEFG,DefEFG_A,DefEFG_B,d_DefEFG,d_Seed
2010,First Round,Kentucky,East Tennessee St.,1,16,1,26.54,2.47,24.07,114.9,100.9,14.0,88.3,98.4,-10.100000000000009,68.3,66.8,1.5,0.06,-0.004,0.064,7.06,-1.26,8.32,-1.28,8.97,-10.25,7.992883864929439,13.328279152373224,-5.335395287443784,53.1,47.7,5.399999999999999,43.1,48.6,-5.5,-15
2010,First Round,East Tennessee St.,Kentucky,16,1,0,2.47,26.54,-24.07,100.9,114.9,-14.0,98.4,88.3,10.100000000000009,66.8,68.3,-1.5,-0.004,0.06,-0.064,-1.26,7.06,-8.32,8.97,-1.28,10.25,13.328279152373224,7.992883864929439,5.335395287443784,47.7,53.1,-5.399999999999999,48.6,43.1,5.5,15
2010,First Round,Wake Forest,Texas,9,8,1,14.12,20.75,-6.630000000000001,107.1,113.9,-6.800000000000011,93.0,93.1,-0.09999999999999432,68.7,71.5,-2.799999999999997,0.067,-0.014,0.081,10.51,9.01,1.5,-0.82,-1.32,0.5000000000000001,19.242857546207432,11.735488100163169,7.5073694460442635,47.0,51.1,-4.100000000000001,43.8,44.9,-1.1000000000000014,1
2010,First Round,Texas,Wake Forest,8,9,0,20.75,14.12,6.630000000000001,113.9,107.1,6.800000000000011,93.1,93.0,0.09999999999999432,71.5,68.7,2.799999999999997,-0.014,0.067,-0.081,9.01,10.51,-1.5,-1.32,-0.82,-0.5000000000000001,11.735488100163169,19.242857546207432,-7.5073694460442635,51.1,47.0,4.100000000000001,44.9,43.8,1.1000000000000014,-1
2010,First Round,Cornell,Temple,12,5,1,15.92,20.12,-4.200000000000001,117.4,107.8,9.600000000000009,101.5,87.7,13.799999999999997,63.9,60.4,3.5,0.068,0.076,-0.007999999999999993,-0.66,6.07,-6.73,4.12,5.68,-1.5599999999999996,11.770165064837656,9.113600772935758,2.6565642919018977,56.6,49.1,7.5,48.1,43.0,5.100000000000001,7
2010,First Round,Temple,Cornell,5,12,0,20.12,15.92,4.200000000000001,107.8,117.4,-9.600000000000009,87.7,101.5,-13.799999999999997,60.4,63.9,-3.5,0.076,0.068,0.007999999999999993,6.07,-0.66,6.73,5.68,4.12,1.5599999999999996,9.113600772935758,11.770165064837656,-2.6565642919018977,49.1,56.6,-7.5,43.0,48.1,-5.100000000000001,-7
2010,First Round,Wisconsin,Wofford,4,13,1,23.56,10.12,13.44,115.2,104.6,10.600000000000009,91.6,94.4,-2.8000000000000114,59.2,63.5,-4.299999999999997,-0.013,-0.023,0.01,8.69,-1.55,10.24,1.01,4.23,-3.2200000000000006,11.72670858432004,5.34518258885112,6.38152599546892,51.4,49.1,2.299999999999997,46.8,46.5,0.29999999999999716,-9
2010,First Round,Wofford,Wisconsin,13,4,0,10.12,23.56,-13.44,104.6,115.2,-10.600000000000009,94.4,91.6,2.8000000000000114,63.5,59.2,4.299999999999997,-0.023,-0.013,-0.01,-1.55,8.69,-10.24,4.23,1.01,3.2200000000000006,5.34518258885112,11.72670858432004,-6.38152599546892,49.1,51.4,-2.299999999999997,46.5,46.8,-0.29999999999999716,9
2010,First Round,Washington,Marquette,11,6,1,18.19,19.65,-1.4599999999999973,111.7,115.1,-3.3999999999999915,93.6,95.5,-1.9000000000000057,71.7,62.3,9.400000000000006,0.029,-0.064,0.093,6.97,9.05,-2.080000000000001,1.13,-6.52,7.6499999999999995,11.403201679433174,7.791091479480425,3.612110199952749,49.7,52.8,-3.0999999999999943,46.5,49.7,-3.200000000000003,5
2010,First Round,Marquette,Washington,6,11,0,19.65,18.19,1.4599999999999973,115.1,111.7,3.3999999999999915,95.5,93.6,1.9000000000000057,62.3,71.7,-9.400000000000006,-0.064,0.029,-0.093,9.05,6.97,2.080000000000001,-6.52,1.13,-7.6499999999999995,7.791091479480425,11.403201679433174,-3.612110199952749,52.8,49.7,3.0999999999999943,49.7,46.5,3.200000000000003,-5
2010,First Round,New Mexico,Montana,3,14,1,16.18,8.08,8.1,113.6,106.5,7.099999999999994,97.4,98.4,-1.0,67.4,62.0,5.400000000000006,0.096,-0.042,0.138,4.09,-2.21,6.3,1.85,-0.86,2.71,3.4294835481905253,7.519136410782524,-4.089652862591999,50.6,54.2,-3.6000000000000014,49.5,47.6,1.8999999999999986,-11
2010,First Round,Montana,New Mexico,14,3,0,8.08,16.18,-8.1,106.5,113.6,-7.099999999999994,98.4,97.4,1.0,62.0,67.4,-5.400000000000006,-0.042,0.096,-0.138,-2.21,4.09,-6.3,-0.86,1.85,-2.71,7.519136410782524,3.4294835481905253,4.089652862591999,54.2,50.6,3.6000000000000014,47.6,49.5,-1.8999999999999986,11
2010,First Round,Missouri,Clemson,10,7,1,19.99,19.28,0.7099999999999973,111.5,110.9,0.5999999999999943,91.5,91.6,-0.09999999999999432,68.8,67.6,1.2000000000000028,-0.035,-0.041,0.005999999999999998,8.17,8.76,-0.5899999999999999,-6.1,-2.85,-3.2499999999999996,14.762060642174983,9.67976664247653,5.082293999698454,50.1,51.1,-1.0,45.9,46.4,-0.5,3
