Seed,R64,R32,S16,E8,F4,NCG
1,0.9702500000000001,0.89925,0.7567499999999999,0.52475,0.317,0.17300000000000001
2,0.958,0.8122499999999999,0.6025,0.248,0.10825,0.0455
3,0.88725,0.5845,0.20350000000000001,0.068,0.02125,0.008
4,0.8552500000000001,0.53325,0.1105,0.04675,0.01425,0.00575
5,0.685,0.31299999999999994,0.05925,0.023250000000000003,0.008,0.003
6,0.7315,0.2985,0.08775000000000001,0.02775,0.009250000000000001,0.0034999999999999996
7,0.59575,0.1125,0.050499999999999996,0.01425,0.00425,0.002
8,0.53,0.05125,0.022000000000000002,0.0085,0.003,0.0015
9,0.47025,0.0355,0.014750000000000001,0.00525,0.002,0.001
10,0.40425,0.0575,0.02175,0.006500000000000001,0.0025,0.00125
11,0.2685,0.08199999999999999,0.01625,0.00525,0.002,0.00125
12,0.315,0.109,0.020499999999999997,0.0075,0.0027500000000000003,0.0015000000000000002
13,0.14475,0.04475,0.0085,0.0032500000000000003,0.00125,0.001
14,0.11275,0.0355,0.008,0.003,0.00125,0.0007500000000000001
15,0.042249999999999996,0.01775,0.00975,0.003,0.00125,0.001
16,0.03,0.013999999999999999,0.008,0.005,0.0025,0.001
