Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2010,east,First Round,2010-03-18,Kentucky,1,100,East Tennessee St.,16,71
2010,east,First Round,2010-03-18,Wake Forest,9,81,Texas,8,80
2010,east,First Round,2010-03-19,Cornell,12,78,Temple,5,65
2010,east,First Round,2010-03-19,Wisconsin,4,53,Wofford,13,49
2010,east,First Round,2010-03-18,Washington,11,80,Marquette,6,78
2010,east,First Round,2010-03-18,New Mexico,3,62,Montana,14,57
2010,east,First Round,2010-03-19,Missouri,10,86,Clemson,7,78
2010,east,First Round,2010-03-19,West Virginia,2,77,Morgan St.,15,50
2010,east,Second Round,2010-03-20,Kentucky,1,90,Wake Forest,9,60
2010,east,Second Round,2010-03-21,Cornell,12,87,Wisconsin,4,69
2010,east,Second Round,2010-03-20,Washington,11,82,New Mexico,3,64
2010,east,Second Round,2010-03-21,West Virginia,2,68,Missouri,10,59
2010,east,Sweet 16,2010-03-25,Kentucky,1,62,Cornell,12,45
2010,east,Sweet 16,2010-03-25,West Virginia,2,69,Washington,11,56
2010,east,Elite 8,2010-03-27,West Virginia,2,73,Kentucky,1,66
2010,midwest,First Round,2010-03-18,Kansas,1,90,Lehigh,16,74
2010,midwest,First Round,2010-03-18,Northern Iowa,9,69,UNLV,8,66
2010,midwest,First Round,2010-03-19,Michigan St.,5,70,New Mexico St.,12,67
2010,midwest,First Round,2010-03-19,Maryland,4,89,Houston,13,77
2010,midwest,First Round,2010-03-18,Tennessee,6,62,San Diego St.,11,59
2010,midwest,First Round,2010-03-18,Ohio,14,97,Georgetown,3,83
2010,midwest,First Round,2010-03-19,Georgia Tech,10,64,Oklahoma St.,7,59
2010,midwest,First Round,2010-03-19,Ohio St.,2,68,UC Santa Barbara,15,51
2010,midwest,Second Round,2010-03-20,Northern Iowa,9,69,Kansas,1,67
2010,midwest,Second Round,2010-03-21,Michigan St.,5,85,Maryland,4,83
2010,midwest,Second Round,2010-03-20,Tennessee,6,83,Ohio,14,68
2010,midwest,Second Round,2010-03-21,Ohio St.,2,75,Georgia Tech,10,66
2010,midwest,Sweet 16,2010-03-26,Michigan St.,5,59,Northern Iowa,9,52
2010,midwest,Sweet 16,2010-03-26,Tennessee,6,76,Ohio St.,2,73
2010,midwest,Elite 8,2010-03-28,Michigan St.,5,70,Tennessee,6,69
2010,south,First Round,2010-03-19,Duke,1,73,Arkansas Pine Bluff,16,44
2010,south,First Round,2010-03-19,California,8,77,Louisville,9,62
2010,south,First Round,2010-03-19,Texas A&M,5,69,Utah St.,12,53
2010,south,First Round,2010-03-19,Purdue,4,72,Siena,13,64
2010,south,First Round,2010-03-18,Old Dominion,11,51,Notre Dame,6,50
2010,south,First Round,2010-03-18,Baylor,3,68,Sam Houston,14,59
2010,south,First Round,2010-03-18,Saint Mary's,10,80,Richmond,7,71
2010,south,First Round,2010-03-18,Villanova,2,73,Robert Morris,15,70
2010,south,Second Round,2010-03-21,Duke,1,68,California,8,53
2010,south,Second Round,2010-03-21,Purdue,4,63,Texas A&M,5,61
2010,south,Second Round,2010-03-20,Baylor,3,76,Old Dominion,11,68
2010,south,Second Round,2010-03-20,Saint Mary's,10,75,Villanova,2,68
2010,south,Sweet 16,2010-03-26,Duke,1,70,Purdue,4,57
2010,south,Sweet 16,2010-03-26,Baylor,3,72,Saint Mary's,10,49
2010,south,Elite 8,2010-03-28,Duke,1,78,Baylor,3,71
2010,west,First Round,2010-03-19,Syracuse,1,79,Vermont,16,56
2010,west,First Round,2010-03-19,Gonzaga,8,67,Florida St.,9,60
2010,west,First Round,2010-03-18,Butler,5,77,UTEP,12,59
2010,west,First Round,2010-03-18,Murray St.,13,66,Vanderbilt,4,65
2010,west,First Round,2010-03-19,Xavier,6,65,Minnesota,11,54
2010,west,First Round,2010-03-19,Pittsburgh,3,89,Oakland,14,66
2010,west,First Round,2010-03-18,BYU,7,99,Florida,10,92
2010,west,First Round,2010-03-18,Kansas St.,2,82,North Texas,15,62
2010,west,Second Round,2010-03-21,Syracuse,1,87,Gonzaga,8,65
2010,west,Second Round,2010-03-20,Butler,5,54,Murray St.,13,52
2010,west,Second Round,2010-03-21,Xavier,6,71,Pittsburgh,3,68
2010,west,Second Round,2010-03-20,Kansas St.,2,84,BYU,7,72
2010,west,Sweet 16,2010-03-25,Butler,5,63,Syracuse,1,59
2010,west,Sweet 16,2010-03-25,Kansas St.,2,101,Xavier,6,96
2010,west,Elite 8,2010-03-27,Butler,5,63,Kansas St.,2,56
2010,national,Final Four,2010-04-03,Duke,1,78,West Virginia,2,57
2010,national,Final Four,2010-04-03,Butler,5,52,Michigan St.,5,50
2010,national,Championship,2010-04-05,Duke,1,61,Butler,5,59
2011,east,First Round,2011-03-18,Ohio St.,1,75,UTSA,16,46
2011,east,First Round,2011-03-18,George Mason,8,61,Villanova,9,57
2011,east,First Round,2011-03-17,West Virginia,5,84,Clemson,12,76
2011,east,First Round,2011-03-17,Kentucky,4,59,Princeton,13,57
2011,east,First Round,2011-03-18,Marquette,11,66,Xavier,6,55
2011,east,First Round,2011-03-18,Syracuse,3,77,Indiana St.,14,60
2011,east,First Round,2011-03-18,Washington,7,68,Georgia,10,65
2011,east,First Round,2011-03-18,North Carolina,2,102,LIU,15,87
2011,east,Second Round,2011-03-20,Ohio St.,1,98,George Mason,8,66
2011,east,Second Round,2011-03-19,Kentucky,4,71,West Virginia,5,63
2011,east,Second Round,2011-03-20,Marquette,11,66,Syracuse,3,62
2011,east,Second Round,2011-03-20,North Carolina,2,86,Washington,7,83
2011,east,Sweet 16,2011-03-25,Kentucky,4,62,Ohio St.,1,60
2011,east,Sweet 16,2011-03-25,North Carolina,2,81,Marquette,11,63
2011,east,Elite 8,2011-03-27,Kentucky,4,76,North Carolina,2,69
2011,southeast,First Round,2011-03-17,Pittsburgh,1,74,UNC Asheville,16,51
2011,southeast,First Round,2011-03-17,Butler,8,60,Old Dominion,9,58
2011,southeast,First Round,2011-03-17,Kansas St.,5,73,Utah St.,12,68
2011,southeast,First Round,2011-03-17,Wisconsin,4,72,Belmont,13,58
2011,southeast,First Round,2011-03-17,Gonzaga,11,86,St. John's,6,71
2011,southeast,First Round,2011-03-17,BYU,3,74,Wofford,14,66
2011,southeast,First Round,2011-03-17,UCLA,7,78,Michigan St.,10,76
2011,southeast,First Round,2011-03-17,Florida,2,79,UC Santa Barbara,15,51
2011,southeast,Second Round,2011-03-19,Butler,8,71,Pittsburgh,1,70
2011,southeast,Second Round,2011-03-19,Wisconsin,4,70,Kansas St.,5,65
2011,southeast,Second Round,2011-03-19,BYU,3,89,Gonzaga,11,67
2011,southeast,Second Round,2011-03-19,Florida,2,73,UCLA,7,65
2011,southeast,Sweet 16,2011-03-24,Butler,8,61,Wisconsin,4,54
2011,southeast,Sweet 16,2011-03-24,Florida,2,83,BYU,3,74
2011,southeast,Elite 8,2011-03-26,Butler,8,74,Florida,2,71
2011,southwest,First Round,2011-03-18,Kansas,1,72,Boston University,16,53
2011,southwest,First Round,2011-03-18,Illinois,9,73,UNLV,8,62
2011,southwest,First Round,2011-03-17,Richmond,12,69,Vanderbilt,5,66
2011,southwest,First Round,2011-03-17,Morehead St.,13,62,Louisville,4,61
2011,southwest,First Round,2011-03-18,VCU,11,74,Georgetown,6,56
2011,southwest,First Round,2011-03-18,Purdue,3,65,Saint Peter's,14,43
2011,southwest,First Round,2011-03-18,Florida St.,10,57,Texas A&M,7,50
2011,southwest,First Round,2011-03-18,Notre Dame,2,69,Akron,15,56
2011,southwest,Second Round,2011-03-20,Kansas,1,73,Illinois,9,59
2011,southwest,Second Round,2011-03-19,Richmond,12,65,Morehead St.,13,48
2011,southwest,Second Round,2011-03-20,VCU,11,94,Purdue,3,76
2011,southwest,Second Round,2011-03-20,Florida St.,10,71,Notre Dame,2,57
2011,southwest,Sweet 16,2011-03-25,Kansas,1,77,Richmond,12,57
2011,southwest,Sweet 16,2011-03-25,VCU,11,72,Florida St.,10,71
2011,southwest,Elite 8,2011-03-27,VCU,11,71,Kansas,1,61
2011,west,First Round,2011-03-18,Duke,1,87,Hampton,16,45
2011,west,First Round,2011-03-18,Michigan,8,75,Tennessee,9,45
2011,west,First Round,2011-03-18,Arizona,5,77,Memphis,12,75
2011,west,First Round,2011-03-18,Texas,4,85,Oakland,13,81
2011,west,First Round,2011-03-17,Cincinnati,6,78,Missouri,11,63
2011,west,First Round,2011-03-17,Connecticut,3,81,Bucknell,14,52
2011,west,First Round,2011-03-17,Temple,7,66,Penn St.,10,64
2011,west,First Round,2011-03-17,San Diego St.,2,68,Northern Colorado,15,50
2011,west,Second Round,2011-03-20,Duke,1,73,Michigan,8,71
2011,west,Second Round,2011-03-20,Arizona,5,70,Texas,4,69
2011,west,Second Round,2011-03-19,Connecticut,3,69,Cincinnati,6,58
2011,west,Second Round,2011-03-19,San Diego St.,2,71,Temple,7,64
2011,west,Sweet 16,2011-03-24,Arizona,5,93,Duke,1,77
2011,west,Sweet 16,2011-03-24,Connecticut,3,74,San Diego St.,2,67
2011,west,Elite 8,2011-03-26,Connecticut,3,65,Arizona,5,63
2011,national,Final Four,2011-04-02,Connecticut,3,56,Kentucky,4,55
