Year,Round,Seed,Team,Percent
2019,R64,1,Duke,97.5
2019,R32,1,Duke,94.0
2019,S16,1,Duke,86.3
2019,E8,1,Duke,68.7
2019,F4,1,Duke,53.6
2019,NCG,1,Duke,36.1
2019,R64,1,North Carolina,97.1
2019,R32,1,North Carolina,92.2
2019,S16,1,North Carolina,77.5
2019,E8,1,North Carolina,56.2
2019,F4,1,North Carolina,36.6
2019,NCG,1,North Carolina,15.8
2019,R64,1,Gonzaga,96.9
2019,R32,1,Virginia,89.6
2019,S16,1,Virginia,74.6
2019,E8,1,Virginia,42.6
2019,F4,1,Virginia,21.0
2019,NCG,1,Gonzaga,8.9
2019,R64,1,Virginia,96.6
2019,R32,1,Gonzaga,83.9
2019,S16,2,Michigan State,66.1
2019,E8,1,Gonzaga,42.4
2019,F4,1,Gonzaga,15.6
2019,NCG,1,Virginia,8.4
2019,R64,2,Kentucky,96.3
2019,R32,2,Kentucky,83.7
2019,S16,1,Gonzaga,64.3
2019,E8,2,Tennessee,32.0
2019,F4,2,Kentucky,13.1
2019,NCG,2,Michigan State,5.3
2019,R64,2,Michigan State,95.8
2019,R32,2,Michigan State,82.8
2019,S16,2,Kentucky,62.1
2019,E8,2,Michigan,26.3
2019,F4,2,Tennessee,12.2
2019,NCG,2,Kentucky,5.2
2019,R64,2,Tennessee,95.6
2019,R32,2,Tennessee,81.1
2019,S16,2,Tennessee,58.1
2019,E8,2,Kentucky,22.3
2019,F4,2,Michigan State,11.1
2019,NCG,2,Tennessee,4.4
2019,R64,2,Michigan,95.5
2019,R32,2,Michigan,77.3
2019,S16,2,Michigan,54.7
2019,E8,2,Michigan State,18.6
2019,F4,2,Michigan,6.9
2019,NCG,2,Michigan,3.3
2019,R64,3,Texas Tech,91.7
2019,R32,3,Texas Tech,66.1
2019,S16,3,Texas Tech,25.9
2019,E8,3,Texas Tech,10.3
2019,F4,3,Houston,2.5
2019,NCG,3,Texas Tech,0.9
2019,R64,3,Houston,90.7
2019,R32,4,Virginia Tech,64.8
2019,S16,3,Houston,19.7
2019,E8,4,Florida St,8.7
2019,F4,3,Purdue,2.2
2019,NCG,4,Kansas,0.9
2019,R64,3,Purdue,89.7
2019,R32,4,Florida St,58.8
2019,S16,4,Florida St,19.2
2019,E8,3,Purdue,7.2
2019,F4,3,Texas Tech,2.2
2019,NCG,3,Houston,0.8
2019,R64,4,Kansas,88.5
2019,R32,3,Houston,58.7
2019,S16,3,LSU,18.1
2019,E8,6,Villanova,6.2
2019,F4,4,Kansas,2.1
2019,NCG,3,Purdue,0.8
2019,R64,4,Florida St,87.8
2019,R32,3,LSU,58.6
2019,S16,3,Purdue,17.7
2019,E8,3,Houston,6.1
2019,F4,6,Villanova,2.0
2019,NCG,6,Villanova,0.7
2019,R64,4,Virginia Tech,87.2
2019,R32,3,Purdue,50.4
