Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Fri Nov 13,,92,Colorado,"L, 88-72",77,Away,0-1,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sun Nov 15,,192,Denver,"L, 75-56",54,Away,0-2,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Wed Nov 18,,42,UTEP,"L, 70-52",64,Away,0-3,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Fri Nov 27,,121,Akron,"L, 68-65",69,Away,0-4,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Nov 30,,52,Arizona St.,"L, 74-57",63,Away,0-5,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Dec 5,,70,Michigan,"L, 67-53",67,Away,0-6,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sun Dec 13,,39,Oklahoma St.,"L, 81-66",67,Away,0-7,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Wed Dec 16,,31,Georgia Tech,"L, 65-53",73,Away,0-8,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Dec 19,,22,Missouri,"L, 88-70",76,Away,0-9,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Dec 21,,6,Kansas St.,"L, 90-76",71,Away,0-10,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Dec 28,,129,Oregon,"L, 73-53",69,Away,0-11,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Jan 4,,328,Mississippi Valley St.,"W, 69-68",69,Semi-Away,1-11,1-0,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Jan 9,,327,Alabama A&M,"W, 82-72",78,Away,2-11,2-0,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Jan 11,,289,Alabama St.,"L, 75-73",73,Away,2-12,2-1,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Jan 16,,345,Southern,"W, 64-51",68,Home,3-12,3-1,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Jan 18,,347,Alcorn St.,"W, 93-59",76,Home,4-12,4-1,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Jan 23,,310,Prairie View A&M,"W, 62-54",66,Away,5-12,5-1,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Jan 25,,267,Texas Southern,"L, 70-67",77,Away,5-13,5-2,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Jan 30,,344,Grambling St.,"W, 92-69",85,Home,6-13,6-2,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Feb 1,,274,Jackson St.,"L, 72-67",72,Home,6-14,6-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Feb 6,,327,Alabama A&M,"W, 62-55",66,Home,7-14,7-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Feb 8,,289,Alabama St.,"W, 47-42",62,Home,8-14,8-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Feb 13,,345,Southern,"W, 66-62",68,Away,9-14,9-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Feb 15,,347,Alcorn St.,"W, 59-45",68,Away,10-14,10-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Feb 20,,310,Prairie View A&M,"W, 57-55",66,Home,11-14,11-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Feb 22,,267,Texas Southern,"W, 57-53",67,Home,12-14,12-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Feb 27,,344,Grambling St.,"W, 68-56",72,Away,13-14,13-3,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Mon Mar 1,,274,Jackson St.,"L, 57-54",61,Away,13-15,13-4,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Thu Mar 4,,328,Mississippi Valley St.,"W, 84-68",68,Home,14-15,14-4,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Wed Mar 10,,328,Mississippi Valley St.,"W, 69-66",71,Neutral,15-15,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Fri Mar 12,,289,Alabama St.,"W, 46-44",58,Neutral,16-15,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Sat Mar 13,,267,Texas Southern,"W, 50-38",61,Neutral,17-15,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Tue Mar 16,,225,Winthrop,"W, 61-44",57,Neutral,18-15,,
2010,Arkansas Pine Bluff,Arkansas Pine Bluff,Fri Mar 19,,1,Duke,"L, 73-44",63,Neutral,18-16,,
