Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Cornell,Cornell,Sat Nov 14,,63,Alabama,"W, 71-67",63,Away,1-0,,
2010,Cornell,Cornell,Wed Nov 18,,167,Massachusetts,"W, 74-61",68,Away,2-0,,
2010,Cornell,Cornell,Fri Nov 20,,66,Seton Hall,"L, 89-79",71,Home,2-1,,
2010,Cornell,Cornell,Tue Nov 24,,3,Syracuse,"L, 88-73",69,Away,2-2,,
2010,Cornell,Cornell,Fri Nov 27,,325,Toledo,"W, 78-60",70,Neutral,3-2,,
2010,Cornell,Cornell,Sat Nov 28,,136,Vermont,"W, 67-59",67,Neutral,4-2,,
2010,Cornell,Cornell,Sun Nov 29,,145,Drexel,"W, 61-54",59,Away,5-2,,
2010,Cornell,Cornell,Wed Dec 2,,246,Bucknell,"W, 104-98",79,Away,6-2,,
2010,Cornell,Cornell,Sun Dec 6,,173,Saint Joseph's,"W, 78-66",72,Home,7-2,,
2010,Cornell,Cornell,Sun Dec 20,,190,Davidson,"W, 91-88",79,Neutral,8-2,,
2010,Cornell,Cornell,Mon Dec 21,,67,St. John's,"W, 71-66",59,Away,9-2,,
2010,Cornell,Cornell,Tue Dec 29,,160,La Salle,"W, 78-75",71,Away,10-2,,
2010,Cornell,Cornell,Thu Dec 31,,NR,Penn St. Behrend,"W, 73-49",59,Home,11-2,,
2010,Cornell,Cornell,Sat Jan 2,,346,Bryant,"W, 75-49",67,Home,12-2,,
2010,Cornell,Cornell,Wed Jan 6,,2,Kansas,"L, 71-66",69,Away,12-3,,
2010,Cornell,Cornell,Fri Jan 8,,247,South Dakota,"W, 71-65",65,Away,13-3,,
2010,Cornell,Cornell,Mon Jan 11,,NR,Clarkson,"W, 82-37",65,Home,14-3,,
2010,Cornell,Cornell,Sat Jan 16,,297,Columbia,"W, 74-53",70,Home,15-3,1-0,
2010,Cornell,Cornell,Sat Jan 23,,297,Columbia,"W, 77-51",73,Away,16-3,2-0,
2010,Cornell,Cornell,Fri Jan 29,,341,Dartmouth,"W, 71-37",66,Home,17-3,3-0,
2010,Cornell,Cornell,Sat Jan 30,,111,Harvard,"W, 86-50",66,Home,18-3,4-0,
2010,Cornell,Cornell,Fri Feb 5,,263,Yale,"W, 90-71",66,Home,19-3,5-0,
2010,Cornell,Cornell,Sat Feb 6,,284,Brown,"W, 74-60",65,Home,20-3,6-0,
2010,Cornell,Cornell,Fri Feb 12,,308,Penn,"L, 79-64",59,Away,20-4,6-1,
2010,Cornell,Cornell,Sat Feb 13,,120,Princeton,"W, 48-45",52,Away,21-4,7-1,
2010,Cornell,Cornell,Fri Feb 19,,111,Harvard,"W, 79-70",63,Away,22-4,8-1,
2010,Cornell,Cornell,Sat Feb 20,,341,Dartmouth,"W, 88-70",62,Away,23-4,9-1,
2010,Cornell,Cornell,Fri Feb 26,,120,Princeton,"W, 50-47",53,Home,24-4,10-1,
2010,Cornell,Cornell,Sat Feb 27,,308,Penn,"W, 68-48",63,Home,25-4,11-1,
2010,Cornell,Cornell,Fri Mar 5,,284,Brown,"W, 95-76",70,Away,26-4,12-1,
2010,Cornell,Cornell,Sat Mar 6,,263,Yale,"W, 79-59",61,Away,27-4,13-1,
2010,Cornell,Cornell,Fri Mar 19,,21,Temple,"W, 78-65",60,Neutral,28-4,,
2010,Cornell,Cornell,Sun Mar 21,,9,Wisconsin,"W, 87-69",61,Neutral,29-4,,
2010,Cornell,Cornell,Thu Mar 25,,4,Kentucky,"L, 62-45",63,Neutral,29-5,,
