Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,East Tennessee St.,East Tennessee St.,Sat Nov 14,,109,Appalachian St.,"W, 62-58",71,Home,1-0,,
2010,East Tennessee St.,East Tennessee St.,Tue Nov 17,,248,Chattanooga,"L, 85-76",79,Away,1-1,,
2010,East Tennessee St.,East Tennessee St.,Thu Nov 19,,156,Morgan St.,"L, 72-61",66,Away,1-2,,
2010,East Tennessee St.,East Tennessee St.,Sat Nov 21,,38,Louisville,"L, 69-56",70,Away,1-3,,
2010,East Tennessee St.,East Tennessee St.,Wed Nov 25,,151,College of Charleston,"W, 77-71",70,Home,2-3,,
2010,East Tennessee St.,East Tennessee St.,Fri Nov 27,,119,Arkansas,"W, 94-85",70,Away,3-3,,
2010,East Tennessee St.,East Tennessee St.,Sun Nov 29,,266,North Florida,"W, 82-56",69,Home,4-3,1-0,
2010,East Tennessee St.,East Tennessee St.,Wed Dec 2,,30,Tennessee,"L, 78-66",64,Away,4-4,,
2010,East Tennessee St.,East Tennessee St.,Fri Dec 4,,62,UAB,"L, 74-52",69,Away,4-5,,
2010,East Tennessee St.,East Tennessee St.,Thu Dec 10,,NR,North Georgia,"W, 75-71",76,Home,5-5,,
2010,East Tennessee St.,East Tennessee St.,Sat Dec 12,,53,Murray St.,"L, 61-57",74,Home,5-6,,
2010,East Tennessee St.,East Tennessee St.,Fri Dec 18,,102,Morehead St.,"L, 60-58",68,Away,5-7,,
2010,East Tennessee St.,East Tennessee St.,Mon Dec 21,,144,Jacksonville,"W, 93-70",72,Home,6-7,2-0,
2010,East Tennessee St.,East Tennessee St.,Mon Jan 4,,277,USC Upstate,"W, 63-62",72,Away,7-7,3-0,
2010,East Tennessee St.,East Tennessee St.,Thu Jan 7,,268,Kennesaw St.,"W, 63-46",66,Away,8-7,4-0,
2010,East Tennessee St.,East Tennessee St.,Sat Jan 9,,205,Mercer,"L, 83-78",75,Away,8-8,4-1,
2010,East Tennessee St.,East Tennessee St.,Thu Jan 14,,332,Stetson,"L, 54-52",60,Home,8-9,4-2,
2010,East Tennessee St.,East Tennessee St.,Sat Jan 16,,301,Florida Gulf Coast,"W, 73-51",74,Home,9-9,5-2,
2010,East Tennessee St.,East Tennessee St.,Thu Jan 21,,172,Lipscomb,"W, 71-69",63,Away,10-9,6-2,
2010,East Tennessee St.,East Tennessee St.,Sat Jan 23,,132,Belmont,"L, 100-89",78,Away,10-10,6-3,
2010,East Tennessee St.,East Tennessee St.,Wed Jan 27,,163,Campbell,"W, 72-57",66,Home,11-10,7-3,
2010,East Tennessee St.,East Tennessee St.,Sat Jan 30,,172,Lipscomb,"L, 85-84",78,Home,11-11,7-4,
2010,East Tennessee St.,East Tennessee St.,Mon Feb 1,,132,Belmont,"L, 74-67",74,Home,11-12,7-5,
2010,East Tennessee St.,East Tennessee St.,Thu Feb 4,,301,Florida Gulf Coast,"W, 56-47",62,Away,12-12,8-5,
2010,East Tennessee St.,East Tennessee St.,Sat Feb 6,,332,Stetson,"W, 75-60",63,Away,13-12,9-5,
2010,East Tennessee St.,East Tennessee St.,Fri Feb 12,,268,Kennesaw St.,"W, 66-45",63,Home,14-12,10-5,
2010,East Tennessee St.,East Tennessee St.,Sun Feb 14,,205,Mercer,"L, 82-77",76,Home,14-13,10-6,
2010,East Tennessee St.,East Tennessee St.,Fri Feb 19,,163,Campbell,"L, 79-57",68,Away,14-14,10-7,
2010,East Tennessee St.,East Tennessee St.,Sun Feb 21,,277,USC Upstate,"W, 63-56",68,Home,15-14,11-7,
2010,East Tennessee St.,East Tennessee St.,Thu Feb 25,,266,North Florida,"W, 61-46",64,Away,16-14,12-7,
2010,East Tennessee St.,East Tennessee St.,Sat Feb 27,,144,Jacksonville,"W, 64-62",64,Away,17-14,13-7,
2010,East Tennessee St.,East Tennessee St.,Thu Mar 4,,163,Campbell,"W, 72-64",66,Neutral,18-14,,
2010,East Tennessee St.,East Tennessee St.,Fri Mar 5,,268,Kennesaw St.,"W, 69-64",66,Neutral,19-14,,
2010,East Tennessee St.,East Tennessee St.,Sat Mar 6,,205,Mercer,"W, 72-66",66,Away,20-14,,
2010,East Tennessee St.,East Tennessee St.,Thu Mar 18,,4,Kentucky,"L, 100-71",80,Neutral,20-15,,
