Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Florida,Florida,Sun Nov 15,,332,Stetson,"W, 74-46",72,Home,1-0,,
2010,Florida,Florida,Wed Nov 18,,300,Georgia Southern,"W, 69-49",66,Home,2-0,,
2010,Florida,Florida,Fri Nov 20,,180,Troy,"W, 80-58",68,Home,3-0,,
2010,Florida,Florida,Tue Nov 24,,33,Florida St.,"W, 68-52",71,Home,4-0,,
2010,Florida,Florida,Fri Nov 27,,20,Michigan St.,"W, 77-74",72,Neutral,5-0,,
2010,Florida,Florida,Sat Nov 28,,159,Rutgers,"W, 73-58",64,Semi-Away,6-0,,
2010,Florida,Florida,Tue Dec 1,,333,Florida A&M,"W, 80-59",75,Home,7-0,,
2010,Florida,Florida,Fri Dec 4,,144,Jacksonville,"W, 85-67",67,Away,8-0,,
2010,Florida,Florida,Thu Dec 10,,3,Syracuse,"L, 85-73",74,Semi-Home,8-1,,
2010,Florida,Florida,Sat Dec 19,,54,Richmond,"L, 56-53",61,Semi-Home,8-2,,
2010,Florida,Florida,Tue Dec 22,,251,South Alabama,"L, 67-66",64,Home,8-3,,
2010,Florida,Florida,Mon Dec 28,,294,American,"W, 76-60",68,Home,9-3,,
2010,Florida,Florida,Wed Dec 30,,329,Presbyterian,"W, 79-38",68,Home,10-3,,
2010,Florida,Florida,Sun Jan 3,,69,N.C. State,"W, 62-61",68,Away,11-3,,
2010,Florida,Florida,Sat Jan 9,,36,Vanderbilt,"L, 95-87",69,Away,11-4,0-1,
2010,Florida,Florida,Tue Jan 12,,4,Kentucky,"L, 89-77",72,Home,11-5,0-2,
2010,Florida,Florida,Sat Jan 16,,191,LSU,"W, 72-58",65,Home,12-5,1-2,
2010,Florida,Florida,Thu Jan 21,,119,Arkansas,"W, 71-66",64,Away,13-5,2-2,
2010,Florida,Florida,Sat Jan 23,,85,South Carolina,"W, 58-56",57,Home,14-5,3-2,
2010,Florida,Florida,Wed Jan 27,,91,Georgia,"W, 87-71",67,Home,15-5,4-2,
2010,Florida,Florida,Sun Jan 31,,30,Tennessee,"L, 61-60",67,Away,15-6,4-3,
2010,Florida,Florida,Thu Feb 4,,63,Alabama,"W, 66-65",56,Away,16-6,5-3,
2010,Florida,Florida,Sat Feb 6,,45,Mississippi St.,"W, 69-62",70,Home,17-6,6-3,
2010,Florida,Florida,Wed Feb 10,,85,South Carolina,"L, 77-71",70,Away,17-7,6-4,
2010,Florida,Florida,Sat Feb 13,,18,Xavier,"L, 76-64",63,Home,17-8,,
2010,Florida,Florida,Thu Feb 18,,103,Auburn,"W, 78-70",68,Home,18-8,7-4,
2010,Florida,Florida,Sat Feb 20,,48,Mississippi,"W, 64-61",68,Away,19-8,8-4,
2010,Florida,Florida,Tue Feb 23,,30,Tennessee,"W, 75-62",67,Home,20-8,9-4,
2010,Florida,Florida,Sat Feb 27,,91,Georgia,"L, 78-76",67,Away,20-9,9-5,
2010,Florida,Florida,Tue Mar 2,,36,Vanderbilt,"L, 64-60",62,Home,20-10,9-6,
2010,Florida,Florida,Sun Mar 7,,4,Kentucky,"L, 74-66",65,Away,20-11,9-7,
2010,Florida,Florida,Thu Mar 11,,103,Auburn,"W, 78-69",65,Neutral,21-11,,
2010,Florida,Florida,Fri Mar 12,,45,Mississippi St.,"L, 75-69",63,Neutral,21-12,,
2010,Florida,Florida,Thu Mar 18,,10,BYU,"L, 99-92",85,Neutral,21-13,,
