Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Georgetown,Georgetown,Fri Nov 13,,224,Tulane,"W, 74-58",65,Away,1-0,,
2010,Georgetown,Georgetown,Tue Nov 17,,21,Temple,"W, 46-45",60,Home,2-0,,
2010,Georgetown,Georgetown,Sat Nov 21,,307,Savannah St.,"W, 63-44",58,Away,3-0,,
2010,Georgetown,Georgetown,Sat Nov 28,,240,Lafayette,"W, 97-64",65,Home,4-0,,
2010,Georgetown,Georgetown,Mon Nov 30,,182,Mount St. Mary's,"W, 83-62",74,Home,5-0,,
2010,Georgetown,Georgetown,Sat Dec 5,,294,American,"W, 73-46",65,Home,6-0,,
2010,Georgetown,Georgetown,Tue Dec 8,,12,Butler,"W, 72-65",70,Neutral,7-0,,
2010,Georgetown,Georgetown,Sat Dec 12,,32,Washington,"W, 74-66",80,Neutral,8-0,,
2010,Georgetown,Georgetown,Sat Dec 19,,37,Old Dominion,"L, 61-57",62,Home,8-1,,
2010,Georgetown,Georgetown,Wed Dec 23,,111,Harvard,"W, 86-70",78,Home,9-1,,
2010,Georgetown,Georgetown,Thu Dec 31,,67,St. John's,"W, 66-59",61,Home,10-1,1-0,
2010,Georgetown,Georgetown,Sun Jan 3,,170,DePaul,"W, 67-50",57,Away,11-1,2-0,
2010,Georgetown,Georgetown,Wed Jan 6,,24,Marquette,"L, 62-59",57,Away,11-2,2-1,
2010,Georgetown,Georgetown,Sat Jan 9,,51,Connecticut,"W, 72-69",71,Home,12-2,3-1,
2010,Georgetown,Georgetown,Thu Jan 14,,66,Seton Hall,"W, 85-73",67,Home,13-2,4-1,
2010,Georgetown,Georgetown,Sun Jan 17,,17,Villanova,"L, 82-77",78,Away,13-3,4-2,
2010,Georgetown,Georgetown,Wed Jan 20,,28,Pittsburgh,"W, 74-66",62,Away,14-3,5-2,
2010,Georgetown,Georgetown,Sat Jan 23,,159,Rutgers,"W, 88-63",67,Home,15-3,6-2,
2010,Georgetown,Georgetown,Mon Jan 25,,3,Syracuse,"L, 73-56",67,Away,15-4,6-3,
2010,Georgetown,Georgetown,Sat Jan 30,,1,Duke,"W, 89-77",73,Home,16-4,,
2010,Georgetown,Georgetown,Wed Feb 3,,78,South Florida,"L, 72-64",65,Home,16-5,6-4,
2010,Georgetown,Georgetown,Sat Feb 6,,17,Villanova,"W, 103-90",86,Home,17-5,7-4,
2010,Georgetown,Georgetown,Tue Feb 9,,90,Providence,"W, 79-70",70,Away,18-5,8-4,
2010,Georgetown,Georgetown,Sun Feb 14,,159,Rutgers,"L, 71-68",63,Away,18-6,8-5,
2010,Georgetown,Georgetown,Thu Feb 18,,3,Syracuse,"L, 75-71",72,Home,18-7,8-6,
2010,Georgetown,Georgetown,Tue Feb 23,,38,Louisville,"W, 70-60",61,Away,19-7,9-6,
2010,Georgetown,Georgetown,Sat Feb 27,,35,Notre Dame,"L, 78-64",58,Home,19-8,9-7,
2010,Georgetown,Georgetown,Mon Mar 1,,5,West Virginia,"L, 81-68",71,Away,19-9,9-8,
2010,Georgetown,Georgetown,Sat Mar 6,,68,Cincinnati,"W, 74-47",64,Home,20-9,10-8,
2010,Georgetown,Georgetown,Wed Mar 10,,78,South Florida,"W, 69-49",62,Neutral,21-9,,
2010,Georgetown,Georgetown,Thu Mar 11,,3,Syracuse,"W, 91-84",74,Neutral,22-9,,
2010,Georgetown,Georgetown,Fri Mar 12,,24,Marquette,"W, 80-57",64,Neutral,23-9,,
2010,Georgetown,Georgetown,Sat Mar 13,,5,West Virginia,"L, 60-58",53,Neutral,23-10,,
2010,Georgetown,Georgetown,Thu Mar 18,,94,Ohio,"L, 97-83",73,Neutral,23-11,,
