Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Kentucky,Kentucky,Fri Nov 13,,102,Morehead St.,"W, 75-59",72,Home,1-0,,
2010,Kentucky,Kentucky,Mon Nov 16,,143,Miami OH,"W, 72-70",63,Home,2-0,,
2010,Kentucky,Kentucky,Thu Nov 19,,100,Sam Houston St.,"W, 102-92",83,Home,3-0,,
2010,Kentucky,Kentucky,Sat Nov 21,,193,Rider,"W, 92-63",76,Home,4-0,,
2010,Kentucky,Kentucky,Tue Nov 24,,152,Cleveland St.,"W, 73-49",70,Neutral,5-0,,
2010,Kentucky,Kentucky,Wed Nov 25,,106,Stanford,"W, 73-65",65,Neutral,6-0,,
2010,Kentucky,Kentucky,Mon Nov 30,,276,UNC Asheville,"W, 94-57",70,Semi-Home,7-0,,
2010,Kentucky,Kentucky,Sat Dec 5,,61,North Carolina,"W, 68-66",74,Home,8-0,,
2010,Kentucky,Kentucky,Wed Dec 9,,51,Connecticut,"W, 64-61",69,Neutral,9-0,,
2010,Kentucky,Kentucky,Sat Dec 12,,194,Indiana,"W, 90-73",68,Away,10-0,,
2010,Kentucky,Kentucky,Sat Dec 19,,207,Austin Peay,"W, 90-69",68,Home,11-0,,
2010,Kentucky,Kentucky,Mon Dec 21,,145,Drexel,"W, 88-44",67,Home,12-0,,
2010,Kentucky,Kentucky,Wed Dec 23,,154,Long Beach St.,"W, 86-73",74,Home,13-0,,
2010,Kentucky,Kentucky,Tue Dec 29,,312,Hartford,"W, 104-61",69,Home,14-0,,
2010,Kentucky,Kentucky,Sat Jan 2,,38,Louisville,"W, 71-62",75,Home,15-0,,
2010,Kentucky,Kentucky,Sat Jan 9,,91,Georgia,"W, 76-68",75,Home,16-0,1-0,
2010,Kentucky,Kentucky,Tue Jan 12,,50,Florida,"W, 89-77",72,Away,17-0,2-0,
2010,Kentucky,Kentucky,Sat Jan 16,,103,Auburn,"W, 72-67",66,Away,18-0,3-0,
2010,Kentucky,Kentucky,Sat Jan 23,,119,Arkansas,"W, 101-70",83,Home,19-0,4-0,
2010,Kentucky,Kentucky,Tue Jan 26,,85,South Carolina,"L, 68-62",69,Away,19-1,4-1,
2010,Kentucky,Kentucky,Sat Jan 30,,36,Vanderbilt,"W, 85-72",71,Home,20-1,5-1,
2010,Kentucky,Kentucky,Tue Feb 2,,48,Mississippi,"W, 85-75",74,Home,21-1,6-1,
2010,Kentucky,Kentucky,Sat Feb 6,,191,LSU,"W, 81-55",76,Away,22-1,7-1,
2010,Kentucky,Kentucky,Tue Feb 9,,63,Alabama,"W, 66-55",67,Home,23-1,8-1,
2010,Kentucky,Kentucky,Sat Feb 13,,30,Tennessee,"W, 73-62",68,Home,24-1,9-1,
2010,Kentucky,Kentucky,Tue Feb 16,,45,Mississippi St.,"W, 81-75",74,Away,25-1,10-1,
2010,Kentucky,Kentucky,Sat Feb 20,,36,Vanderbilt,"W, 58-56",72,Away,26-1,11-1,
2010,Kentucky,Kentucky,Thu Feb 25,,85,South Carolina,"W, 82-61",69,Home,27-1,12-1,
2010,Kentucky,Kentucky,Sat Feb 27,,30,Tennessee,"L, 74-65",71,Away,27-2,12-2,
2010,Kentucky,Kentucky,Wed Mar 3,,91,Georgia,"W, 80-68",66,Away,28-2,13-2,
2010,Kentucky,Kentucky,Sun Mar 7,,50,Florida,"W, 74-66",65,Home,29-2,14-2,
2010,Kentucky,Kentucky,Fri Mar 12,,63,Alabama,"W, 73-67",67,Neutral,30-2,,
2010,Kentucky,Kentucky,Sat Mar 13,,30,Tennessee,"W, 74-45",66,Neutral,31-2,,
2010,Kentucky,Kentucky,Sun Mar 14,,45,Mississippi St.,"W, 75-74",74,Neutral,32-2,,
2010,Kentucky,Kentucky,Thu Mar 18,,150,East Tennessee St.,"W, 100-71",80,Neutral,33-2,,
2010,Kentucky,Kentucky,Sat Mar 20,,58,Wake Forest,"W, 90-60",68,Neutral,34-2,,
2010,Kentucky,Kentucky,Thu Mar 25,,46,Cornell,"W, 62-45",63,Neutral,35-2,,
2010,Kentucky,Kentucky,Sat Mar 27,,5,West Virginia,"L, 73-66",71,Neutral,35-3,,
