Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Morgan St.,Morgan St.,Fri Nov 13,,295,Albany,"W, 69-65",69,Away,1-0,,
2010,Morgan St.,Morgan St.,Sun Nov 15,,322,UMBC,"W, 72-57",66,Away,2-0,,
2010,Morgan St.,Morgan St.,Thu Nov 19,,150,East Tennessee St.,"W, 72-61",66,Home,3-0,,
2010,Morgan St.,Morgan St.,Sun Nov 22,,38,Louisville,"L, 90-81",82,Away,3-1,,
2010,Morgan St.,Morgan St.,Tue Nov 24,,119,Arkansas,"W, 97-94",83,Away,4-1,,
2010,Morgan St.,Morgan St.,Sat Nov 28,,109,Appalachian St.,"L, 93-92",81,Away,4-2,,
2010,Morgan St.,Morgan St.,Tue Dec 1,,214,Loyola MD,"L, 78-66",73,Away,4-3,,
2010,Morgan St.,Morgan St.,Sat Dec 5,,323,Coppin St.,"W, 80-67",73,Away,5-3,1-0,
2010,Morgan St.,Morgan St.,Tue Dec 8,,34,Minnesota,"L, 94-64",79,Away,5-4,,
2010,Morgan St.,Morgan St.,Sat Dec 12,,199,Manhattan,"W, 83-74",73,Home,6-4,,
2010,Morgan St.,Morgan St.,Tue Dec 22,,244,Towson,"W, 87-80",75,Home,7-4,,
2010,Morgan St.,Morgan St.,Tue Dec 29,,178,Eastern Kentucky,"L, 76-62",64,Neutral,7-5,,
2010,Morgan St.,Morgan St.,Wed Dec 30,,270,LIU Brooklyn,"W, 87-70",69,Neutral,8-5,,
2010,Morgan St.,Morgan St.,Mon Jan 4,,185,Robert Morris,"L, 78-75",66,Away,8-6,,
2010,Morgan St.,Morgan St.,Wed Jan 6,,8,Baylor,"L, 79-63",66,Away,8-7,,
2010,Morgan St.,Morgan St.,Sat Jan 9,,337,Howard,"W, 90-58",71,Away,9-7,2-0,
2010,Morgan St.,Morgan St.,Mon Jan 11,,228,Hampton,"W, 73-63",70,Away,10-7,3-0,
2010,Morgan St.,Morgan St.,Sat Jan 16,,255,South Carolina St.,"W, 72-67",75,Away,11-7,4-0,
2010,Morgan St.,Morgan St.,Mon Jan 18,,330,Winston Salem St.,"W, 84-65",68,Away,12-7,,
2010,Morgan St.,Morgan St.,Sat Jan 23,,262,Delaware St.,"W, 72-62",62,Home,13-7,5-0,
2010,Morgan St.,Morgan St.,Mon Jan 25,,319,Maryland Eastern Shore,"W, 91-54",76,Home,14-7,6-0,
2010,Morgan St.,Morgan St.,Sun Jan 31,,271,Norfolk St.,"W, 100-94",85,Away,15-7,7-0,
2010,Morgan St.,Morgan St.,Mon Feb 1,,302,North Carolina A&T,"W, 74-65",70,Away,16-7,8-0,
2010,Morgan St.,Morgan St.,Sun Feb 7,,333,Florida A&M,"W, 94-68",76,Home,17-7,9-0,
2010,Morgan St.,Morgan St.,Mon Feb 8,,292,Bethune Cookman,"W, 48-47",51,Home,18-7,10-0,
2010,Morgan St.,Morgan St.,Sat Feb 13,,330,Winston Salem St.,"W, 79-65",67,Home,19-7,,
2010,Morgan St.,Morgan St.,Mon Feb 15,,255,South Carolina St.,"L, 71-68",67,Home,19-8,10-1,
2010,Morgan St.,Morgan St.,Wed Feb 17,,262,Delaware St.,"W, 68-65",61,Away,20-8,11-1,
2010,Morgan St.,Morgan St.,Sat Feb 20,,53,Murray St.,"L, 75-66",73,Away,20-9,,
2010,Morgan St.,Morgan St.,Mon Feb 22,,319,Maryland Eastern Shore,"W, 65-61",65,Away,21-9,12-1,
2010,Morgan St.,Morgan St.,Sat Feb 27,,271,Norfolk St.,"W, 88-87",91,Home,22-9,13-1,
2010,Morgan St.,Morgan St.,Mon Mar 1,,302,North Carolina A&T,"W, 81-67",74,Home,23-9,14-1,
2010,Morgan St.,Morgan St.,Thu Mar 4,,323,Coppin St.,"W, 74-54",63,Home,24-9,15-1,
2010,Morgan St.,Morgan St.,Wed Mar 10,,302,North Carolina A&T,"W, 84-57",66,Neutral,25-9,,
2010,Morgan St.,Morgan St.,Fri Mar 12,,228,Hampton,"W, 74-67",74,Neutral,26-9,,
2010,Morgan St.,Morgan St.,Sat Mar 13,,255,South Carolina St.,"W, 68-61",71,Neutral,27-9,,
2010,Morgan St.,Morgan St.,Fri Mar 19,,5,West Virginia,"L, 77-50",70,Neutral,27-10,,
