Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Murray St.,Murray St.,Mon Nov 9,,14,California,"L, 75-70",66,Away,0-1,,
2010,Murray St.,Murray St.,Sat Nov 14,,NR,Missouri Saint Louis,"W, 92-54",78,Home,1-1,,
2010,Murray St.,Murray St.,Fri Nov 20,,215,James Madison,"W, 71-43",70,Neutral,2-1,,
2010,Murray St.,Murray St.,Sun Nov 22,,339,North Carolina Central,"W, 84-61",70,Neutral,3-1,,
2010,Murray St.,Murray St.,Mon Nov 23,,306,FIU,"W, 84-71",77,Away,4-1,,
2010,Murray St.,Murray St.,Sat Nov 28,,NR,Tenn. Wesleyan,"W, 108-49",83,Home,5-1,,
2010,Murray St.,Murray St.,Thu Dec 3,,178,Eastern Kentucky,"W, 62-60",68,Home,6-1,1-0,
2010,Murray St.,Murray St.,Sat Dec 5,,102,Morehead St.,"W, 86-56",67,Home,7-1,2-0,
2010,Murray St.,Murray St.,Sat Dec 12,,150,East Tennessee St.,"W, 61-57",74,Away,8-1,,
2010,Murray St.,Murray St.,Tue Dec 15,,113,Louisiana Tech,"L, 87-81",79,Away,8-2,,
2010,Murray St.,Murray St.,Sat Dec 19,,248,Chattanooga,"W, 73-62",71,Home,9-2,,
2010,Murray St.,Murray St.,Tue Dec 22,,127,Western Kentucky,"L, 83-72",68,Away,9-3,,
2010,Murray St.,Murray St.,Wed Dec 30,,340,SIU Edwardsville,"W, 82-51",67,Away,10-3,,
2010,Murray St.,Murray St.,Mon Jan 4,,334,Tennessee Martin,"W, 83-59",69,Home,11-3,3-0,
2010,Murray St.,Murray St.,Thu Jan 7,,258,Tennessee St.,"W, 80-59",65,Away,12-3,4-0,
2010,Murray St.,Murray St.,Sat Jan 9,,207,Austin Peay,"W, 69-53",61,Away,13-3,5-0,
2010,Murray St.,Murray St.,Mon Jan 11,,211,Eastern Illinois,"W, 75-59",71,Home,14-3,6-0,
2010,Murray St.,Murray St.,Thu Jan 14,,264,Jacksonville St.,"W, 92-68",75,Home,15-3,7-0,
2010,Murray St.,Murray St.,Sat Jan 16,,256,Tennessee Tech,"W, 88-66",69,Home,16-3,8-0,
2010,Murray St.,Murray St.,Thu Jan 21,,211,Eastern Illinois,"W, 60-51",60,Away,17-3,9-0,
2010,Murray St.,Murray St.,Sat Jan 23,,313,Southeast Missouri St.,"W, 80-61",66,Away,18-3,10-0,
2010,Murray St.,Murray St.,Wed Jan 27,,340,SIU Edwardsville,"W, 86-49",68,Home,19-3,,
2010,Murray St.,Murray St.,Sat Jan 30,,334,Tennessee Martin,"W, 77-45",63,Away,20-3,11-0,
2010,Murray St.,Murray St.,Thu Feb 4,,258,Tennessee St.,"W, 76-54",73,Home,21-3,12-0,
2010,Murray St.,Murray St.,Sat Feb 6,,207,Austin Peay,"W, 65-63",63,Home,22-3,13-0,
2010,Murray St.,Murray St.,Thu Feb 11,,256,Tennessee Tech,"W, 94-62",70,Away,23-3,14-0,
2010,Murray St.,Murray St.,Sat Feb 13,,264,Jacksonville St.,"W, 75-67",68,Away,24-3,15-0,
2010,Murray St.,Murray St.,Tue Feb 16,,313,Southeast Missouri St.,"W, 80-68",70,Home,25-3,16-0,
2010,Murray St.,Murray St.,Sat Feb 20,,156,Morgan St.,"W, 75-66",73,Home,26-3,,
2010,Murray St.,Murray St.,Thu Feb 25,,102,Morehead St.,"L, 70-65",59,Away,26-4,16-1,
2010,Murray St.,Murray St.,Sat Feb 27,,178,Eastern Kentucky,"W, 88-74",66,Away,27-4,17-1,
2010,Murray St.,Murray St.,Tue Mar 2,,258,Tennessee St.,"W, 84-51",70,Home,28-4,,
2010,Murray St.,Murray St.,Fri Mar 5,,211,Eastern Illinois,"W, 55-51",61,Neutral,29-4,,
2010,Murray St.,Murray St.,Sat Mar 6,,102,Morehead St.,"W, 62-51",57,Neutral,30-4,,
2010,Murray St.,Murray St.,Thu Mar 18,,36,Vanderbilt,"W, 66-65",65,Neutral,31-4,,
2010,Murray St.,Murray St.,Sat Mar 20,,12,Butler,"L, 54-52",58,Neutral,31-5,,
