Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Richmond,Richmond,Fri Nov 13,,186,Lehigh,"W, 65-53",75,Home,1-0,,
2010,Richmond,Richmond,Mon Nov 16,,317,VMI,"W, 103-59",81,Home,2-0,,
2010,Richmond,Richmond,Thu Nov 19,,107,William & Mary,"L, 78-71",66,Away,2-1,,
2010,Richmond,Richmond,Sun Nov 22,,248,Chattanooga,"W, 75-49",70,Home,3-1,,
2010,Richmond,Richmond,Tue Nov 24,,298,Longwood,"W, 65-52",69,Home,4-1,,
2010,Richmond,Richmond,Fri Nov 27,,45,Mississippi St.,"W, 63-62",57,Neutral,5-1,,
2010,Richmond,Richmond,Sat Nov 28,,22,Missouri,"W, 59-52",58,Neutral,6-1,,
2010,Richmond,Richmond,Wed Dec 2,,37,Old Dominion,"W, 67-60",64,Home,7-1,,
2010,Richmond,Richmond,Sat Dec 12,,56,VCU,"L, 65-57",63,Away,7-2,,
2010,Richmond,Richmond,Wed Dec 16,,85,South Carolina,"L, 76-58",65,Away,7-3,,
2010,Richmond,Richmond,Sat Dec 19,,50,Florida,"W, 56-53",61,Semi-Away,8-3,,
2010,Richmond,Richmond,Tue Dec 22,,253,UNC Greensboro,"W, 89-63",72,Home,9-3,,
2010,Richmond,Richmond,Mon Dec 28,,212,UNC Wilmington,"W, 66-64",67,Home,10-3,,
2010,Richmond,Richmond,Thu Dec 31,,58,Wake Forest,"L, 74-68",75,Away,10-4,,
2010,Richmond,Richmond,Sat Jan 2,,246,Bucknell,"W, 59-50",65,Away,11-4,,
2010,Richmond,Richmond,Wed Jan 6,,142,Duquesne,"W, 80-68",67,Away,12-4,1-0,
2010,Richmond,Richmond,Sat Jan 9,,98,Saint Louis,"L, 63-58",59,Away,12-5,1-1,
2010,Richmond,Richmond,Wed Jan 13,,167,Massachusetts,"W, 70-63",70,Home,13-5,2-1,
2010,Richmond,Richmond,Sat Jan 16,,160,La Salle,"W, 67-63",63,Home,14-5,3-1,
2010,Richmond,Richmond,Wed Jan 20,,96,Charlotte,"L, 71-59",62,Home,14-6,3-2,
2010,Richmond,Richmond,Sat Jan 23,,122,George Washington,"W, 62-57",65,Away,15-6,4-2,
2010,Richmond,Richmond,Sat Jan 30,,98,Saint Louis,"W, 62-36",64,Home,16-6,5-2,
2010,Richmond,Richmond,Wed Feb 3,,173,Saint Joseph's,"W, 68-58",62,Away,17-6,6-2,
2010,Richmond,Richmond,Sat Feb 6,,21,Temple,"W, 71-54",64,Home,18-6,7-2,
2010,Richmond,Richmond,Wed Feb 10,,60,Rhode Island,"W, 69-67",57,Away,19-6,8-2,
2010,Richmond,Richmond,Sat Feb 13,,134,St. Bonaventure,"W, 68-49",68,Away,20-6,9-2,
2010,Richmond,Richmond,Wed Feb 17,,305,Fordham,"W, 84-56",70,Home,21-6,10-2,
2010,Richmond,Richmond,Sat Feb 20,,122,George Washington,"W, 74-70",69,Home,22-6,11-2,
2010,Richmond,Richmond,Sun Feb 28,,18,Xavier,"L, 78-76",80,Away,22-7,11-3,
2010,Richmond,Richmond,Thu Mar 4,,26,Dayton,"W, 60-56",62,Home,23-7,12-3,
2010,Richmond,Richmond,Sat Mar 6,,96,Charlotte,"W, 89-84",73,Away,24-7,13-3,
2010,Richmond,Richmond,Fri Mar 12,,167,Massachusetts,"W, 77-72",71,Neutral,25-7,,
2010,Richmond,Richmond,Sat Mar 13,,18,Xavier,"W, 89-85",76,Neutral,26-7,,
2010,Richmond,Richmond,Sun Mar 14,,21,Temple,"L, 56-52",57,Neutral,26-8,,
2010,Richmond,Richmond,Thu Mar 18,,29,Saint Mary's,"L, 80-71",63,Neutral,26-9,,
