Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Sam Houston,Sam Houston St.,Sat Nov 14,,NR,LeTourneau,"W, 73-42",75,Home,1-0,,
2010,Sam Houston,Sam Houston St.,Mon Nov 16,,NR,Texas College,"W, 91-57",77,Home,2-0,,
2010,Sam Houston,Sam Houston St.,Thu Nov 19,,4,Kentucky,"L, 102-92",83,Away,2-1,,
2010,Sam Houston,Sam Houston St.,Sat Nov 21,,152,Cleveland St.,"L, 80-65",69,Away,2-2,,
2010,Sam Houston,Sam Houston St.,Tue Nov 24,,140,Oral Roberts,"W, 71-65",68,Neutral,3-2,,
2010,Sam Houston,Sam Houston St.,Wed Nov 25,,193,Rider,"W, 80-68",67,Neutral,4-2,,
2010,Sam Houston,Sam Houston St.,Mon Nov 30,,NR,Mid America Christian,"W, 87-55",76,Home,5-2,,
2010,Sam Houston,Sam Houston St.,Sat Dec 5,,217,Louisiana Lafayette,"L, 95-85",78,Home,5-3,,
2010,Sam Houston,Sam Houston St.,Sat Dec 12,,NR,Ecclesia,"W, 69-40",58,Home,6-3,,
2010,Sam Houston,Sam Houston St.,Sun Dec 20,,103,Auburn,"W, 107-89",84,Away,7-3,,
2010,Sam Houston,Sam Houston St.,Tue Dec 22,,306,FIU,"W, 93-63",65,Home,8-3,,
2010,Sam Houston,Sam Houston St.,Mon Dec 28,,65,Wright St.,"L, 88-48",64,Away,8-4,,
2010,Sam Houston,Sam Houston St.,Sun Jan 3,,137,Western Michigan,"L, 74-73",65,Away,8-5,,
2010,Sam Houston,Sam Houston St.,Sat Jan 9,,157,Stephen F. Austin,"W, 66-57",65,Home,9-5,1-0,
2010,Sam Houston,Sam Houston St.,Sat Jan 16,,203,Southeastern Louisiana,"W, 84-79",73,Away,10-5,2-0,
2010,Sam Houston,Sam Houston St.,Wed Jan 20,,229,Texas St.,"W, 95-64",80,Home,11-5,3-0,
2010,Sam Houston,Sam Houston St.,Sat Jan 23,,241,UT Arlington,"W, 67-64",69,Away,12-5,4-0,
2010,Sam Houston,Sam Houston St.,Wed Jan 27,,283,Lamar,"W, 90-63",80,Home,13-5,5-0,
2010,Sam Houston,Sam Houston St.,Sat Jan 30,,171,Texas A&M Corpus Chris,"W, 70-58",62,Away,14-5,6-0,
2010,Sam Houston,Sam Houston St.,Wed Feb 3,,198,UTSA,"W, 73-67",63,Home,15-5,7-0,
2010,Sam Houston,Sam Houston St.,Sat Feb 6,,304,Central Arkansas,"W, 75-70",68,Home,16-5,8-0,
2010,Sam Houston,Sam Houston St.,Wed Feb 10,,273,Nicholls St.,"W, 75-69",67,Away,17-5,9-0,
2010,Sam Houston,Sam Houston St.,Sat Feb 13,,171,Texas A&M Corpus Chris,"W, 90-74",70,Home,18-5,10-0,
2010,Sam Houston,Sam Houston St.,Wed Feb 17,,283,Lamar,"W, 66-54",68,Away,19-5,11-0,
2010,Sam Houston,Sam Houston St.,Sat Feb 20,,198,UTSA,"L, 91-90",77,Away,19-6,11-1,
2010,Sam Houston,Sam Houston St.,Wed Feb 24,,279,McNeese St.,"W, 74-56",73,Home,20-6,12-1,
2010,Sam Houston,Sam Houston St.,Sat Feb 27,,241,UT Arlington,"W, 94-69",72,Home,21-6,13-1,
2010,Sam Houston,Sam Houston St.,Wed Mar 3,,303,Northwestern St.,"W, 103-75",80,Away,22-6,14-1,
2010,Sam Houston,Sam Houston St.,Sat Mar 6,,229,Texas St.,"L, 101-97",82,Away,22-7,14-2,
2010,Sam Houston,Sam Houston St.,Wed Mar 10,,273,Nicholls St.,"W, 62-57",61,Neutral,23-7,,
2010,Sam Houston,Sam Houston St.,Thu Mar 11,,203,Southeastern Louisiana,"W, 88-85",77,Neutral,24-7,,
2010,Sam Houston,Sam Houston St.,Sat Mar 13,,157,Stephen F. Austin,"W, 64-48",60,Neutral,25-7,,
2010,Sam Houston,Sam Houston St.,Thu Mar 18,,8,Baylor,"L, 68-59",75,Neutral,25-8,,
