Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Siena,Siena,Fri Nov 13,,258,Tennessee St.,"W, 85-69",79,Away,1-0,,
2010,Siena,Siena,Tue Nov 17,,71,Northeastern,"W, 59-53",67,Home,2-0,,
2010,Siena,Siena,Sat Nov 21,,21,Temple,"L, 73-69",70,Away,2-1,,
2010,Siena,Siena,Tue Nov 24,,257,Delaware,"W, 90-56",77,Home,3-1,,
2010,Siena,Siena,Fri Nov 27,,67,St. John's,"L, 77-68",74,Neutral,3-2,,
2010,Siena,Siena,Sat Nov 28,,284,Brown,"W, 99-79",77,Neutral,4-2,,
2010,Siena,Siena,Wed Dec 2,,31,Georgia Tech,"L, 74-61",75,Away,4-3,,
2010,Siena,Siena,Sat Dec 5,,295,Albany,"W, 83-54",73,Home,5-3,,
2010,Siena,Siena,Mon Dec 7,,110,Iona,"W, 73-60",66,Away,6-3,1-0,
2010,Siena,Siena,Sat Dec 12,,27,Northern Iowa,"L, 82-65",67,Away,6-4,,
2010,Siena,Siena,Wed Dec 23,,193,Rider,"W, 84-62",72,Home,7-4,2-0,
2010,Siena,Siena,Tue Dec 29,,173,Saint Joseph's,"W, 92-75",75,Home,8-4,,
2010,Siena,Siena,Thu Dec 31,,176,Saint Peter's,"W, 64-53",63,Home,9-4,3-0,
2010,Siena,Siena,Sat Jan 2,,182,Mount St. Mary's,"W, 79-76",83,Home,10-4,,
2010,Siena,Siena,Mon Jan 4,,214,Loyola MD,"W, 76-56",74,Away,11-4,4-0,
2010,Siena,Siena,Sat Jan 9,,128,Niagara,"W, 83-65",75,Home,12-4,5-0,
2010,Siena,Siena,Mon Jan 11,,201,Canisius,"W, 82-70",68,Home,13-4,6-0,
2010,Siena,Siena,Sat Jan 16,,118,Fairfield,"W, 81-73",73,Away,14-4,7-0,
2010,Siena,Siena,Mon Jan 18,,199,Manhattan,"W, 83-68",70,Home,15-4,8-0,
2010,Siena,Siena,Thu Jan 21,,214,Loyola MD,"W, 67-61",63,Home,16-4,9-0,
2010,Siena,Siena,Sun Jan 24,,199,Manhattan,"W, 66-58",65,Away,17-4,10-0,
2010,Siena,Siena,Thu Jan 28,,176,Saint Peter's,"W, 66-58",70,Away,18-4,11-0,
2010,Siena,Siena,Sat Jan 30,,336,Marist,"W, 79-60",65,Away,19-4,12-0,
2010,Siena,Siena,Fri Feb 5,,110,Iona,"W, 88-68",70,Home,20-4,13-0,
2010,Siena,Siena,Mon Feb 8,,118,Fairfield,"W, 69-67",66,Home,21-4,14-0,
2010,Siena,Siena,Fri Feb 12,,128,Niagara,"L, 87-74",70,Away,21-5,14-1,
2010,Siena,Siena,Sun Feb 14,,201,Canisius,"W, 74-57",67,Away,22-5,15-1,
2010,Siena,Siena,Sat Feb 20,,12,Butler,"L, 70-53",66,Away,22-6,,
2010,Siena,Siena,Fri Feb 26,,193,Rider,"W, 80-54",67,Away,23-6,16-1,
2010,Siena,Siena,Sun Feb 28,,336,Marist,"W, 76-51",72,Home,24-6,17-1,
2010,Siena,Siena,Sat Mar 6,,199,Manhattan,"W, 78-61",70,Home,25-6,,
2010,Siena,Siena,Sun Mar 7,,193,Rider,"W, 72-62",67,Home,26-6,,
2010,Siena,Siena,Mon Mar 8,,118,Fairfield,"W, 72-65",71,Home,27-6,,
2010,Siena,Siena,Fri Mar 19,,15,Purdue,"L, 72-64",78,Neutral,27-7,,
