Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,UTEP,UTEP,Fri Nov 13,,267,Texas Southern,"W, 89-70",73,Home,1-0,,
2010,UTEP,UTEP,Wed Nov 18,,231,Arkansas Pine Bluff,"W, 70-52",64,Home,2-0,,
2010,UTEP,UTEP,Sat Nov 21,,202,Arkansas St.,"W, 82-56",72,Home,3-0,,
2010,UTEP,UTEP,Wed Nov 25,,302,North Carolina A&T,"W, 81-66",69,Home,4-0,,
2010,UTEP,UTEP,Tue Dec 1,,112,New Mexico St.,"W, 79-58",72,Away,5-0,,
2010,UTEP,UTEP,Sun Dec 13,,112,New Mexico St.,"L, 87-80",73,Home,5-1,,
2010,UTEP,UTEP,Wed Dec 16,,48,Mississippi,"L, 91-81",85,Semi-Away,5-2,,
2010,UTEP,UTEP,Sat Dec 19,,347,Alcorn St.,"W, 101-41",79,Home,6-2,,
2010,UTEP,UTEP,Mon Dec 21,,104,Oklahoma,"W, 89-74",70,Semi-Away,7-2,,
2010,UTEP,UTEP,Mon Dec 28,,271,Norfolk St.,"W, 93-56",84,Home,8-2,,
2010,UTEP,UTEP,Tue Dec 29,,254,Air Force,"W, 58-47",61,Home,9-2,,
2010,UTEP,UTEP,Sun Jan 3,,72,Texas Tech,"L, 86-78",75,Away,9-3,,
2010,UTEP,UTEP,Wed Jan 6,,149,SMU,"W, 49-45",54,Home,10-3,1-0,
2010,UTEP,UTEP,Sat Jan 9,,10,BYU,"L, 83-77",80,Home,10-4,,
2010,UTEP,UTEP,Wed Jan 13,,88,Houston,"L, 75-65",73,Away,10-5,1-1,
2010,UTEP,UTEP,Sat Jan 16,,99,Southern Miss,"W, 56-49",63,Home,11-5,2-1,
2010,UTEP,UTEP,Wed Jan 20,,49,Memphis,"W, 72-67",64,Away,12-5,3-1,
2010,UTEP,UTEP,Sat Jan 23,,166,UCF,"W, 96-59",75,Away,13-5,4-1,
2010,UTEP,UTEP,Wed Jan 27,,224,Tulane,"W, 84-71",75,Home,14-5,5-1,
2010,UTEP,UTEP,Sat Jan 30,,62,UAB,"W, 74-65",81,Away,15-5,6-1,
2010,UTEP,UTEP,Wed Feb 3,,88,Houston,"W, 65-58",67,Home,16-5,7-1,
2010,UTEP,UTEP,Sat Feb 6,,83,Tulsa,"W, 73-59",68,Home,17-5,8-1,
2010,UTEP,UTEP,Wed Feb 10,,149,SMU,"W, 62-51",59,Away,18-5,9-1,
2010,UTEP,UTEP,Sat Feb 13,,232,East Carolina,"W, 100-76",77,Home,19-5,10-1,
2010,UTEP,UTEP,Sat Feb 20,,83,Tulsa,"W, 78-70",69,Away,20-5,11-1,
2010,UTEP,UTEP,Wed Feb 24,,99,Southern Miss,"W, 59-56",69,Away,21-5,12-1,
2010,UTEP,UTEP,Sat Feb 27,,249,Rice,"W, 78-64",71,Home,22-5,13-1,
2010,UTEP,UTEP,Tue Mar 2,,81,Marshall,"W, 80-76",74,Away,23-5,14-1,
2010,UTEP,UTEP,Sat Mar 6,,62,UAB,"W, 52-50",66,Home,24-5,15-1,
2010,UTEP,UTEP,Thu Mar 11,,166,UCF,"W, 76-54",63,Neutral,25-5,,
2010,UTEP,UTEP,Fri Mar 12,,83,Tulsa,"W, 75-61",70,Semi-Away,26-5,,
2010,UTEP,UTEP,Sat Mar 13,,88,Houston,"L, 81-73",70,Neutral,26-6,,
2010,UTEP,UTEP,Thu Mar 18,,12,Butler,"L, 77-59",67,Neutral,26-7,,
