Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2010,Wake Forest,Wake Forest,Fri Nov 13,,140,Oral Roberts,"W, 76-56",69,Home,1-0,,
2010,Wake Forest,Wake Forest,Sun Nov 15,,232,East Carolina,"W, 89-58",75,Neutral,2-0,,
2010,Wake Forest,Wake Forest,Wed Nov 18,,287,High Point,"W, 83-60",77,Home,3-0,,
2010,Wake Forest,Wake Forest,Tue Nov 24,,330,Winston Salem St.,"W, 76-52",70,Home,4-0,,
2010,Wake Forest,Wake Forest,Sat Nov 28,,107,William & Mary,"L, 78-68",69,Home,4-1,,
2010,Wake Forest,Wake Forest,Tue Dec 1,,15,Purdue,"L, 69-58",76,Away,4-2,,
2010,Wake Forest,Wake Forest,Sat Dec 5,,44,Gonzaga,"W, 77-75",69,Away,5-2,,
2010,Wake Forest,Wake Forest,Sun Dec 13,,261,Elon,"W, 90-50",75,Home,6-2,,
2010,Wake Forest,Wake Forest,Wed Dec 16,,212,UNC Wilmington,"W, 80-69",75,Away,7-2,,
2010,Wake Forest,Wake Forest,Sun Dec 20,,69,N.C. State,"W, 67-59",71,Home,8-2,1-0,
2010,Wake Forest,Wake Forest,Mon Dec 28,,253,UNC Greensboro,"W, 75-60",72,Away,9-2,,
2010,Wake Forest,Wake Forest,Thu Dec 31,,54,Richmond,"W, 74-68",75,Home,10-2,,
2010,Wake Forest,Wake Forest,Sun Jan 3,,18,Xavier,"W, 96-92",94,Home,11-2,,
2010,Wake Forest,Wake Forest,Sat Jan 9,,55,Miami FL,"L, 67-66",67,Away,11-3,1-1,
2010,Wake Forest,Wake Forest,Tue Jan 12,,13,Maryland,"W, 85-83",78,Home,12-3,2-1,
2010,Wake Forest,Wake Forest,Sun Jan 17,,1,Duke,"L, 90-70",77,Away,12-4,2-2,
2010,Wake Forest,Wake Forest,Wed Jan 20,,61,North Carolina,"W, 82-69",69,Away,13-4,3-2,
2010,Wake Forest,Wake Forest,Sat Jan 23,,76,Virginia,"W, 69-57",72,Home,14-4,4-2,
2010,Wake Forest,Wake Forest,Thu Jan 28,,31,Georgia Tech,"L, 79-58",73,Away,14-5,4-3,
2010,Wake Forest,Wake Forest,Tue Feb 2,,55,Miami FL,"W, 62-53",69,Home,15-5,5-3,
2010,Wake Forest,Wake Forest,Sat Feb 6,,76,Virginia,"W, 64-61",66,Away,16-5,6-3,
2010,Wake Forest,Wake Forest,Tue Feb 9,,74,Boston College,"W, 92-85",72,Home,17-5,7-3,
2010,Wake Forest,Wake Forest,Sat Feb 13,,31,Georgia Tech,"W, 75-64",71,Home,18-5,8-3,
2010,Wake Forest,Wake Forest,Tue Feb 16,,47,Virginia Tech,"L, 87-83",77,Away,18-6,8-4,
2010,Wake Forest,Wake Forest,Sat Feb 20,,69,N.C. State,"L, 68-54",70,Away,18-7,8-5,
2010,Wake Forest,Wake Forest,Sat Feb 27,,61,North Carolina,"L, 77-68",76,Home,18-8,8-6,
2010,Wake Forest,Wake Forest,Wed Mar 3,,33,Florida St.,"L, 51-47",59,Away,18-9,8-7,
2010,Wake Forest,Wake Forest,Sun Mar 7,,25,Clemson,"W, 70-65",70,Home,19-9,9-7,
2010,Wake Forest,Wake Forest,Thu Mar 11,,55,Miami FL,"L, 83-62",65,Neutral,19-10,,
2010,Wake Forest,Wake Forest,Thu Mar 18,,19,Texas,"W, 81-80",81,Neutral,20-10,,
2010,Wake Forest,Wake Forest,Sat Mar 20,,4,Kentucky,"L, 90-60",68,Neutral,20-11,,
