Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Boston University,Boston University,Fri Nov 12,131,194,Northeastern,"L, 66-64",64,Away,0-1,,
2011,Boston University,Boston University,Tue Nov 16,140,175,George Washington,"W, 76-67",71,Neutral,1-1,,
2011,Boston University,Boston University,Wed Nov 17,128,28,Villanova,"L, 82-66",65,Away,1-2,,
2011,Boston University,Boston University,Fri Nov 19,132,322,Marist,"W, 58-37",52,Home,2-2,,
2011,Boston University,Boston University,Mon Nov 22,116,208,Hampton,"L, 51-50",68,Neutral,2-3,,
2011,Boston University,Boston University,Tue Nov 23,120,160,Nevada,"W, 66-57",63,Neutral,3-3,,
2011,Boston University,Boston University,Sat Nov 27,118,192,Cornell,"W, 66-61",65,Home,4-3,,
2011,Boston University,Boston University,Tue Nov 30,119,7,Kentucky,"L, 91-57",68,Away,4-4,,
2011,Boston University,Boston University,Sat Dec 4,133,96,Bucknell,"L, 52-49",64,Away,4-5,,
2011,Boston University,Boston University,Thu Dec 9,142,172,La Salle,"L, 84-81",79,Home,4-6,,
2011,Boston University,Boston University,Sat Dec 11,143,71,Harvard,"L, 87-71",66,Away,4-7,,
2011,Boston University,Boston University,Tue Dec 21,150,187,Saint Joseph's,"W, 85-79",64,Home,5-7,,
2011,Boston University,Boston University,Wed Dec 29,148,165,Quinnipiac,"L, 82-81",72,Home,5-8,,
2011,Boston University,Boston University,Fri Dec 31,151,180,Massachusetts,"L, 71-54",66,Away,5-9,,
2011,Boston University,Boston University,Sun Jan 2,162,200,Maine,"L, 65-52",64,Away,5-10,0-1,
2011,Boston University,Boston University,Tue Jan 4,181,287,New Hampshire,"W, 61-54",59,Home,6-10,1-1,
2011,Boston University,Boston University,Sun Jan 9,185,128,Vermont,"W, 74-65",65,Home,7-10,2-1,
2011,Boston University,Boston University,Sat Jan 15,175,243,Albany,"W, 70-67",61,Away,8-10,3-1,
2011,Boston University,Boston University,Mon Jan 17,176,339,UMBC,"L, 71-67",56,Away,8-11,3-2,
2011,Boston University,Boston University,Thu Jan 20,194,233,Stony Brook,"W, 67-62",64,Home,9-11,4-2,
2011,Boston University,Boston University,Sat Jan 22,194,289,Hartford,"L, 59-55",57,Away,9-12,4-3,
2011,Boston University,Boston University,Wed Jan 26,199,315,Binghamton,"W, 71-66",64,Home,10-12,5-3,
2011,Boston University,Boston University,Sat Jan 29,211,287,New Hampshire,"L, 60-48",64,Away,10-13,5-4,
2011,Boston University,Boston University,Tue Feb 1,223,200,Maine,"W, 88-78",68,Home,11-13,6-4,
2011,Boston University,Boston University,Fri Feb 4,211,233,Stony Brook,"W, 62-49",66,Away,12-13,7-4,
2011,Boston University,Boston University,Thu Feb 10,205,243,Albany,"W, 63-44",49,Neutral,13-13,8-4,
2011,Boston University,Boston University,Sat Feb 12,183,289,Hartford,"W, 61-50",61,Home,14-13,9-4,
2011,Boston University,Boston University,Tue Feb 15,182,339,UMBC,"W, 85-53",67,Home,15-13,10-4,
2011,Boston University,Boston University,Sat Feb 19,173,183,Canisius,"W, 70-62",61,Home,16-13,,
2011,Boston University,Boston University,Thu Feb 24,174,315,Binghamton,"W, 53-51",57,Away,17-13,11-4,
2011,Boston University,Boston University,Sun Feb 27,178,128,Vermont,"W, 66-64",62,Away,18-13,12-4,
2011,Boston University,Boston University,Sat Mar 5,170,287,New Hampshire,"W, 69-60",59,Neutral,19-13,,America East
2011,Boston University,Boston University,Sun Mar 6,169,289,Hartford,"W, 55-49",56,Away,20-13,,America East
2011,Boston University,Boston University,Sat Mar 12,168,233,Stony Brook,"W, 56-54",62,Home,21-13,,America East
2011,Boston University,Boston University,Fri Mar 18,170,3,Kansas,"L, 72-53",64,Neutral,21-14,,NCAA
