Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Butler,Butler,Sat Nov 13,46,NR,Marian,"W, 83-54",62,Home,1-0,,
2011,Butler,Butler,Tue Nov 16,47,14,Louisville,"L, 88-73",84,Away,1-1,,
2011,Butler,Butler,Sat Nov 20,55,164,Ball St.,"W, 88-55",69,Home,2-1,,
2011,Butler,Butler,Tue Nov 23,38,203,Siena,"W, 70-57",67,Away,3-1,,
2011,Butler,Butler,Sat Nov 27,34,168,Evansville,"L, 71-68",73,Home,3-2,,
2011,Butler,Butler,Wed Dec 1,44,136,Loyola Chicago,"W, 65-63",57,Away,4-2,1-0,
2011,Butler,Butler,Sat Dec 4,49,2,Duke,"L, 82-70",72,Neutral,4-3,,
2011,Butler,Butler,Thu Dec 9,44,38,Xavier,"L, 51-49",63,Away,4-4,,
2011,Butler,Butler,Sat Dec 11,48,309,Mississippi Valley St.,"W, 91-71",68,Home,5-4,,
2011,Butler,Butler,Sat Dec 18,52,102,Stanford,"W, 83-50",65,Home,6-4,,
2011,Butler,Butler,Wed Dec 22,38,141,Utah,"W, 74-62",72,Neutral,7-4,,
2011,Butler,Butler,Thu Dec 23,37,35,Florida St.,"W, 67-64",61,Neutral,8-4,,
2011,Butler,Butler,Sat Dec 25,37,60,Washington St.,"W, 84-68",71,Neutral,9-4,,
2011,Butler,Butler,Sat Jan 1,31,95,Valparaiso,"W, 76-59",64,Home,10-4,2-0,
2011,Butler,Butler,Mon Jan 3,29,138,Milwaukee,"L, 76-52",59,Away,10-5,2-1,
2011,Butler,Butler,Fri Jan 7,47,68,Cleveland St.,"W, 79-56",72,Home,11-5,3-1,
2011,Butler,Butler,Sun Jan 9,37,252,Youngstown St.,"W, 84-79",65,Home,12-5,4-1,
2011,Butler,Butler,Fri Jan 14,48,131,Detroit,"W, 87-64",71,Away,13-5,5-1,
2011,Butler,Butler,Sun Jan 16,43,111,Wright St.,"L, 69-64",65,Away,13-6,5-2,
2011,Butler,Butler,Fri Jan 21,45,158,Green Bay,"W, 81-75",67,Home,14-6,6-2,
2011,Butler,Butler,Sun Jan 23,47,138,Milwaukee,"L, 86-80",76,Home,14-7,6-3,
2011,Butler,Butler,Sat Jan 29,56,95,Valparaiso,"L, 85-79",73,Away,14-8,6-4,
2011,Butler,Butler,Thu Feb 3,60,252,Youngstown St.,"L, 62-60",61,Away,14-9,6-5,
2011,Butler,Butler,Sat Feb 5,68,68,Cleveland St.,"W, 73-61",62,Away,15-9,7-5,
2011,Butler,Butler,Mon Feb 7,61,254,Illinois Chicago,"W, 72-65",67,Home,16-9,8-5,
2011,Butler,Butler,Thu Feb 10,64,111,Wright St.,"W, 71-63",62,Home,17-9,9-5,
2011,Butler,Butler,Sat Feb 12,64,131,Detroit,"W, 66-51",61,Home,18-9,10-5,
2011,Butler,Butler,Tue Feb 15,63,158,Green Bay,"W, 64-62",62,Away,19-9,11-5,
2011,Butler,Butler,Sat Feb 19,61,254,Illinois Chicago,"W, 79-52",64,Away,20-9,12-5,
2011,Butler,Butler,Sat Feb 26,57,136,Loyola Chicago,"W, 63-56",59,Home,21-9,13-5,
2011,Butler,Butler,Sat Mar 5,62,68,Cleveland St.,"W, 76-68",65,Neutral,22-9,,Horizon League
2011,Butler,Butler,Tue Mar 8,61,138,Milwaukee,"W, 59-44",58,Away,23-9,,Horizon League
2011,Butler,Butler,Thu Mar 17,50,48,Old Dominion,"W, 60-58",59,Neutral,24-9,,NCAA
2011,Butler,Butler,Sat Mar 19,49,4,Pittsburgh,"W, 71-70",59,Neutral,25-9,,NCAA
2011,Butler,Butler,Thu Mar 24,48,6,Wisconsin,"W, 61-54",63,Neutral,26-9,,NCAA
2011,Butler,Butler,Sat Mar 26,45,17,Florida,"W, 74-71",67,Neutral,27-9,,NCAA
2011,Butler,Butler,Sat Apr 2,39,53,VCU,"W, 70-62",66,Neutral,28-9,,NCAA
2011,Butler,Butler,Mon Apr 4,37,10,Connecticut,"L, 53-41",57,Neutral,28-10,,NCAA
