Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,George Mason,George Mason,Sat Nov 13,82,71,Harvard,"W, 66-53",74,Home,1-0,,
2011,George Mason,George Mason,Thu Nov 18,76,207,Charlotte,"W, 78-56",69,Neutral,2-0,,
2011,George Mason,George Mason,Fri Nov 19,67,87,N.C. State,"L, 78-65",69,Neutral,2-1,,
2011,George Mason,George Mason,Sun Nov 21,70,84,Wofford,"L, 82-79",70,Neutral,2-2,,
2011,George Mason,George Mason,Wed Nov 24,78,331,Radford,"W, 81-55",68,Home,3-2,,
2011,George Mason,George Mason,Sat Nov 27,76,186,Florida Atlantic,"W, 66-51",60,Home,4-2,,
2011,George Mason,George Mason,Wed Dec 1,70,175,George Washington,"W, 60-46",62,Home,5-2,,
2011,George Mason,George Mason,Sat Dec 4,67,204,UNC Wilmington,"W, 80-52",62,Home,6-2,1-0,
2011,George Mason,George Mason,Wed Dec 8,55,181,Loyola MD,"W, 66-52",63,Home,7-2,,
2011,George Mason,George Mason,Sat Dec 11,54,231,Liberty,"W, 84-54",64,Away,8-2,,
2011,George Mason,George Mason,Wed Dec 22,46,55,Duquesne,"W, 85-79",76,Away,9-2,,
2011,George Mason,George Mason,Wed Dec 29,43,97,Dayton,"L, 73-67",65,Away,9-3,,
2011,George Mason,George Mason,Mon Jan 3,50,196,Delaware,"W, 75-66",66,Home,10-3,2-0,
2011,George Mason,George Mason,Wed Jan 5,51,135,Hofstra,"L, 87-74",70,Away,10-4,2-1,
2011,George Mason,George Mason,Sat Jan 8,64,48,Old Dominion,"L, 69-65",57,Away,10-5,2-2,
2011,George Mason,George Mason,Wed Jan 12,65,194,Northeastern,"W, 86-60",61,Away,11-5,3-2,
2011,George Mason,George Mason,Sat Jan 15,59,217,Georgia St.,"W, 66-51",62,Home,12-5,4-2,
2011,George Mason,George Mason,Wed Jan 19,56,93,Drexel,"W, 71-47",68,Home,13-5,5-2,
2011,George Mason,George Mason,Sat Jan 22,41,106,James Madison,"W, 75-73",69,Away,14-5,6-2,
2011,George Mason,George Mason,Mon Jan 24,39,196,Delaware,"W, 69-49",66,Away,15-5,7-2,
2011,George Mason,George Mason,Thu Jan 27,33,278,Towson,"W, 84-58",65,Home,16-5,8-2,
2011,George Mason,George Mason,Sat Jan 29,33,226,William & Mary,"W, 85-69",64,Away,17-5,9-2,
2011,George Mason,George Mason,Wed Feb 2,28,135,Hofstra,"W, 87-68",72,Home,18-5,10-2,
2011,George Mason,George Mason,Sat Feb 5,27,48,Old Dominion,"W, 62-45",61,Home,19-5,11-2,
2011,George Mason,George Mason,Tue Feb 8,25,204,UNC Wilmington,"W, 78-63",63,Away,20-5,12-2,
2011,George Mason,George Mason,Sat Feb 12,22,106,James Madison,"W, 82-68",70,Home,21-5,13-2,
2011,George Mason,George Mason,Tue Feb 15,22,53,VCU,"W, 71-51",63,Away,22-5,14-2,
2011,George Mason,George Mason,Sat Feb 19,18,107,Northern Iowa,"W, 77-71",58,Away,23-5,,
2011,George Mason,George Mason,Thu Feb 24,20,194,Northeastern,"W, 67-61",64,Home,24-5,15-2,
2011,George Mason,George Mason,Sat Feb 26,24,217,Georgia St.,"W, 65-58",59,Away,25-5,16-2,
2011,George Mason,George Mason,Sat Mar 5,27,217,Georgia St.,"W, 68-45",62,Neutral,26-5,,Colonial Athletic Association
2011,George Mason,George Mason,Sun Mar 6,22,53,VCU,"L, 79-63",63,Semi-Away,26-6,,Colonial Athletic Association
2011,George Mason,George Mason,Fri Mar 18,27,28,Villanova,"W, 61-57",61,Neutral,27-6,,NCAA
2011,George Mason,George Mason,Sun Mar 20,25,1,Ohio St.,"L, 98-66",66,Semi-Away,27-7,,NCAA
