Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Indiana St.,Indiana St.,Fri Nov 12,146,333,Texas Pan American,"W, 69-46",60,Neutral,1-0,,
2011,Indiana St.,Indiana St.,Sat Nov 13,127,136,Loyola Chicago,"L, 86-74",66,Away,1-1,,
2011,Indiana St.,Indiana St.,Sun Nov 14,141,239,Eastern Kentucky,"L, 64-59",69,Neutral,1-2,,
2011,Indiana St.,Indiana St.,Wed Nov 17,154,164,Ball St.,"L, 75-60",69,Away,1-3,,
2011,Indiana St.,Indiana St.,Sat Nov 20,168,123,Oral Roberts,"W, 74-69",68,Away,2-3,,
2011,Indiana St.,Indiana St.,Sat Nov 27,158,115,Buffalo,"W, 58-54",65,Home,3-3,,
2011,Indiana St.,Indiana St.,Tue Nov 30,154,11,Notre Dame,"L, 81-72",67,Away,3-4,,
2011,Indiana St.,Indiana St.,Sat Dec 4,146,229,Wyoming,"L, 81-51",64,Away,3-5,,
2011,Indiana St.,Indiana St.,Wed Dec 8,182,197,DePaul,"W, 73-51",68,Home,4-5,,
2011,Indiana St.,Indiana St.,Sun Dec 12,163,NR,Oakland City,"W, 86-42",69,Home,5-5,,
2011,Indiana St.,Indiana St.,Sat Dec 18,163,9,Purdue,"L, 65-52",68,Neutral,5-6,,
2011,Indiana St.,Indiana St.,Wed Dec 29,163,193,Bradley,"W, 80-66",74,Home,6-6,1-0,
2011,Indiana St.,Indiana St.,Sat Jan 1,145,168,Evansville,"L, 64-59",72,Away,6-7,1-1,
2011,Indiana St.,Indiana St.,Tue Jan 4,148,237,Illinois St.,"W, 72-57",58,Home,7-7,2-1,
2011,Indiana St.,Indiana St.,Fri Jan 7,135,107,Northern Iowa,"W, 70-45",58,Home,8-7,3-1,
2011,Indiana St.,Indiana St.,Sun Jan 9,106,201,Drake,"W, 62-57",65,Away,9-7,4-1,
2011,Indiana St.,Indiana St.,Wed Jan 12,107,193,Bradley,"W, 59-53",65,Away,10-7,5-1,
2011,Indiana St.,Indiana St.,Sun Jan 16,110,98,Creighton,"W, 61-59",61,Home,11-7,6-1,
2011,Indiana St.,Indiana St.,Wed Jan 19,107,69,Missouri St.,"W, 70-69",62,Home,12-7,7-1,
2011,Indiana St.,Indiana St.,Sat Jan 22,105,27,Wichita St.,"L, 93-83",91,Away,12-8,7-2,
2011,Indiana St.,Indiana St.,Wed Jan 26,113,168,Evansville,"L, 66-63",62,Home,12-9,7-3,
2011,Indiana St.,Indiana St.,Sat Jan 29,120,98,Creighton,"L, 83-69",72,Away,12-10,7-4,
2011,Indiana St.,Indiana St.,Tue Feb 1,125,27,Wichita St.,"L, 70-54",60,Home,12-11,7-5,
2011,Indiana St.,Indiana St.,Sat Feb 5,136,69,Missouri St.,"L, 73-66",63,Away,12-12,7-6,
2011,Indiana St.,Indiana St.,Wed Feb 9,133,237,Illinois St.,"W, 56-46",61,Away,13-12,8-6,
2011,Indiana St.,Indiana St.,Sat Feb 12,131,201,Drake,"W, 75-63",64,Home,14-12,9-6,
2011,Indiana St.,Indiana St.,Wed Feb 16,122,213,Southern Illinois,"W, 77-72",75,Away,15-12,10-6,
2011,Indiana St.,Indiana St.,Sat Feb 19,123,89,Morehead St.,"L, 71-65",63,Home,15-13,,
2011,Indiana St.,Indiana St.,Tue Feb 22,136,107,Northern Iowa,"W, 76-74",66,Away,16-13,11-6,
2011,Indiana St.,Indiana St.,Sat Feb 26,131,213,Southern Illinois,"W, 75-60",67,Home,17-13,12-6,
2011,Indiana St.,Indiana St.,Fri Mar 4,131,168,Evansville,"W, 52-50",64,Neutral,18-13,,Missouri Valley
2011,Indiana St.,Indiana St.,Sat Mar 5,130,27,Wichita St.,"W, 61-54",65,Neutral,19-13,,Missouri Valley
2011,Indiana St.,Indiana St.,Sun Mar 6,118,69,Missouri St.,"W, 60-56",57,Neutral,20-13,,Missouri Valley
2011,Indiana St.,Indiana St.,Fri Mar 18,101,13,Syracuse,"L, 77-60",64,Neutral,20-14,,NCAA
