Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Louisville,Louisville,Tue Nov 16,44,36,Butler,"W, 88-73",84,Home,1-0,,
2011,Louisville,Louisville,Sat Nov 20,38,277,Jackson St.,"W, 62-45",65,Home,2-0,,
2011,Louisville,Louisville,Mon Nov 22,34,266,Chattanooga,"W, 106-65",80,Home,3-0,,
2011,Louisville,Louisville,Sat Nov 27,30,85,Marshall,"W, 80-66",71,Home,4-0,,
2011,Louisville,Louisville,Wed Dec 1,26,286,FIU,"W, 92-55",76,Home,5-0,,
2011,Louisville,Louisville,Sat Dec 4,19,295,South Alabama,"W, 97-70",79,Home,6-0,,
2011,Louisville,Louisville,Wed Dec 8,21,148,San Francisco,"W, 61-35",57,Home,7-0,,
2011,Louisville,Louisville,Sat Dec 11,13,29,UNLV,"W, 77-69",69,Home,8-0,,
2011,Louisville,Louisville,Tue Dec 14,11,93,Drexel,"L, 52-46",64,Home,8-1,,
2011,Louisville,Louisville,Sat Dec 18,15,270,Gardner Webb,"W, 78-49",70,Home,9-1,,
2011,Louisville,Louisville,Wed Dec 22,12,216,Western Kentucky,"W, 114-82",79,Away,10-1,,
2011,Louisville,Louisville,Mon Dec 27,9,247,Morgan St.,"W, 104-74",79,Home,11-1,,
2011,Louisville,Louisville,Fri Dec 31,9,7,Kentucky,"L, 78-63",64,Home,11-2,,
2011,Louisville,Louisville,Wed Jan 5,12,59,Seton Hall,"W, 73-54",67,Home,12-2,1-0,
2011,Louisville,Louisville,Sun Jan 9,9,129,South Florida,"W, 86-77",65,Away,13-2,2-0,
2011,Louisville,Louisville,Wed Jan 12,10,28,Villanova,"L, 88-74",73,Away,13-3,2-1,
2011,Louisville,Louisville,Sat Jan 15,14,26,Marquette,"W, 71-70",77,Home,14-3,3-1,
2011,Louisville,Louisville,Wed Jan 19,18,41,St. John's,"W, 88-63",73,Home,15-3,4-1,
2011,Louisville,Louisville,Sat Jan 22,13,86,Providence,"L, 72-67",69,Away,15-4,4-2,
2011,Louisville,Louisville,Wed Jan 26,17,19,West Virginia,"W, 55-54",64,Home,16-4,5-2,
2011,Louisville,Louisville,Sat Jan 29,16,10,Connecticut,"W, 79-78",81,Away,17-4,6-2,
2011,Louisville,Louisville,Mon Jan 31,17,31,Georgetown,"L, 62-59",65,Away,17-5,6-3,
2011,Louisville,Louisville,Sat Feb 5,18,197,DePaul,"W, 61-57",58,Home,18-5,7-3,
2011,Louisville,Louisville,Wed Feb 9,20,11,Notre Dame,"L, 89-79",70,Away,18-6,7-4,
2011,Louisville,Louisville,Sat Feb 12,23,13,Syracuse,"W, 73-69",63,Home,19-6,8-4,
2011,Louisville,Louisville,Wed Feb 16,22,21,Cincinnati,"L, 63-54",61,Away,19-7,8-5,
2011,Louisville,Louisville,Fri Feb 18,26,10,Connecticut,"W, 71-58",65,Home,20-7,9-5,
2011,Louisville,Louisville,Tue Feb 22,21,78,Rutgers,"W, 55-37",60,Away,21-7,10-5,
2011,Louisville,Louisville,Sun Feb 27,14,4,Pittsburgh,"W, 62-59",69,Home,22-7,11-5,
2011,Louisville,Louisville,Wed Mar 2,15,86,Providence,"W, 87-60",74,Home,23-7,12-5,
2011,Louisville,Louisville,Sat Mar 5,14,19,West Virginia,"L, 72-70",66,Away,23-8,12-6,
2011,Louisville,Louisville,Thu Mar 10,14,26,Marquette,"W, 81-56",68,Neutral,24-8,,Big East
2011,Louisville,Louisville,Fri Mar 11,14,11,Notre Dame,"W, 83-77",71,Neutral,25-8,,Big East
2011,Louisville,Louisville,Sat Mar 12,12,10,Connecticut,"L, 69-66",65,Neutral,25-9,,Big East
2011,Louisville,Louisville,Thu Mar 17,12,89,Morehead St.,"L, 62-61",68,Neutral,25-10,,NCAA
