Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Michigan St.,Michigan St.,Fri Nov 12,6,283,Eastern Michigan,"W, 96-66",88,Home,1-0,,
2011,Michigan St.,Michigan St.,Tue Nov 16,6,130,South Carolina,"W, 82-73",81,Home,2-0,,
2011,Michigan St.,Michigan St.,Mon Nov 22,7,NR,Chaminade,"W, 82-74",69,Semi-Away,3-0,,
2011,Michigan St.,Michigan St.,Tue Nov 23,8,10,Connecticut,"L, 70-67",65,Neutral,3-1,,
2011,Michigan St.,Michigan St.,Wed Nov 24,13,16,Washington,"W, 76-71",70,Neutral,4-1,,
2011,Michigan St.,Michigan St.,Sun Nov 28,5,210,Tennessee Tech,"W, 73-55",70,Home,5-1,,
2011,Michigan St.,Michigan St.,Wed Dec 1,10,2,Duke,"L, 84-79",74,Away,5-2,,
2011,Michigan St.,Michigan St.,Sat Dec 4,12,242,Bowling Green,"W, 74-39",66,Home,6-2,,
2011,Michigan St.,Michigan St.,Tue Dec 7,7,13,Syracuse,"L, 72-58",68,Semi-Away,6-3,,
2011,Michigan St.,Michigan St.,Sat Dec 11,15,56,Oakland,"W, 77-76",71,Neutral,7-3,,
2011,Michigan St.,Michigan St.,Sat Dec 18,14,334,Prairie View A&M,"W, 90-51",72,Home,8-3,,
2011,Michigan St.,Michigan St.,Wed Dec 22,14,5,Texas,"L, 67-55",70,Home,8-4,,
2011,Michigan St.,Michigan St.,Fri Dec 31,21,58,Minnesota,"W, 71-62",64,Home,9-4,1-0,
2011,Michigan St.,Michigan St.,Mon Jan 3,19,50,Northwestern,"W, 65-62",66,Away,10-4,2-0,
2011,Michigan St.,Michigan St.,Sat Jan 8,25,46,Penn St.,"L, 66-62",60,Away,10-5,2-1,
2011,Michigan St.,Michigan St.,Tue Jan 11,23,6,Wisconsin,"W, 64-61",63,Home,11-5,3-1,
2011,Michigan St.,Michigan St.,Sat Jan 15,25,50,Northwestern,"W, 71-67",74,Home,12-5,4-1,
2011,Michigan St.,Michigan St.,Tue Jan 18,23,18,Illinois,"L, 71-62",60,Away,12-6,4-2,
2011,Michigan St.,Michigan St.,Sat Jan 22,23,9,Purdue,"L, 86-76",65,Away,12-7,4-3,
2011,Michigan St.,Michigan St.,Thu Jan 27,27,30,Michigan,"L, 61-57",59,Home,12-8,4-4,
2011,Michigan St.,Michigan St.,Sun Jan 30,34,82,Indiana,"W, 84-83",74,Home,13-8,5-4,
2011,Michigan St.,Michigan St.,Wed Feb 2,37,88,Iowa,"L, 72-52",64,Away,13-9,5-5,
2011,Michigan St.,Michigan St.,Sun Feb 6,44,6,Wisconsin,"L, 82-56",54,Away,13-10,5-6,
2011,Michigan St.,Michigan St.,Thu Feb 10,51,46,Penn St.,"W, 75-57",57,Home,14-10,6-6,
2011,Michigan St.,Michigan St.,Tue Feb 15,47,1,Ohio St.,"L, 71-61",62,Away,14-11,6-7,
2011,Michigan St.,Michigan St.,Sat Feb 19,45,18,Illinois,"W, 61-57",62,Home,15-11,7-7,
2011,Michigan St.,Michigan St.,Tue Feb 22,41,58,Minnesota,"W, 53-48",61,Away,16-11,8-7,
2011,Michigan St.,Michigan St.,Sun Feb 27,40,9,Purdue,"L, 67-47",64,Home,16-12,8-8,
2011,Michigan St.,Michigan St.,Wed Mar 2,47,88,Iowa,"W, 85-66",72,Home,17-12,9-8,
2011,Michigan St.,Michigan St.,Sat Mar 5,43,30,Michigan,"L, 70-63",64,Away,17-13,9-9,
2011,Michigan St.,Michigan St.,Thu Mar 10,43,88,Iowa,"W, 66-61",64,Neutral,18-13,,Big Ten
2011,Michigan St.,Michigan St.,Fri Mar 11,43,9,Purdue,"W, 74-56",64,Neutral,19-13,,Big Ten
2011,Michigan St.,Michigan St.,Sat Mar 12,37,46,Penn St.,"L, 61-48",57,Neutral,19-14,,Big Ten
2011,Michigan St.,Michigan St.,Thu Mar 17,42,52,UCLA,"L, 78-76",74,Neutral,19-15,,NCAA
