Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Morehead St.,Morehead St.,Fri Nov 12,116,NR,Asbury,"W, 90-49",75,Home,1-0,,
2011,Morehead St.,Morehead St.,Sun Nov 14,115,293,North Carolina A&T,"W, 84-61",69,Home,2-0,,
2011,Morehead St.,Morehead St.,Thu Nov 18,105,204,UNC Wilmington,"L, 60-58",58,Away,2-1,,
2011,Morehead St.,Morehead St.,Sun Nov 21,123,17,Florida,"L, 61-55",64,Away,2-2,,
2011,Morehead St.,Morehead St.,Tue Nov 23,119,1,Ohio St.,"L, 64-45",65,Away,2-3,,
2011,Morehead St.,Morehead St.,Sun Nov 28,124,342,SIU Edwardsville,"W, 83-64",70,Away,3-3,,
2011,Morehead St.,Morehead St.,Thu Dec 2,125,297,Tennessee Martin,"W, 70-49",72,Home,4-3,1-0,
2011,Morehead St.,Morehead St.,Sat Dec 4,117,134,Murray St.,"W, 75-65",63,Home,5-3,2-0,
2011,Morehead St.,Morehead St.,Tue Dec 7,102,NR,St. Catharine,"W, 77-64",71,Home,6-3,,
2011,Morehead St.,Morehead St.,Sat Dec 11,102,107,Northern Iowa,"L, 69-53",51,Away,6-4,,
2011,Morehead St.,Morehead St.,Sun Dec 19,123,241,Tennessee St.,"L, 70-64",72,Away,6-5,2-1,
2011,Morehead St.,Morehead St.,Tue Dec 21,139,140,Austin Peay,"L, 86-85",65,Away,6-6,2-2,
2011,Morehead St.,Morehead St.,Tue Dec 28,135,99,Kent St.,"W, 76-59",63,Home,7-6,,
2011,Morehead St.,Morehead St.,Thu Dec 30,118,315,Binghamton,"W, 80-74",61,Home,8-6,,
2011,Morehead St.,Morehead St.,Sun Jan 2,127,70,College of Charleston,"W, 69-49",63,Home,9-6,,
2011,Morehead St.,Morehead St.,Thu Jan 6,111,210,Tennessee Tech,"W, 76-64",73,Home,10-6,3-2,
2011,Morehead St.,Morehead St.,Sat Jan 8,113,292,Jacksonville St.,"W, 73-52",65,Home,11-6,4-2,
2011,Morehead St.,Morehead St.,Thu Jan 13,103,296,Southeast Missouri St.,"W, 76-63",66,Away,12-6,5-2,
2011,Morehead St.,Morehead St.,Sat Jan 15,109,304,Eastern Illinois,"L, 47-40",61,Away,12-7,5-3,
2011,Morehead St.,Morehead St.,Sat Jan 22,127,239,Eastern Kentucky,"L, 59-49",63,Home,12-8,5-4,
2011,Morehead St.,Morehead St.,Mon Jan 24,145,164,Ball St.,"W, 50-48",54,Away,13-8,,
2011,Morehead St.,Morehead St.,Thu Jan 27,137,241,Tennessee St.,"W, 72-65",59,Home,14-8,6-4,
2011,Morehead St.,Morehead St.,Sat Jan 29,137,140,Austin Peay,"W, 69-56",63,Home,15-8,7-4,
2011,Morehead St.,Morehead St.,Thu Feb 3,130,292,Jacksonville St.,"W, 78-72",66,Away,16-8,8-4,
2011,Morehead St.,Morehead St.,Sat Feb 5,133,210,Tennessee Tech,"W, 76-60",71,Away,17-8,9-4,
2011,Morehead St.,Morehead St.,Thu Feb 10,121,304,Eastern Illinois,"W, 81-65",71,Home,18-8,10-4,
2011,Morehead St.,Morehead St.,Sat Feb 12,122,296,Southeast Missouri St.,"W, 64-52",63,Home,19-8,11-4,
2011,Morehead St.,Morehead St.,Wed Feb 16,126,239,Eastern Kentucky,"W, 76-68",65,Away,20-8,12-4,
2011,Morehead St.,Morehead St.,Sat Feb 19,115,108,Indiana St.,"W, 71-65",63,Away,21-8,,
2011,Morehead St.,Morehead St.,Thu Feb 24,109,134,Murray St.,"L, 70-62",66,Away,21-9,12-5,
2011,Morehead St.,Morehead St.,Sat Feb 26,111,297,Tennessee Martin,"W, 77-64",68,Away,22-9,13-5,
2011,Morehead St.,Morehead St.,Fri Mar 4,105,140,Austin Peay,"W, 68-49",62,Neutral,23-9,,Ohio Valley
2011,Morehead St.,Morehead St.,Sat Mar 5,95,210,Tennessee Tech,"W, 80-73",72,Neutral,24-9,,Ohio Valley
2011,Morehead St.,Morehead St.,Thu Mar 17,94,14,Louisville,"W, 62-61",68,Neutral,25-9,,NCAA
2011,Morehead St.,Morehead St.,Sat Mar 19,86,39,Richmond,"L, 65-48",54,Neutral,25-10,,NCAA
