Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Northern Colorado,Northern Colorado,Fri Nov 12,148,NR,Tabor,"W, 93-52",76,Home,1-0,,
2011,Northern Colorado,Northern Colorado,Tue Nov 16,148,229,Wyoming,"W, 67-53",64,Home,2-0,,
2011,Northern Colorado,Northern Colorado,Sun Nov 21,130,20,Arizona,"L, 93-70",72,Away,2-1,,
2011,Northern Colorado,Northern Colorado,Tue Nov 23,137,116,Santa Clara,"L, 87-84",75,Away,2-2,,
2011,Northern Colorado,Northern Colorado,Fri Nov 26,135,95,Valparaiso,"L, 76-61",67,Neutral,2-3,,
2011,Northern Colorado,Northern Colorado,Sat Nov 27,161,291,Bethune Cookman,"W, 69-45",59,Neutral,3-3,,
2011,Northern Colorado,Northern Colorado,Sat Dec 4,129,NR,Black Hills St.,"W, 84-52",71,Home,4-3,,
2011,Northern Colorado,Northern Colorado,Sun Dec 12,134,18,Illinois,"L, 86-76",74,Away,4-4,,
2011,Northern Colorado,Northern Colorado,Sat Dec 18,125,219,Denver,"L, 71-68",57,Away,4-5,,
2011,Northern Colorado,Northern Colorado,Mon Dec 20,141,77,Colorado St.,"L, 75-61",70,Away,4-6,,
2011,Northern Colorado,Northern Colorado,Wed Dec 22,147,326,Louisiana Monroe,"L, 78-75",69,Away,4-7,,
2011,Northern Colorado,Northern Colorado,Wed Dec 29,172,267,Portland St.,"W, 79-66",68,Away,5-7,1-0,
2011,Northern Colorado,Northern Colorado,Fri Dec 31,160,262,Eastern Washington,"W, 75-73",65,Away,6-7,2-0,
2011,Northern Colorado,Northern Colorado,Thu Jan 6,173,114,Montana,"W, 63-45",60,Home,7-7,3-0,
2011,Northern Colorado,Northern Colorado,Sat Jan 8,143,250,Montana St.,"W, 72-58",72,Home,8-7,4-0,
2011,Northern Colorado,Northern Colorado,Thu Jan 13,132,302,Idaho St.,"W, 57-37",62,Home,9-7,5-0,
2011,Northern Colorado,Northern Colorado,Thu Jan 20,112,320,Sacramento St.,"W, 77-72",66,Away,10-7,6-0,
2011,Northern Colorado,Northern Colorado,Sat Jan 22,120,169,Weber St.,"W, 65-46",61,Home,11-7,7-0,
2011,Northern Colorado,Northern Colorado,Sat Jan 29,104,169,Weber St.,"L, 72-71",63,Away,11-8,7-1,
2011,Northern Colorado,Northern Colorado,Mon Jan 31,104,124,Northern Arizona,"L, 65-54",68,Away,11-9,7-2,
2011,Northern Colorado,Northern Colorado,Thu Feb 3,109,262,Eastern Washington,"W, 63-53",59,Home,12-9,8-2,
2011,Northern Colorado,Northern Colorado,Sat Feb 5,112,267,Portland St.,"W, 85-72",69,Home,13-9,9-2,
2011,Northern Colorado,Northern Colorado,Thu Feb 10,111,250,Montana St.,"W, 86-77",70,Away,14-9,10-2,
2011,Northern Colorado,Northern Colorado,Sat Feb 12,109,114,Montana,"L, 55-42",57,Away,14-10,10-3,
2011,Northern Colorado,Northern Colorado,Sat Feb 19,116,145,New Mexico St.,"W, 82-80",67,Away,15-10,,
2011,Northern Colorado,Northern Colorado,Mon Feb 21,114,299,North Dakota,"W, 87-69",72,Home,16-10,,
2011,Northern Colorado,Northern Colorado,Sat Feb 26,119,124,Northern Arizona,"W, 72-71",73,Home,17-10,11-3,
2011,Northern Colorado,Northern Colorado,Mon Feb 28,126,302,Idaho St.,"W, 77-74",66,Away,18-10,12-3,
2011,Northern Colorado,Northern Colorado,Wed Mar 2,132,320,Sacramento St.,"W, 84-54",71,Home,19-10,13-3,
2011,Northern Colorado,Northern Colorado,Tue Mar 8,122,124,Northern Arizona,"W, 73-70",71,Home,20-10,,Big Sky
2011,Northern Colorado,Northern Colorado,Wed Mar 9,121,114,Montana,"W, 65-60",66,Home,21-10,,Big Sky
2011,Northern Colorado,Northern Colorado,Thu Mar 17,123,8,San Diego St.,"L, 68-50",61,Neutral,21-11,,NCAA
