Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Oakland,Oakland,Fri Nov 12,108,19,West Virginia,"L, 95-71",72,Away,0-1,,
2011,Oakland,Oakland,Mon Nov 15,121,149,Ohio,"W, 78-66",72,Away,1-1,,
2011,Oakland,Oakland,Sun Nov 21,112,9,Purdue,"L, 82-67",70,Away,1-2,,
2011,Oakland,Oakland,Tue Nov 23,115,111,Wright St.,"L, 82-79",74,Away,1-3,,
2011,Oakland,Oakland,Fri Nov 26,116,345,Southern,"W, 105-53",72,Neutral,2-3,,
2011,Oakland,Oakland,Sat Nov 27,100,140,Austin Peay,"W, 78-70",79,Neutral,3-3,,
2011,Oakland,Oakland,Thu Dec 2,101,260,Southern Utah,"W, 81-65",70,Home,4-3,1-0,
2011,Oakland,Oakland,Sat Dec 4,100,271,UMKC,"W, 99-62",75,Home,5-3,2-0,
2011,Oakland,Oakland,Wed Dec 8,87,18,Illinois,"L, 74-63",67,Away,5-4,,
2011,Oakland,Oakland,Sat Dec 11,86,45,Michigan St.,"L, 77-76",71,Neutral,5-5,,
2011,Oakland,Oakland,Tue Dec 14,78,62,Tennessee,"W, 89-82",72,Away,6-5,,
2011,Oakland,Oakland,Sat Dec 18,74,30,Michigan,"L, 69-51",69,Away,6-6,,
2011,Oakland,Oakland,Mon Dec 20,82,NR,Rochester MI,"W, 103-79",77,Home,7-6,,
2011,Oakland,Oakland,Tue Dec 21,81,95,Valparaiso,"L, 103-102",77,Home,7-7,,
2011,Oakland,Oakland,Thu Dec 23,82,1,Ohio St.,"L, 92-63",73,Away,7-8,,
2011,Oakland,Oakland,Tue Dec 28,84,344,Centenary,"W, 98-71",79,Away,8-8,3-0,
2011,Oakland,Oakland,Thu Dec 30,89,123,Oral Roberts,"W, 85-77",70,Away,9-8,4-0,
2011,Oakland,Oakland,Thu Jan 6,86,122,IUPUI,"W, 85-71",62,Home,10-8,5-0,
2011,Oakland,Oakland,Sat Jan 8,81,330,Western Illinois,"W, 79-50",66,Home,11-8,6-0,
2011,Oakland,Oakland,Sat Jan 15,79,176,IPFW,"W, 86-68",70,Away,12-8,7-0,
2011,Oakland,Oakland,Thu Jan 20,73,110,South Dakota St.,"W, 97-88",72,Away,13-8,8-0,
2011,Oakland,Oakland,Sat Jan 22,70,162,North Dakota St.,"W, 83-76",75,Away,14-8,9-0,
2011,Oakland,Oakland,Thu Jan 27,59,123,Oral Roberts,"W, 88-85",75,Home,15-8,10-0,
2011,Oakland,Oakland,Sat Jan 29,66,344,Centenary,"W, 100-70",82,Home,16-8,11-0,
2011,Oakland,Oakland,Thu Feb 3,67,330,Western Illinois,"W, 88-65",70,Away,17-8,12-0,
2011,Oakland,Oakland,Sat Feb 5,65,122,IUPUI,"L, 100-88",85,Away,17-9,12-1,
2011,Oakland,Oakland,Sat Feb 12,68,176,IPFW,"W, 86-78",72,Home,18-9,13-1,
2011,Oakland,Oakland,Thu Feb 17,74,162,North Dakota St.,"W, 71-69",71,Home,19-9,14-1,
2011,Oakland,Oakland,Sat Feb 19,76,110,South Dakota St.,"W, 105-96",79,Home,20-9,15-1,
2011,Oakland,Oakland,Thu Feb 24,74,271,UMKC,"W, 103-90",72,Away,21-9,16-1,
2011,Oakland,Oakland,Sat Feb 26,74,260,Southern Utah,"W, 82-68",77,Away,22-9,17-1,
2011,Oakland,Oakland,Sat Mar 5,73,260,Southern Utah,"W, 82-66",64,Neutral,23-9,,Summit League
2011,Oakland,Oakland,Mon Mar 7,72,110,South Dakota St.,"W, 110-90",72,Semi-Away,24-9,,Summit League
2011,Oakland,Oakland,Tue Mar 8,70,123,Oral Roberts,"W, 90-76",72,Neutral,25-9,,Summit League
2011,Oakland,Oakland,Fri Mar 18,66,5,Texas,"L, 85-81",71,Neutral,25-10,,NCAA
