Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Penn St.,Penn St.,Fri Nov 12,55,190,Lehigh,"W, 70-56",64,Home,1-0,,
2011,Penn St.,Penn St.,Tue Nov 16,56,187,Saint Joseph's,"W, 66-57",73,Home,2-0,,
2011,Penn St.,Penn St.,Fri Nov 19,55,104,Fairfield,"W, 64-49",63,Home,3-0,,
2011,Penn St.,Penn St.,Mon Nov 22,48,157,Central Connecticut,"W, 77-61",66,Home,4-0,,
2011,Penn St.,Penn St.,Fri Nov 26,47,76,Mississippi,"L, 84-71",60,Away,4-1,,
2011,Penn St.,Penn St.,Sun Nov 28,56,142,Furman,"W, 70-49",57,Home,5-1,,
2011,Penn St.,Penn St.,Wed Dec 1,55,44,Maryland,"L, 62-39",65,Home,5-2,,
2011,Penn St.,Penn St.,Sat Dec 4,64,55,Duquesne,"W, 77-73",71,Home,6-2,,
2011,Penn St.,Penn St.,Tue Dec 7,63,249,Mount St. Mary's,"W, 57-53",61,Home,7-2,,
2011,Penn St.,Penn St.,Sun Dec 12,70,40,Virginia Tech,"L, 79-69",64,Away,7-3,,
2011,Penn St.,Penn St.,Tue Dec 21,74,200,Maine,"L, 74-64",65,Home,7-4,,
2011,Penn St.,Penn St.,Mon Dec 27,85,82,Indiana,"W, 69-60",57,Away,8-4,1-0,
2011,Penn St.,Penn St.,Sun Jan 2,81,30,Michigan,"L, 76-69",60,Away,8-5,1-1,
2011,Penn St.,Penn St.,Wed Jan 5,79,9,Purdue,"L, 83-68",73,Home,8-6,1-2,
2011,Penn St.,Penn St.,Sat Jan 8,78,45,Michigan St.,"W, 66-62",60,Home,9-6,2-2,
2011,Penn St.,Penn St.,Tue Jan 11,74,18,Illinois,"W, 57-55",61,Home,10-6,3-2,
2011,Penn St.,Penn St.,Sat Jan 15,67,1,Ohio St.,"L, 69-66",57,Away,10-7,3-3,
2011,Penn St.,Penn St.,Wed Jan 19,62,9,Purdue,"L, 63-62",54,Away,10-8,3-4,
2011,Penn St.,Penn St.,Wed Jan 26,52,88,Iowa,"W, 65-51",57,Home,11-8,4-4,
2011,Penn St.,Penn St.,Sat Jan 29,49,6,Wisconsin,"W, 56-52",52,Home,12-8,5-4,
2011,Penn St.,Penn St.,Tue Feb 1,47,18,Illinois,"L, 68-51",59,Away,12-9,5-5,
2011,Penn St.,Penn St.,Sun Feb 6,49,30,Michigan,"L, 65-62",54,Home,12-10,5-6,
2011,Penn St.,Penn St.,Thu Feb 10,56,45,Michigan St.,"L, 75-57",57,Away,12-11,5-7,
2011,Penn St.,Penn St.,Sun Feb 13,64,50,Northwestern,"W, 65-41",59,Home,13-11,6-7,
2011,Penn St.,Penn St.,Thu Feb 17,53,58,Minnesota,"W, 66-63",57,Home,14-11,7-7,
2011,Penn St.,Penn St.,Sun Feb 20,54,6,Wisconsin,"L, 76-66",55,Away,14-12,7-8,
2011,Penn St.,Penn St.,Thu Feb 24,51,50,Northwestern,"W, 66-52",57,Away,15-12,8-8,
2011,Penn St.,Penn St.,Tue Mar 1,46,1,Ohio St.,"L, 82-61",62,Home,15-13,8-9,
2011,Penn St.,Penn St.,Sun Mar 6,54,58,Minnesota,"W, 66-63",62,Away,16-13,9-9,
2011,Penn St.,Penn St.,Thu Mar 10,50,82,Indiana,"W, 61-55",55,Neutral,17-13,,Big Ten
2011,Penn St.,Penn St.,Fri Mar 11,47,6,Wisconsin,"W, 36-33",44,Neutral,18-13,,Big Ten
2011,Penn St.,Penn St.,Sat Mar 12,46,45,Michigan St.,"W, 61-48",57,Neutral,19-13,,Big Ten
2011,Penn St.,Penn St.,Sun Mar 13,39,1,Ohio St.,"L, 71-60",61,Neutral,19-14,,Big Ten
2011,Penn St.,Penn St.,Thu Mar 17,40,34,Temple,"L, 66-64",58,Neutral,19-15,,NCAA
