Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Princeton,Princeton,Fri Nov 12,138,78,Rutgers,"W, 78-73",68,Home,1-0,,
2011,Princeton,Princeton,Sun Nov 14,132,2,Duke,"L, 97-60",77,Away,1-1,,
2011,Princeton,Princeton,Mon Nov 22,142,106,James Madison,"L, 65-64",65,Away,1-2,,
2011,Princeton,Princeton,Tue Nov 23,145,96,Bucknell,"W, 66-55",66,Neutral,2-2,,
2011,Princeton,Princeton,Wed Nov 24,132,253,Presbyterian,"L, 69-67",57,Neutral,2-3,,
2011,Princeton,Princeton,Sun Nov 28,155,203,Siena,"W, 86-77",79,Home,3-3,,
2011,Princeton,Princeton,Tue Nov 30,143,225,Lafayette,"W, 82-64",65,Away,4-3,,
2011,Princeton,Princeton,Sun Dec 5,129,187,Saint Joseph's,"W, 74-65",65,Home,5-3,,
2011,Princeton,Princeton,Wed Dec 8,125,281,Monmouth,"W, 64-61",66,Away,6-3,,
2011,Princeton,Princeton,Sun Dec 12,126,91,Tulsa,"W, 82-78",79,Away,7-3,,
2011,Princeton,Princeton,Fri Dec 17,124,230,Wagner,"W, 69-57",67,Away,8-3,,
2011,Princeton,Princeton,Wed Dec 22,118,278,Towson,"W, 75-65",62,Away,9-3,,
2011,Princeton,Princeton,Wed Dec 29,115,194,Northeastern,"W, 65-63",67,Neutral,10-3,,
2011,Princeton,Princeton,Thu Dec 30,114,105,UCF,"L, 68-62",65,Away,10-4,,
2011,Princeton,Princeton,Wed Jan 5,109,322,Marist,"W, 68-57",66,Home,11-4,,
2011,Princeton,Princeton,Sun Jan 23,117,NR,College of New Jersey,"W, 73-40",65,Home,12-4,,
2011,Princeton,Princeton,Fri Jan 28,110,238,Brown,"W, 78-60",66,Home,13-4,1-0,
2011,Princeton,Princeton,Sat Jan 29,109,182,Yale,"W, 67-63",62,Home,14-4,2-0,
2011,Princeton,Princeton,Fri Feb 4,110,71,Harvard,"W, 65-61",62,Home,15-4,3-0,
2011,Princeton,Princeton,Sat Feb 5,109,321,Dartmouth,"W, 68-53",62,Home,16-4,4-0,
2011,Princeton,Princeton,Tue Feb 8,110,185,Penn,"W, 62-59",66,Home,17-4,5-0,
2011,Princeton,Princeton,Fri Feb 11,111,214,Columbia,"W, 76-46",62,Away,18-4,6-0,
2011,Princeton,Princeton,Sat Feb 12,92,192,Cornell,"W, 57-55",61,Away,19-4,7-0,
2011,Princeton,Princeton,Fri Feb 18,91,182,Yale,"W, 58-51",62,Away,20-4,8-0,
2011,Princeton,Princeton,Sat Feb 19,89,238,Brown,"L, 75-65",66,Away,20-5,8-1,
2011,Princeton,Princeton,Fri Feb 25,99,192,Cornell,"W, 84-66",67,Home,21-5,9-1,
2011,Princeton,Princeton,Sat Feb 26,96,214,Columbia,"W, 66-61",66,Home,22-5,10-1,
2011,Princeton,Princeton,Fri Mar 4,94,321,Dartmouth,"W, 77-55",63,Away,23-5,11-1,
2011,Princeton,Princeton,Sat Mar 5,92,71,Harvard,"L, 79-67",64,Away,23-6,11-2,
2011,Princeton,Princeton,Tue Mar 8,95,185,Penn,"W, 70-58",62,Away,24-6,12-2,
2011,Princeton,Princeton,Sat Mar 12,89,71,Harvard,"W, 63-62",57,Neutral,25-6,,Ivy League
2011,Princeton,Princeton,Thu Mar 17,89,7,Kentucky,"L, 59-57",54,Neutral,25-7,,NCAA
