Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,San Diego St.,San Diego St.,Sat Nov 13,26,94,Long Beach St.,"W, 81-65",69,Away,1-0,,
2011,San Diego St.,San Diego St.,Tue Nov 16,24,37,Gonzaga,"W, 79-76",68,Away,2-0,,
2011,San Diego St.,San Diego St.,Sat Nov 20,25,158,Green Bay,"W, 79-70",68,Neutral,3-0,,
2011,San Diego St.,San Diego St.,Sun Nov 21,30,122,IUPUI,"W, 61-46",53,Neutral,4-0,,
2011,San Diego St.,San Diego St.,Mon Nov 22,26,188,Miami OH,"W, 77-56",64,Away,5-0,,
2011,San Diego St.,San Diego St.,Fri Nov 26,24,NR,San Diego Christian,"W, 88-69",68,Home,6-0,,
2011,San Diego St.,San Diego St.,Wed Dec 1,25,43,Saint Mary's,"W, 69-55",66,Home,7-0,,
2011,San Diego St.,San Diego St.,Sat Dec 4,20,27,Wichita St.,"W, 83-69",70,Home,8-0,,
2011,San Diego St.,San Diego St.,Wed Dec 8,20,75,California,"W, 77-57",66,Away,9-0,,
2011,San Diego St.,San Diego St.,Sat Dec 11,14,294,San Diego,"W, 77-49",61,Home,10-0,,
2011,San Diego St.,San Diego St.,Mon Dec 13,14,167,Cal Poly,"W, 51-45",57,Home,11-0,,
2011,San Diego St.,San Diego St.,Sat Dec 18,16,132,UC Santa Barbara,"W, 90-64",63,Home,12-0,,
2011,San Diego St.,San Diego St.,Tue Dec 21,14,148,San Francisco,"W, 62-56",59,Neutral,13-0,,
2011,San Diego St.,San Diego St.,Wed Dec 22,17,122,IUPUI,"W, 56-54",58,Neutral,14-0,,
2011,San Diego St.,San Diego St.,Fri Dec 31,20,NR,Occidental,"W, 93-50",64,Home,15-0,,
2011,San Diego St.,San Diego St.,Wed Jan 5,21,171,TCU,"W, 66-53",63,Away,16-0,1-0,
2011,San Diego St.,San Diego St.,Sat Jan 8,21,141,Utah,"W, 71-62",68,Away,17-0,2-0,
2011,San Diego St.,San Diego St.,Wed Jan 12,22,29,UNLV,"W, 55-49",65,Home,18-0,3-0,
2011,San Diego St.,San Diego St.,Sat Jan 15,18,47,New Mexico,"W, 87-77",67,Away,19-0,4-0,
2011,San Diego St.,San Diego St.,Wed Jan 19,16,126,Air Force,"W, 68-55",54,Home,20-0,5-0,
2011,San Diego St.,San Diego St.,Wed Jan 26,12,12,BYU,"L, 71-58",63,Away,20-1,5-1,
2011,San Diego St.,San Diego St.,Sat Jan 29,12,229,Wyoming,"W, 96-57",71,Home,21-1,6-1,
2011,San Diego St.,San Diego St.,Wed Feb 2,11,77,Colorado St.,"W, 56-54",67,Away,22-1,7-1,
2011,San Diego St.,San Diego St.,Sat Feb 5,11,171,TCU,"W, 60-53",57,Home,23-1,8-1,
2011,San Diego St.,San Diego St.,Tue Feb 8,14,141,Utah,"W, 85-53",72,Home,24-1,9-1,
2011,San Diego St.,San Diego St.,Sat Feb 12,12,29,UNLV,"W, 63-57",62,Away,25-1,10-1,
2011,San Diego St.,San Diego St.,Wed Feb 16,9,47,New Mexico,"W, 68-62",63,Home,26-1,11-1,
2011,San Diego St.,San Diego St.,Sat Feb 19,11,126,Air Force,"W, 70-58",64,Away,27-1,12-1,
2011,San Diego St.,San Diego St.,Sat Feb 26,10,12,BYU,"L, 80-67",67,Home,27-2,12-2,
2011,San Diego St.,San Diego St.,Tue Mar 1,11,229,Wyoming,"W, 85-58",74,Away,28-2,13-2,
2011,San Diego St.,San Diego St.,Sat Mar 5,10,77,Colorado St.,"W, 66-48",60,Home,29-2,14-2,
2011,San Diego St.,San Diego St.,Thu Mar 10,9,141,Utah,"W, 64-50",69,Neutral,30-2,,Mountain West
2011,San Diego St.,San Diego St.,Fri Mar 11,9,29,UNLV,"W, 74-72",67,Away,31-2,,Mountain West
2011,San Diego St.,San Diego St.,Sat Mar 12,8,12,BYU,"W, 72-54",59,Neutral,32-2,,Mountain West
2011,San Diego St.,San Diego St.,Thu Mar 17,7,119,Northern Colorado,"W, 68-50",61,Neutral,33-2,,NCAA
2011,San Diego St.,San Diego St.,Sat Mar 19,8,34,Temple,"W, 71-64",70,Neutral,34-2,,NCAA
2011,San Diego St.,San Diego St.,Thu Mar 24,7,10,Connecticut,"L, 74-67",65,Semi-Home,34-3,,NCAA
