Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,St. John's,St. John's,Mon Nov 15,48,43,Saint Mary's,"L, 76-71",67,Away,0-1,,
2011,St. John's,St. John's,Wed Nov 17,53,214,Columbia,"W, 79-66",64,Home,1-1,,
2011,St. John's,St. John's,Wed Nov 24,52,164,Ball St.,"W, 78-73",70,Neutral,2-1,,
2011,St. John's,St. John's,Fri Nov 26,56,201,Drake,"W, 82-39",65,Neutral,3-1,,
2011,St. John's,St. John's,Sat Nov 27,38,139,Arizona St.,"W, 67-58",61,Neutral,4-1,,
2011,St. John's,St. John's,Wed Dec 1,32,230,Wagner,"W, 69-61",71,Home,5-1,,
2011,St. John's,St. John's,Tue Dec 7,39,151,St. Bonaventure,"L, 67-66",66,Home,5-2,,
2011,St. John's,St. John's,Sat Dec 11,45,290,Fordham,"L, 84-81",74,Away,5-3,,
2011,St. John's,St. John's,Mon Dec 20,66,146,Davidson,"W, 62-57",66,Home,6-3,,
2011,St. John's,St. John's,Tue Dec 21,65,50,Northwestern,"W, 85-69",68,Home,7-3,,
2011,St. John's,St. John's,Wed Dec 29,53,19,West Virginia,"W, 81-71",66,Away,8-3,1-0,
2011,St. John's,St. John's,Sat Jan 1,43,86,Providence,"W, 67-65",68,Away,9-3,2-0,
2011,St. John's,St. John's,Mon Jan 3,45,31,Georgetown,"W, 61-58",53,Home,10-3,3-0,
2011,St. John's,St. John's,Sat Jan 8,41,11,Notre Dame,"L, 76-61",68,Away,10-4,3-1,
2011,St. John's,St. John's,Wed Jan 12,47,13,Syracuse,"L, 76-59",70,Home,10-5,3-2,
2011,St. John's,St. John's,Sun Jan 16,51,11,Notre Dame,"W, 72-54",70,Home,11-5,4-2,
2011,St. John's,St. John's,Wed Jan 19,42,14,Louisville,"L, 88-63",73,Away,11-6,4-3,
2011,St. John's,St. John's,Sat Jan 22,53,21,Cincinnati,"L, 53-51",58,Home,11-7,4-4,
2011,St. John's,St. John's,Wed Jan 26,51,31,Georgetown,"L, 77-52",68,Away,11-8,4-5,
2011,St. John's,St. John's,Sun Jan 30,61,2,Duke,"W, 93-78",74,Home,12-8,,
2011,St. John's,St. John's,Wed Feb 2,52,78,Rutgers,"W, 58-56",60,Home,13-8,5-5,
2011,St. John's,St. John's,Sat Feb 5,52,52,UCLA,"L, 66-59",64,Away,13-9,,
2011,St. John's,St. John's,Thu Feb 10,53,10,Connecticut,"W, 89-72",71,Home,14-9,6-5,
2011,St. John's,St. John's,Sun Feb 13,43,21,Cincinnati,"W, 59-57",61,Away,15-9,7-5,
2011,St. John's,St. John's,Tue Feb 15,42,26,Marquette,"W, 80-68",71,Away,16-9,8-5,
2011,St. John's,St. John's,Sat Feb 19,36,4,Pittsburgh,"W, 60-59",60,Home,17-9,9-5,
2011,St. John's,St. John's,Wed Feb 23,35,197,DePaul,"W, 76-51",67,Home,18-9,10-5,
2011,St. John's,St. John's,Sat Feb 26,33,28,Villanova,"W, 81-68",69,Away,19-9,11-5,
2011,St. John's,St. John's,Thu Mar 3,31,59,Seton Hall,"L, 84-70",69,Away,19-10,11-6,
2011,St. John's,St. John's,Sat Mar 5,33,129,South Florida,"W, 72-56",63,Home,20-10,12-6,
2011,St. John's,St. John's,Wed Mar 9,34,78,Rutgers,"W, 65-63",64,Home,21-10,,Big East
2011,St. John's,St. John's,Thu Mar 10,34,13,Syracuse,"L, 79-73",71,Home,21-11,,Big East
2011,St. John's,St. John's,Thu Mar 17,35,37,Gonzaga,"L, 86-71",68,Neutral,21-12,,NCAA
