Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,Texas A&M,Texas A&M,Fri Nov 12,35,341,Alcorn St.,"W, 88-56",83,Home,1-0,,
2011,Texas A&M,Texas A&M,Mon Nov 15,39,316,Texas A&M Corpus Chris,"W, 86-65",70,Away,2-0,,
2011,Texas A&M,Texas A&M,Fri Nov 19,39,NR,Texas A&M Int'l,"W, 77-46",63,Home,3-0,,
2011,Texas A&M,Texas A&M,Thu Nov 25,41,67,Boston College,"L, 67-65",56,Neutral,3-1,,
2011,Texas A&M,Texas A&M,Fri Nov 26,43,312,Manhattan,"W, 74-45",63,Neutral,4-1,,
2011,Texas A&M,Texas A&M,Sun Nov 28,36,34,Temple,"W, 54-51",62,Neutral,5-1,,
2011,Texas A&M,Texas A&M,Thu Dec 2,30,209,Stephen F. Austin,"W, 62-53",59,Home,6-1,,
2011,Texas A&M,Texas A&M,Sat Dec 4,31,147,Pacific,"W, 79-59",63,Home,7-1,,
2011,Texas A&M,Texas A&M,Wed Dec 8,31,334,Prairie View A&M,"W, 87-63",70,Home,8-1,,
2011,Texas A&M,Texas A&M,Sat Dec 11,36,16,Washington,"W, 63-62",69,Home,9-1,,
2011,Texas A&M,Texas A&M,Sat Dec 18,31,113,Arkansas,"W, 71-62",75,Neutral,10-1,,
2011,Texas A&M,Texas A&M,Tue Dec 21,27,230,Wagner,"W, 86-51",70,Home,11-1,,
2011,Texas A&M,Texas A&M,Fri Dec 31,25,206,McNeese St.,"W, 66-57",60,Home,12-1,,
2011,Texas A&M,Texas A&M,Mon Jan 3,30,235,Nicholls St.,"W, 66-55",59,Home,13-1,,
2011,Texas A&M,Texas A&M,Sat Jan 8,30,144,Oklahoma,"W, 69-51",62,Away,14-1,1-0,
2011,Texas A&M,Texas A&M,Wed Jan 12,27,73,Oklahoma St.,"W, 71-48",62,Home,15-1,2-0,
2011,Texas A&M,Texas A&M,Sat Jan 15,22,42,Missouri,"W, 91-89",73,Home,16-1,3-0,
2011,Texas A&M,Texas A&M,Wed Jan 19,22,5,Texas,"L, 81-60",57,Away,16-2,3-1,
2011,Texas A&M,Texas A&M,Sat Jan 22,29,32,Kansas St.,"W, 64-56",62,Home,17-2,4-1,
2011,Texas A&M,Texas A&M,Sat Jan 29,29,64,Nebraska,"L, 57-48",56,Away,17-3,4-2,
2011,Texas A&M,Texas A&M,Mon Jan 31,32,5,Texas,"L, 69-49",63,Home,17-4,4-3,
2011,Texas A&M,Texas A&M,Sat Feb 5,37,80,Baylor,"L, 76-74",68,Home,17-5,4-4,
2011,Texas A&M,Texas A&M,Wed Feb 9,39,54,Colorado,"W, 73-70",65,Away,18-5,5-4,
2011,Texas A&M,Texas A&M,Sat Feb 12,39,121,Texas Tech,"W, 70-67",60,Away,19-5,6-4,
2011,Texas A&M,Texas A&M,Wed Feb 16,41,81,Iowa St.,"W, 71-66",63,Home,20-5,7-4,
2011,Texas A&M,Texas A&M,Sat Feb 19,43,73,Oklahoma St.,"W, 67-66",68,Away,21-5,8-4,
2011,Texas A&M,Texas A&M,Wed Feb 23,45,144,Oklahoma,"W, 61-47",59,Home,22-5,9-4,
2011,Texas A&M,Texas A&M,Sat Feb 26,41,80,Baylor,"L, 58-51",63,Away,22-6,9-5,
2011,Texas A&M,Texas A&M,Wed Mar 2,42,3,Kansas,"L, 64-51",59,Away,22-7,9-6,
2011,Texas A&M,Texas A&M,Sat Mar 5,46,121,Texas Tech,"W, 66-54",65,Home,23-7,10-6,
2011,Texas A&M,Texas A&M,Thu Mar 10,45,42,Missouri,"W, 86-71",72,Neutral,24-7,,Big 12
2011,Texas A&M,Texas A&M,Fri Mar 11,40,5,Texas,"L, 70-58",57,Neutral,24-8,,Big 12
2011,Texas A&M,Texas A&M,Fri Mar 18,47,35,Florida St.,"L, 57-50",59,Neutral,24-9,,NCAA
