Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,UTSA,UTSA,Fri Nov 12,265,NR,Huston Tillotson,"W, 82-65",81,Home,1-0,,
2011,UTSA,UTSA,Wed Nov 17,265,168,Evansville,"L, 77-73",71,Away,1-1,,
2011,UTSA,UTSA,Fri Nov 19,258,NR,Cameron,"W, 71-61",68,Home,2-1,,
2011,UTSA,UTSA,Mon Nov 22,257,275,Troy,"W, 81-70",81,Home,3-1,,
2011,UTSA,UTSA,Tue Nov 30,241,178,San Jose St.,"W, 72-63",72,Home,4-1,,
2011,UTSA,UTSA,Thu Dec 2,235,265,UC Riverside,"L, 82-75",72,Away,4-2,,
2011,UTSA,UTSA,Sat Dec 4,250,224,Pepperdine,"W, 86-81",70,Away,5-2,,
2011,UTSA,UTSA,Sat Dec 11,234,222,Houston,"W, 68-63",65,Away,6-2,,
2011,UTSA,UTSA,Mon Dec 20,217,311,Samford,"L, 74-73",72,Home,6-3,,
2011,UTSA,UTSA,Thu Dec 23,214,91,Tulsa,"L, 92-67",75,Away,6-4,,
2011,UTSA,UTSA,Thu Dec 30,235,242,Bowling Green,"L, 70-59",69,Away,6-5,,
2011,UTSA,UTSA,Mon Jan 3,251,73,Oklahoma St.,"L, 79-63",67,Away,6-6,,
2011,UTSA,UTSA,Sat Jan 8,245,179,Sam Houston St.,"L, 62-59",62,Home,6-7,0-1,
2011,UTSA,UTSA,Wed Jan 12,236,316,Texas A&M Corpus Chris,"W, 55-47",58,Away,7-7,1-1,
2011,UTSA,UTSA,Sat Jan 15,233,209,Stephen F. Austin,"L, 68-59",62,Home,7-8,1-2,
2011,UTSA,UTSA,Wed Jan 19,234,261,Northwestern St.,"W, 63-58",73,Away,8-8,2-2,
2011,UTSA,UTSA,Sat Jan 22,235,251,Texas St.,"W, 88-84",79,Home,9-8,3-2,
2011,UTSA,UTSA,Mon Jan 24,242,NR,Oklahoma Panhandle St.,"W, 71-50",69,Home,10-8,,
2011,UTSA,UTSA,Sat Jan 29,241,179,Sam Houston St.,"L, 88-67",73,Away,10-9,3-3,
2011,UTSA,UTSA,Wed Feb 2,256,256,UT Arlington,"W, 70-62",69,Home,11-9,4-3,
2011,UTSA,UTSA,Sat Feb 5,244,244,Lamar,"W, 70-64",69,Home,12-9,5-3,
2011,UTSA,UTSA,Wed Feb 9,239,257,Southeastern Louisiana,"L, 79-73",66,Away,12-10,5-4,
2011,UTSA,UTSA,Sat Feb 12,240,209,Stephen F. Austin,"L, 70-66",65,Away,12-11,5-5,
2011,UTSA,UTSA,Wed Feb 16,241,206,McNeese St.,"W, 65-61",73,Home,13-11,6-5,
2011,UTSA,UTSA,Sat Feb 19,238,235,Nicholls St.,"L, 54-52",58,Away,13-12,6-6,
2011,UTSA,UTSA,Wed Feb 23,239,316,Texas A&M Corpus Chris,"W, 71-62",72,Home,14-12,7-6,
2011,UTSA,UTSA,Sat Feb 26,242,251,Texas St.,"L, 82-80",69,Away,14-13,7-7,
2011,UTSA,UTSA,Wed Mar 2,241,336,Central Arkansas,"W, 70-58",73,Home,15-13,8-7,
2011,UTSA,UTSA,Sat Mar 5,243,256,UT Arlington,"W, 68-63",58,Away,16-13,9-7,
2011,UTSA,UTSA,Wed Mar 9,233,261,Northwestern St.,"W, 97-96",73,Neutral,17-13,,Southland
2011,UTSA,UTSA,Thu Mar 10,233,179,Sam Houston St.,"W, 79-70",64,Neutral,18-13,,Southland
2011,UTSA,UTSA,Sat Mar 12,222,206,McNeese St.,"W, 75-72",64,Neutral,19-13,,Southland
2011,UTSA,UTSA,Wed Mar 16,220,303,Alabama St.,"W, 70-61",70,Neutral,20-13,,NCAA
2011,UTSA,UTSA,Fri Mar 18,218,1,Ohio St.,"L, 75-46",58,Semi-Away,20-14,,NCAA
