Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,VCU,VCU,Fri Nov 12,57,284,UNC Greensboro,"W, 101-86",80,Home,1-0,,
2011,VCU,VCU,Mon Nov 15,65,221,Winthrop,"W, 67-54",67,Neutral,2-0,,
2011,VCU,VCU,Tue Nov 16,66,259,Wake Forest,"W, 90-69",75,Away,3-0,,
2011,VCU,VCU,Wed Nov 24,59,62,Tennessee,"L, 77-72",81,Neutral,3-1,,
2011,VCU,VCU,Fri Nov 26,60,52,UCLA,"W, 89-85",79,Neutral,4-1,,
2011,VCU,VCU,Wed Dec 1,58,129,South Florida,"L, 60-59",62,Away,4-2,,
2011,VCU,VCU,Sat Dec 4,59,226,William & Mary,"W, 59-55",56,Home,5-2,1-0,
2011,VCU,VCU,Wed Dec 8,72,199,VMI,"W, 86-80",77,Home,6-2,,
2011,VCU,VCU,Sat Dec 11,77,39,Richmond,"L, 72-60",65,Away,6-3,,
2011,VCU,VCU,Sat Dec 18,85,191,Tulane,"W, 70-67",70,Home,7-3,,
2011,VCU,VCU,Tue Dec 21,87,65,UAB,"L, 68-65",69,Away,7-4,,
2011,VCU,VCU,Wed Dec 29,90,84,Wofford,"W, 75-66",63,Home,8-4,,
2011,VCU,VCU,Thu Dec 30,86,287,New Hampshire,"W, 78-65",69,Home,9-4,,
2011,VCU,VCU,Mon Jan 3,91,217,Georgia St.,"L, 76-66",72,Away,9-5,1-1,
2011,VCU,VCU,Wed Jan 5,102,93,Drexel,"W, 52-48",62,Home,10-5,2-1,
2011,VCU,VCU,Sat Jan 8,98,204,UNC Wilmington,"W, 82-64",67,Away,11-5,3-1,
2011,VCU,VCU,Wed Jan 12,96,226,William & Mary,"W, 70-52",56,Away,12-5,4-1,
2011,VCU,VCU,Sat Jan 15,89,194,Northeastern,"W, 73-64",57,Home,13-5,5-1,
2011,VCU,VCU,Wed Jan 19,95,217,Georgia St.,"W, 71-54",68,Home,14-5,6-1,
2011,VCU,VCU,Sat Jan 22,89,48,Old Dominion,"W, 59-50",57,Away,15-5,7-1,
2011,VCU,VCU,Mon Jan 24,78,278,Towson,"W, 80-76",64,Away,16-5,8-1,
2011,VCU,VCU,Thu Jan 27,83,135,Hofstra,"W, 82-67",66,Home,17-5,9-1,
2011,VCU,VCU,Sat Jan 29,78,204,UNC Wilmington,"W, 79-70",66,Home,18-5,10-1,
2011,VCU,VCU,Wed Feb 2,79,194,Northeastern,"L, 91-80",65,Away,18-6,10-2,
2011,VCU,VCU,Sat Feb 5,88,106,James Madison,"W, 70-66",66,Away,19-6,11-2,
2011,VCU,VCU,Wed Feb 9,85,196,Delaware,"W, 84-74",73,Away,20-6,12-2,
2011,VCU,VCU,Sat Feb 12,82,48,Old Dominion,"L, 70-59",63,Home,20-7,12-3,
2011,VCU,VCU,Tue Feb 15,86,24,George Mason,"L, 71-51",63,Home,20-8,12-4,
2011,VCU,VCU,Fri Feb 18,96,27,Wichita St.,"W, 68-67",61,Away,21-8,,
2011,VCU,VCU,Wed Feb 23,92,93,Drexel,"L, 64-60",59,Away,21-9,12-5,
2011,VCU,VCU,Sat Feb 26,91,106,James Madison,"L, 72-69",64,Home,21-10,12-6,
2011,VCU,VCU,Sat Mar 5,94,93,Drexel,"W, 62-60",67,Semi-Home,22-10,,Colonial Athletic Association
2011,VCU,VCU,Sun Mar 6,92,24,George Mason,"W, 79-63",63,Semi-Home,23-10,,Colonial Athletic Association
2011,VCU,VCU,Mon Mar 7,82,48,Old Dominion,"L, 70-65",62,Semi-Home,23-11,,Colonial Athletic Association
2011,VCU,VCU,Wed Mar 16,84,57,USC,"W, 59-46",59,Neutral,24-11,,NCAA
2011,VCU,VCU,Fri Mar 18,77,31,Georgetown,"W, 74-56",62,Neutral,25-11,,NCAA
2011,VCU,VCU,Sun Mar 20,68,9,Purdue,"W, 94-76",66,Semi-Away,26-11,,NCAA
2011,VCU,VCU,Fri Mar 25,60,35,Florida St.,"W, 72-71",74,Neutral,27-11,,NCAA
2011,VCU,VCU,Sun Mar 27,58,3,Kansas,"W, 71-61",69,Neutral,28-11,,NCAA
2011,VCU,VCU,Sat Apr 2,49,36,Butler,"L, 70-62",66,Neutral,28-12,,NCAA
