Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2011,West Virginia,West Virginia,Fri Nov 12,21,56,Oakland,"W, 95-71",72,Home,1-0,,
2011,West Virginia,West Virginia,Thu Nov 18,20,146,Davidson,"W, 84-70",78,Neutral,2-0,,
2011,West Virginia,West Virginia,Fri Nov 19,20,33,Vanderbilt,"W, 74-71",70,Neutral,3-0,,
2011,West Virginia,West Virginia,Sun Nov 21,22,58,Minnesota,"L, 74-70",63,Neutral,3-1,,
2011,West Virginia,West Virginia,Sat Nov 27,22,199,VMI,"W, 82-66",76,Semi-Home,4-1,,
2011,West Virginia,West Virginia,Wed Dec 1,23,173,American,"W, 71-50",58,Home,5-1,,
2011,West Virginia,West Virginia,Sat Dec 4,22,61,Miami FL,"L, 79-76",62,Away,5-2,,
2011,West Virginia,West Virginia,Tue Dec 7,25,152,Robert Morris,"W, 82-49",68,Home,6-2,,
2011,West Virginia,West Virginia,Sun Dec 12,19,55,Duquesne,"W, 64-61",64,Away,7-2,,
2011,West Virginia,West Virginia,Sat Dec 18,18,68,Cleveland St.,"W, 74-63",62,Home,8-2,,
2011,West Virginia,West Virginia,Wed Dec 29,18,41,St. John's,"L, 81-71",66,Home,8-3,0-1,
2011,West Virginia,West Virginia,Sat Jan 1,24,26,Marquette,"L, 79-74",65,Away,8-4,0-2,
2011,West Virginia,West Virginia,Tue Jan 4,26,197,DePaul,"W, 67-65",66,Away,9-4,1-2,
2011,West Virginia,West Virginia,Sat Jan 8,34,31,Georgetown,"W, 65-59",62,Away,10-4,2-2,
2011,West Virginia,West Virginia,Thu Jan 13,34,86,Providence,"W, 93-63",73,Home,11-4,3-2,
2011,West Virginia,West Virginia,Sun Jan 16,22,9,Purdue,"W, 68-64",66,Home,12-4,,
2011,West Virginia,West Virginia,Wed Jan 19,19,85,Marshall,"L, 75-71",68,Neutral,12-5,,
2011,West Virginia,West Virginia,Sun Jan 23,24,129,South Florida,"W, 56-46",61,Home,13-5,4-2,
2011,West Virginia,West Virginia,Wed Jan 26,23,14,Louisville,"L, 55-54",64,Away,13-6,4-3,
2011,West Virginia,West Virginia,Sat Jan 29,23,21,Cincinnati,"W, 66-55",58,Away,14-6,5-3,
2011,West Virginia,West Virginia,Wed Feb 2,18,59,Seton Hall,"W, 56-44",63,Home,15-6,6-3,
2011,West Virginia,West Virginia,Sat Feb 5,14,28,Villanova,"L, 66-50",52,Away,15-7,6-4,
2011,West Virginia,West Virginia,Mon Feb 7,19,4,Pittsburgh,"L, 71-66",63,Home,15-8,6-5,
2011,West Virginia,West Virginia,Sat Feb 12,19,197,DePaul,"W, 82-71",64,Home,16-8,7-5,
2011,West Virginia,West Virginia,Mon Feb 14,24,13,Syracuse,"L, 63-52",61,Away,16-9,7-6,
2011,West Virginia,West Virginia,Sat Feb 19,27,11,Notre Dame,"W, 72-58",62,Home,17-9,8-6,
2011,West Virginia,West Virginia,Thu Feb 24,24,4,Pittsburgh,"L, 71-58",58,Away,17-10,8-7,
2011,West Virginia,West Virginia,Sun Feb 27,23,78,Rutgers,"W, 65-54",62,Away,18-10,9-7,
2011,West Virginia,West Virginia,Wed Mar 2,18,10,Connecticut,"W, 65-56",59,Home,19-10,10-7,
2011,West Virginia,West Virginia,Sat Mar 5,16,14,Louisville,"W, 72-70",66,Home,20-10,11-7,
2011,West Virginia,West Virginia,Wed Mar 9,22,26,Marquette,"L, 67-61",62,Neutral,20-11,,Big East
2011,West Virginia,West Virginia,Thu Mar 17,22,25,Clemson,"W, 84-76",66,Neutral,21-11,,NCAA
2011,West Virginia,West Virginia,Sat Mar 19,19,7,Kentucky,"L, 71-63",62,Neutral,21-12,,NCAA
