Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Detroit,Detroit,Fri Nov 11,71,NR,Lake Erie,"W, 95-57",71,Home,1-0,,
2012,Detroit,Detroit,Mon Nov 14,71,42,Notre Dame,"L, 59-53",67,Away,1-1,,
2012,Detroit,Detroit,Fri Nov 18,73,NR,Concordia MI,"W, 113-68",80,Home,2-1,,
2012,Detroit,Detroit,Mon Nov 21,69,171,George Washington,"L, 86-73",72,Neutral,2-2,,
2012,Detroit,Detroit,Tue Nov 22,90,132,Bowling Green,"L, 67-61",69,Away,2-3,,
2012,Detroit,Detroit,Wed Nov 23,99,209,Austin Peay,"W, 94-93",81,Neutral,3-3,,
2012,Detroit,Detroit,Sat Nov 26,107,70,Akron,"L, 81-63",68,Away,3-4,,
2012,Detroit,Detroit,Thu Dec 1,126,165,Youngstown St.,"L, 64-61",66,Home,3-5,0-1,
2012,Detroit,Detroit,Sat Dec 3,140,80,Cleveland St.,"L, 66-61",67,Home,3-6,0-2,
2012,Detroit,Detroit,Mon Dec 5,155,157,St. John's,"W, 69-63",64,Home,4-6,,
2012,Detroit,Detroit,Thu Dec 8,156,170,Western Michigan,"W, 92-81",74,Home,5-6,,
2012,Detroit,Detroit,Sun Dec 11,150,27,Alabama,"L, 62-54",62,Away,5-7,,
2012,Detroit,Detroit,Sat Dec 17,144,77,Mississippi St.,"L, 80-75",69,Home,5-8,,
2012,Detroit,Detroit,Thu Dec 22,153,315,Alabama St.,"W, 80-56",73,Home,6-8,,
2012,Detroit,Detroit,Thu Dec 29,144,282,Illinois Chicago,"L, 63-59",62,Away,6-9,0-3,
2012,Detroit,Detroit,Sat Dec 31,155,288,Loyola Chicago,"W, 65-54",60,Away,7-9,1-3,
2012,Detroit,Detroit,Fri Jan 6,149,138,Valparaiso,"L, 73-71",69,Home,7-10,1-4,
2012,Detroit,Detroit,Sun Jan 8,158,116,Butler,"W, 76-65",63,Home,8-10,2-4,
2012,Detroit,Detroit,Thu Jan 12,152,175,Green Bay,"W, 80-73",70,Away,9-10,3-4,
2012,Detroit,Detroit,Sat Jan 14,148,144,Milwaukee,"L, 84-74",72,Away,9-11,3-5,
2012,Detroit,Detroit,Sat Jan 21,156,214,Wright St.,"W, 69-53",61,Home,10-11,4-5,
2012,Detroit,Detroit,Wed Jan 25,144,288,Loyola Chicago,"W, 67-52",56,Home,11-11,5-5,
2012,Detroit,Detroit,Fri Jan 27,141,282,Illinois Chicago,"W, 70-66",65,Home,12-11,6-5,
2012,Detroit,Detroit,Thu Feb 2,158,138,Valparaiso,"L, 78-73",64,Away,12-12,6-6,
2012,Detroit,Detroit,Sat Feb 4,157,116,Butler,"W, 65-61",70,Away,13-12,7-6,
2012,Detroit,Detroit,Fri Feb 10,145,144,Milwaukee,"W, 58-57",71,Home,14-12,8-6,
2012,Detroit,Detroit,Sun Feb 12,147,175,Green Bay,"W, 77-74",65,Home,15-12,9-6,
2012,Detroit,Detroit,Wed Feb 15,153,214,Wright St.,"W, 71-55",62,Away,16-12,10-6,
2012,Detroit,Detroit,Sat Feb 18,143,248,James Madison,"W, 82-70",66,Home,17-12,,
2012,Detroit,Detroit,Thu Feb 23,129,80,Cleveland St.,"L, 77-64",67,Away,17-13,10-7,
2012,Detroit,Detroit,Sat Feb 25,137,165,Youngstown St.,"W, 76-74",64,Away,18-13,11-7,
2012,Detroit,Detroit,Tue Feb 28,135,288,Loyola Chicago,"W, 80-71",74,Home,19-13,,Horizon League
2012,Detroit,Detroit,Fri Mar 2,146,165,Youngstown St.,"W, 93-76",72,Neutral,20-13,,Horizon League
2012,Detroit,Detroit,Sat Mar 3,134,80,Cleveland St.,"W, 63-58",65,Neutral,21-13,,Horizon League
2012,Detroit,Detroit,Tue Mar 6,131,138,Valparaiso,"W, 70-50",64,Away,22-13,,Horizon League
2012,Detroit,Detroit,Fri Mar 16,118,4,Kansas,"L, 65-50",68,Neutral,22-14,,NCAA
