Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Lehigh,Lehigh,Wed Nov 9,154,157,St. John's,"L, 78-73",70,Away,0-1,,
2012,Lehigh,Lehigh,Sat Nov 12,148,26,Iowa St.,"L, 86-77",71,Away,0-2,,
2012,Lehigh,Lehigh,Tue Nov 15,153,335,Fairleigh Dickinson,"W, 72-61",82,Away,1-2,,
2012,Lehigh,Lehigh,Fri Nov 18,155,295,William & Mary,"W, 82-57",70,Neutral,2-2,,
2012,Lehigh,Lehigh,Sat Nov 19,127,289,Liberty,"W, 90-80",75,Away,3-2,,
2012,Lehigh,Lehigh,Sun Nov 20,121,265,Eastern Kentucky,"W, 76-51",64,Neutral,4-2,,
2012,Lehigh,Lehigh,Mon Nov 28,103,153,Quinnipiac,"W, 86-75",71,Home,5-2,,
2012,Lehigh,Lehigh,Thu Dec 1,103,270,Fordham,"W, 78-60",74,Away,6-2,,
2012,Lehigh,Lehigh,Sat Dec 3,93,207,Cornell,"L, 81-79",81,Away,6-3,,
2012,Lehigh,Lehigh,Wed Dec 7,96,309,St. Francis PA,"W, 71-50",63,Home,7-3,,
2012,Lehigh,Lehigh,Sat Dec 10,95,102,Wagner,"W, 70-69",70,Away,8-3,,
2012,Lehigh,Lehigh,Mon Dec 12,88,NR,Arcadia,"W, 95-55",64,Home,9-3,,
2012,Lehigh,Lehigh,Thu Dec 22,85,3,Michigan St.,"L, 90-81",76,Away,9-4,,
2012,Lehigh,Lehigh,Wed Dec 28,77,316,Saint Peter's,"W, 76-67",66,Away,10-4,,
2012,Lehigh,Lehigh,Sat Dec 31,76,338,Bryant,"W, 72-55",65,Away,11-4,,
2012,Lehigh,Lehigh,Tue Jan 3,74,327,Maryland Eastern Shore,"W, 82-55",69,Home,12-4,,
2012,Lehigh,Lehigh,Sat Jan 7,70,224,Holy Cross,"L, 84-78",71,Away,12-5,0-1,
2012,Lehigh,Lehigh,Wed Jan 11,86,177,American,"W, 71-60",65,Home,13-5,1-1,
2012,Lehigh,Lehigh,Sat Jan 14,81,324,Colgate,"W, 78-56",68,Away,14-5,2-1,
2012,Lehigh,Lehigh,Wed Jan 18,76,89,Bucknell,"L, 68-61",63,Home,14-6,2-2,
2012,Lehigh,Lehigh,Sun Jan 22,89,239,Lafayette,"W, 90-76",67,Away,15-6,3-2,
2012,Lehigh,Lehigh,Thu Jan 26,85,329,Navy,"W, 71-60",69,Home,16-6,4-2,
2012,Lehigh,Lehigh,Sun Jan 29,96,297,Army,"W, 83-64",78,Home,17-6,5-2,
2012,Lehigh,Lehigh,Sat Feb 4,96,224,Holy Cross,"W, 75-51",65,Home,18-6,6-2,
2012,Lehigh,Lehigh,Thu Feb 9,87,177,American,"L, 71-62",65,Away,18-7,6-3,
2012,Lehigh,Lehigh,Sat Feb 11,95,324,Colgate,"W, 89-69",64,Home,19-7,7-3,
2012,Lehigh,Lehigh,Thu Feb 16,98,89,Bucknell,"W, 56-53",60,Away,20-7,8-3,
2012,Lehigh,Lehigh,Sat Feb 18,91,239,Lafayette,"W, 72-53",67,Home,21-7,9-3,
2012,Lehigh,Lehigh,Wed Feb 22,84,329,Navy,"W, 58-41",55,Away,22-7,10-3,
2012,Lehigh,Lehigh,Sat Feb 25,80,297,Army,"W, 74-72",72,Away,23-7,11-3,
2012,Lehigh,Lehigh,Wed Feb 29,84,324,Colgate,"W, 70-57",67,Home,24-7,,Patriot League
2012,Lehigh,Lehigh,Sat Mar 3,91,177,American,"W, 85-66",70,Home,25-7,,Patriot League
2012,Lehigh,Lehigh,Wed Mar 7,88,89,Bucknell,"W, 82-77",72,Away,26-7,,Patriot League
2012,Lehigh,Lehigh,Fri Mar 16,82,19,Duke,"W, 75-70",69,Semi-Away,27-7,,NCAA
2012,Lehigh,Lehigh,Sun Mar 18,72,53,Xavier,"L, 70-58",66,Neutral,27-8,,NCAA
