Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Long Beach St.,Long Beach St.,Sat Nov 12,78,156,Idaho,"W, 69-61",64,Home,1-0,,
2012,Long Beach St.,Long Beach St.,Wed Nov 16,78,64,Pittsburgh,"W, 86-76",65,Away,2-0,,
2012,Long Beach St.,Long Beach St.,Sat Nov 19,62,66,San Diego St.,"L, 77-73",91,Away,2-1,,
2012,Long Beach St.,Long Beach St.,Tue Nov 22,60,154,Boise St.,"W, 72-62",68,Home,3-1,,
2012,Long Beach St.,Long Beach St.,Sat Nov 26,61,104,Montana,"L, 73-71",68,Away,3-2,,
2012,Long Beach St.,Long Beach St.,Mon Nov 28,64,17,Louisville,"L, 79-66",70,Away,3-3,,
2012,Long Beach St.,Long Beach St.,Fri Dec 2,58,NR,BYU Hawaii,"W, 79-43",64,Home,4-3,,
2012,Long Beach St.,Long Beach St.,Tue Dec 6,59,4,Kansas,"L, 88-80",80,Away,4-4,,
2012,Long Beach St.,Long Beach St.,Sat Dec 10,56,6,North Carolina,"L, 84-78",78,Away,4-5,,
2012,Long Beach St.,Long Beach St.,Mon Dec 19,46,NR,Eastern New Mexico,"W, 76-54",68,Home,5-5,,
2012,Long Beach St.,Long Beach St.,Thu Dec 22,49,53,Xavier,"W, 68-58",63,Neutral,6-5,,
2012,Long Beach St.,Long Beach St.,Fri Dec 23,39,147,Auburn,"W, 64-43",66,Neutral,7-5,,
2012,Long Beach St.,Long Beach St.,Sun Dec 25,31,23,Kansas St.,"L, 77-60",63,Neutral,7-6,,
2012,Long Beach St.,Long Beach St.,Mon Jan 2,38,249,UC Irvine,"W, 74-60",69,Away,8-6,1-0,
2012,Long Beach St.,Long Beach St.,Thu Jan 5,39,166,Cal Poly,"W, 55-50",56,Home,9-6,2-0,
2012,Long Beach St.,Long Beach St.,Sat Jan 7,39,303,Cal St. Northridge,"W, 81-68",71,Away,10-6,3-0,
2012,Long Beach St.,Long Beach St.,Thu Jan 12,40,328,UC Davis,"W, 86-58",64,Home,11-6,4-0,
2012,Long Beach St.,Long Beach St.,Sat Jan 14,43,278,Pacific,"W, 76-66",68,Home,12-6,5-0,
2012,Long Beach St.,Long Beach St.,Thu Jan 19,54,166,Cal Poly,"W, 78-69",61,Away,13-6,6-0,
2012,Long Beach St.,Long Beach St.,Sat Jan 21,44,107,UC Santa Barbara,"W, 71-48",57,Away,14-6,7-0,
2012,Long Beach St.,Long Beach St.,Thu Jan 26,34,277,UC Riverside,"W, 77-70",78,Away,15-6,8-0,
2012,Long Beach St.,Long Beach St.,Sat Jan 28,37,159,Cal St. Fullerton,"W, 75-61",70,Home,16-6,9-0,
2012,Long Beach St.,Long Beach St.,Sat Feb 4,40,303,Cal St. Northridge,"W, 75-67",69,Home,17-6,10-0,
2012,Long Beach St.,Long Beach St.,Thu Feb 9,48,278,Pacific,"W, 74-66",66,Away,18-6,11-0,
2012,Long Beach St.,Long Beach St.,Sat Feb 11,48,328,UC Davis,"W, 89-69",69,Away,19-6,12-0,
2012,Long Beach St.,Long Beach St.,Sat Feb 18,50,28,Creighton,"L, 81-79",69,Away,19-7,,
2012,Long Beach St.,Long Beach St.,Wed Feb 22,45,107,UC Santa Barbara,"W, 70-58",71,Home,20-7,13-0,
2012,Long Beach St.,Long Beach St.,Sat Feb 25,45,277,UC Riverside,"W, 64-40",71,Home,21-7,14-0,
2012,Long Beach St.,Long Beach St.,Wed Feb 29,43,249,UC Irvine,"W, 77-50",69,Home,22-7,15-0,
2012,Long Beach St.,Long Beach St.,Sat Mar 3,37,159,Cal St. Fullerton,"L, 77-74",72,Away,22-8,15-1,
2012,Long Beach St.,Long Beach St.,Thu Mar 8,41,328,UC Davis,"W, 80-46",63,Neutral,23-8,,Big West
2012,Long Beach St.,Long Beach St.,Fri Mar 9,39,249,UC Irvine,"W, 68-57",61,Neutral,24-8,,Big West
2012,Long Beach St.,Long Beach St.,Sat Mar 10,38,107,UC Santa Barbara,"W, 77-64",62,Neutral,25-8,,Big West
2012,Long Beach St.,Long Beach St.,Thu Mar 15,39,20,New Mexico,"L, 75-68",70,Neutral,25-9,,NCAA
