Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Loyola MD,Loyola MD,Fri Nov 11,148,211,Wake Forest,"L, 75-63",77,Away,0-1,,
2012,Loyola MD,Loyola MD,Mon Nov 14,160,273,Coppin St.,"W, 78-68",71,Home,1-1,,
2012,Loyola MD,Loyola MD,Thu Nov 17,159,342,UMBC,"W, 73-63",70,Away,2-1,,
2012,Loyola MD,Loyola MD,Sun Nov 20,161,293,New Hampshire,"W, 66-60",63,Away,3-1,,
2012,Loyola MD,Loyola MD,Sun Nov 27,155,176,Florida Gulf Coast,"W, 77-74",68,Home,4-1,,
2012,Loyola MD,Loyola MD,Thu Dec 1,171,254,Marist,"W, 76-63",69,Home,5-1,1-0,
2012,Loyola MD,Loyola MD,Sat Dec 3,169,231,Siena,"W, 66-59",64,Away,6-1,2-0,
2012,Loyola MD,Loyola MD,Wed Dec 7,154,171,George Washington,"W, 65-55",66,Away,7-1,,
2012,Loyola MD,Loyola MD,Sat Dec 10,127,294,Mount St. Mary's,"W, 65-54",62,Away,8-1,,
2012,Loyola MD,Loyola MD,Sun Dec 18,127,60,St. Bonaventure,"L, 76-66",68,Away,8-2,,
2012,Loyola MD,Loyola MD,Thu Dec 22,137,1,Kentucky,"L, 87-63",65,Away,8-3,,
2012,Loyola MD,Loyola MD,Wed Dec 28,137,89,Bucknell,"W, 72-67",64,Away,9-3,,
2012,Loyola MD,Loyola MD,Mon Jan 2,129,245,Niagara,"L, 66-61",65,Home,9-4,2-1,
2012,Loyola MD,Loyola MD,Thu Jan 5,142,128,Manhattan,"W, 61-60",62,Home,10-4,3-1,
2012,Loyola MD,Loyola MD,Sat Jan 7,146,326,Canisius,"W, 77-62",66,Home,11-4,4-1,
2012,Loyola MD,Loyola MD,Fri Jan 13,152,113,Fairfield,"W, 66-63",65,Away,12-4,5-1,
2012,Loyola MD,Loyola MD,Sun Jan 15,139,54,Iona,"L, 74-63",70,Away,12-5,5-2,
2012,Loyola MD,Loyola MD,Thu Jan 19,145,231,Siena,"W, 66-55",64,Home,13-5,6-2,
2012,Loyola MD,Loyola MD,Sun Jan 22,134,316,Saint Peter's,"W, 65-54",58,Home,14-5,7-2,
2012,Loyola MD,Loyola MD,Fri Jan 27,138,245,Niagara,"W, 69-57",63,Away,15-5,8-2,
2012,Loyola MD,Loyola MD,Sun Jan 29,126,326,Canisius,"W, 70-52",60,Away,16-5,9-2,
2012,Loyola MD,Loyola MD,Fri Feb 3,120,223,Rider,"W, 63-46",63,Home,17-5,10-2,
2012,Loyola MD,Loyola MD,Sun Feb 5,116,316,Saint Peter's,"W, 66-55",61,Away,18-5,11-2,
2012,Loyola MD,Loyola MD,Fri Feb 10,120,54,Iona,"W, 87-81",75,Home,19-5,12-2,
2012,Loyola MD,Loyola MD,Sun Feb 12,112,113,Fairfield,"L, 68-51",62,Home,19-6,12-3,
2012,Loyola MD,Loyola MD,Wed Feb 15,122,254,Marist,"L, 72-54",63,Away,19-7,12-4,
2012,Loyola MD,Loyola MD,Sun Feb 19,146,181,Boston University,"W, 69-56",64,Home,20-7,,
2012,Loyola MD,Loyola MD,Fri Feb 24,137,223,Rider,"L, 83-79",67,Away,20-8,12-5,
2012,Loyola MD,Loyola MD,Sun Feb 26,142,128,Manhattan,"W, 62-60",65,Away,21-8,13-5,
2012,Loyola MD,Loyola MD,Sat Mar 3,135,245,Niagara,"W, 86-73",63,Neutral,22-8,,Metro Atlantic Athletic
2012,Loyola MD,Loyola MD,Sun Mar 4,136,231,Siena,"W, 70-60",62,Neutral,23-8,,Metro Atlantic Athletic
2012,Loyola MD,Loyola MD,Mon Mar 5,133,113,Fairfield,"W, 48-44",58,Neutral,24-8,,Metro Atlantic Athletic
2012,Loyola MD,Loyola MD,Thu Mar 15,125,2,Ohio St.,"L, 78-59",72,Neutral,24-9,,NCAA
