Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Notre Dame,Notre Dame,Sat Nov 12,36,237,Mississippi Valley St.,"W, 80-67",69,Home,1-0,,
2012,Notre Dame,Notre Dame,Mon Nov 14,44,115,Detroit,"W, 59-53",67,Home,2-0,,
2012,Notre Dame,Notre Dame,Wed Nov 16,47,287,Sam Houston St.,"W, 74-41",66,Home,3-0,,
2012,Notre Dame,Notre Dame,Fri Nov 18,29,240,Delaware St.,"W, 93-69",65,Home,4-0,,
2012,Notre Dame,Notre Dame,Mon Nov 21,32,7,Missouri,"L, 87-58",70,Semi-Away,4-1,,
2012,Notre Dame,Notre Dame,Tue Nov 22,49,112,Georgia,"L, 61-57",62,Neutral,4-2,,
2012,Notre Dame,Notre Dame,Sun Nov 27,55,338,Bryant,"W, 84-59",69,Home,5-2,,
2012,Notre Dame,Notre Dame,Wed Nov 30,56,21,Gonzaga,"L, 73-53",68,Away,5-3,,
2012,Notre Dame,Notre Dame,Sun Dec 4,62,134,Maryland,"L, 78-71",62,Semi-Away,5-4,,
2012,Notre Dame,Notre Dame,Thu Dec 8,72,271,Maine,"W, 87-78",69,Home,6-4,,
2012,Notre Dame,Notre Dame,Sat Dec 10,80,296,Dartmouth,"W, 65-47",64,Home,7-4,,
2012,Notre Dame,Notre Dame,Sat Dec 17,83,9,Indiana,"L, 69-58",62,Neutral,7-5,,
2012,Notre Dame,Notre Dame,Mon Dec 19,91,232,Sacred Heart,"W, 106-65",67,Home,8-5,,
2012,Notre Dame,Notre Dame,Tue Dec 27,68,64,Pittsburgh,"W, 72-59",58,Home,9-5,1-0,
2012,Notre Dame,Notre Dame,Wed Jan 4,61,31,Cincinnati,"L, 71-55",66,Away,9-6,1-1,
2012,Notre Dame,Notre Dame,Sat Jan 7,77,17,Louisville,"W, 67-65",72,Away,10-6,2-1,
2012,Notre Dame,Notre Dame,Tue Jan 10,71,48,South Florida,"W, 60-49",57,Home,11-6,3-1,
2012,Notre Dame,Notre Dame,Sat Jan 14,73,38,Connecticut,"L, 67-53",59,Home,11-7,3-2,
2012,Notre Dame,Notre Dame,Mon Jan 16,87,120,Rutgers,"L, 65-58",59,Away,11-8,3-3,
2012,Notre Dame,Notre Dame,Sat Jan 21,94,5,Syracuse,"W, 67-58",62,Home,12-8,4-3,
2012,Notre Dame,Notre Dame,Wed Jan 25,81,55,Seton Hall,"W, 55-42",60,Away,13-8,5-3,
2012,Notre Dame,Notre Dame,Sun Jan 29,66,38,Connecticut,"W, 50-48",53,Away,14-8,6-3,
2012,Notre Dame,Notre Dame,Sat Feb 4,63,18,Marquette,"W, 76-59",64,Home,15-8,7-3,
2012,Notre Dame,Notre Dame,Wed Feb 8,46,44,West Virginia,"W, 55-51",51,Away,16-8,8-3,
2012,Notre Dame,Notre Dame,Sat Feb 11,42,150,DePaul,"W, 84-76",66,Home,17-8,9-3,
2012,Notre Dame,Notre Dame,Wed Feb 15,42,120,Rutgers,"W, 71-53",61,Home,18-8,10-3,
2012,Notre Dame,Notre Dame,Sat Feb 18,39,85,Villanova,"W, 74-70",68,Away,19-8,11-3,
2012,Notre Dame,Notre Dame,Wed Feb 22,37,44,West Virginia,"W, 71-44",54,Home,20-8,12-3,
2012,Notre Dame,Notre Dame,Sat Feb 25,29,157,St. John's,"L, 61-58",63,Away,20-9,12-4,
2012,Notre Dame,Notre Dame,Mon Feb 27,32,15,Georgetown,"L, 59-41",53,Away,20-10,12-5,
2012,Notre Dame,Notre Dame,Fri Mar 2,35,126,Providence,"W, 75-69",66,Home,21-10,13-5,
2012,Notre Dame,Notre Dame,Thu Mar 8,36,48,South Florida,"W, 57-53",59,Neutral,22-10,,Big East
2012,Notre Dame,Notre Dame,Fri Mar 9,38,17,Louisville,"L, 64-50",56,Neutral,22-11,,Big East
2012,Notre Dame,Notre Dame,Fri Mar 16,43,53,Xavier,"L, 67-63",58,Neutral,22-12,,NCAA
