Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,South Florida,South Florida,Sat Nov 12,86,118,Vermont,"W, 61-59",54,Home,1-0,,
2012,South Florida,South Florida,Mon Nov 14,93,254,Marist,"W, 81-67",65,Home,2-0,,
2012,South Florida,South Florida,Wed Nov 16,96,NR,Florida Southern,"W, 73-43",69,Semi-Away,3-0,,
2012,South Florida,South Florida,Sat Nov 19,100,111,Old Dominion,"L, 68-66",69,Neutral,3-1,,
2012,South Florida,South Florida,Sun Nov 20,101,133,Penn St.,"L, 53-49",59,Neutral,3-2,,
2012,South Florida,South Florida,Wed Nov 23,109,246,Georgia Southern,"W, 66-46",55,Home,4-2,,
2012,South Florida,South Florida,Sat Nov 26,101,201,Florida Atlantic,"W, 68-55",61,Home,5-2,,
2012,South Florida,South Florida,Wed Nov 30,93,46,VCU,"L, 69-46",56,Away,5-3,,
2012,South Florida,South Florida,Sat Dec 3,120,4,Kansas,"L, 70-42",65,Away,5-4,,
2012,South Florida,South Florida,Sun Dec 11,136,317,Florida A&M,"W, 83-59",65,Home,6-4,,
2012,South Florida,South Florida,Wed Dec 14,133,147,Auburn,"L, 52-40",58,Away,6-5,,
2012,South Florida,South Florida,Mon Dec 19,152,80,Cleveland St.,"W, 70-55",62,Home,7-5,,
2012,South Florida,South Florida,Thu Dec 22,136,68,Southern Miss,"L, 53-51",60,Away,7-6,,
2012,South Florida,South Florida,Wed Dec 28,132,38,Connecticut,"L, 60-57",59,Home,7-7,0-1,
2012,South Florida,South Florida,Sun Jan 1,137,120,Rutgers,"W, 67-65",60,Home,8-7,1-1,
2012,South Florida,South Florida,Thu Jan 5,134,85,Villanova,"W, 74-57",60,Away,9-7,2-1,
2012,South Florida,South Florida,Tue Jan 10,108,42,Notre Dame,"L, 60-49",57,Away,9-8,2-2,
2012,South Florida,South Florida,Fri Jan 13,110,55,Seton Hall,"W, 56-55",58,Home,10-8,3-2,
2012,South Florida,South Florida,Wed Jan 18,110,157,St. John's,"W, 64-49",55,Home,11-8,4-2,
2012,South Florida,South Florida,Sun Jan 22,104,150,DePaul,"W, 75-59",64,Away,12-8,5-2,
2012,South Florida,South Florida,Tue Jan 24,87,18,Marquette,"L, 67-47",64,Away,12-9,5-3,
2012,South Florida,South Florida,Sun Jan 29,93,126,Providence,"W, 81-78",62,Home,13-9,6-3,
2012,South Florida,South Florida,Sat Feb 4,97,15,Georgetown,"L, 75-45",65,Away,13-10,6-4,
2012,South Florida,South Florida,Wed Feb 8,116,64,Pittsburgh,"W, 63-51",63,Home,14-10,7-4,
2012,South Florida,South Florida,Sat Feb 11,104,126,Providence,"W, 55-48",59,Away,15-10,8-4,
2012,South Florida,South Florida,Wed Feb 15,99,85,Villanova,"W, 65-51",63,Home,16-10,9-4,
2012,South Florida,South Florida,Sun Feb 19,81,64,Pittsburgh,"W, 56-47",54,Away,17-10,10-4,
2012,South Florida,South Florida,Wed Feb 22,71,5,Syracuse,"L, 56-48",62,Away,17-11,10-5,
2012,South Florida,South Florida,Sun Feb 26,72,31,Cincinnati,"W, 46-45",51,Home,18-11,11-5,
2012,South Florida,South Florida,Wed Feb 29,70,17,Louisville,"W, 58-51",64,Away,19-11,12-5,
2012,South Florida,South Florida,Sat Mar 3,62,44,West Virginia,"L, 50-44",56,Home,19-12,12-6,
2012,South Florida,South Florida,Wed Mar 7,67,85,Villanova,"W, 56-47",59,Neutral,20-12,,Big East
2012,South Florida,South Florida,Thu Mar 8,65,42,Notre Dame,"L, 57-53",59,Neutral,20-13,,Big East
2012,South Florida,South Florida,Wed Mar 14,66,29,California,"W, 65-54",59,Neutral,21-13,,NCAA
2012,South Florida,South Florida,Fri Mar 16,54,39,Temple,"W, 58-44",57,Neutral,22-13,,NCAA
2012,South Florida,South Florida,Sun Mar 18,46,57,Ohio,"L, 62-56",56,Neutral,22-14,,NCAA
