Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Southern Miss,Southern Miss,Sat Nov 12,133,NR,Spring Hill,"W, 76-41",63,Home,1-0,,
2012,Southern Miss,Southern Miss,Thu Nov 17,134,73,Denver,"L, 59-52",61,Away,1-1,,
2012,Southern Miss,Southern Miss,Sat Nov 19,145,88,Colorado St.,"W, 79-58",57,Away,2-1,,
2012,Southern Miss,Southern Miss,Thu Nov 24,109,249,UC Irvine,"W, 78-67",81,Neutral,3-1,,
2012,Southern Miss,Southern Miss,Fri Nov 25,109,65,New Mexico St.,"W, 80-72",69,Neutral,4-1,,
2012,Southern Miss,Southern Miss,Sat Nov 26,95,35,Murray St.,"L, 90-81",79,Neutral,4-2,,
2012,Southern Miss,Southern Miss,Sun Dec 4,99,65,New Mexico St.,"W, 74-66",73,Home,5-2,,
2012,Southern Miss,Southern Miss,Wed Dec 7,88,210,South Alabama,"W, 67-54",57,Away,6-2,,
2012,Southern Miss,Southern Miss,Sat Dec 10,82,192,Louisiana Tech,"W, 78-62",65,Home,7-2,,
2012,Southern Miss,Southern Miss,Sat Dec 17,75,95,Mississippi,"W, 86-82",73,Home,8-2,,
2012,Southern Miss,Southern Miss,Mon Dec 19,74,230,Arizona St.,"W, 64-61",61,Away,9-2,,
2012,Southern Miss,Southern Miss,Thu Dec 22,74,48,South Florida,"W, 53-51",60,Home,10-2,,
2012,Southern Miss,Southern Miss,Tue Dec 27,71,NR,Belhaven,"W, 93-48",74,Home,11-2,,
2012,Southern Miss,Southern Miss,Thu Dec 29,72,331,Alcorn St.,"W, 80-49",65,Home,12-2,,
2012,Southern Miss,Southern Miss,Sat Dec 31,66,221,McNeese St.,"W, 65-56",61,Away,13-2,,
2012,Southern Miss,Southern Miss,Wed Jan 4,72,135,East Carolina,"W, 78-76",68,Home,14-2,1-0,
2012,Southern Miss,Southern Miss,Sat Jan 7,76,196,Tulane,"W, 71-66",69,Away,15-2,2-0,
2012,Southern Miss,Southern Miss,Wed Jan 11,71,12,Memphis,"L, 60-58",65,Away,15-3,2-1,
2012,Southern Miss,Southern Miss,Sat Jan 14,66,130,UAB,"W, 59-55",59,Home,16-3,3-1,
2012,Southern Miss,Southern Miss,Sat Jan 21,64,78,Marshall,"W, 67-63",65,Home,17-3,4-1,
2012,Southern Miss,Southern Miss,Wed Jan 25,65,135,East Carolina,"W, 72-60",66,Away,18-3,5-1,
2012,Southern Miss,Southern Miss,Sat Jan 28,62,103,UCF,"W, 78-65",66,Away,19-3,6-1,
2012,Southern Miss,Southern Miss,Wed Feb 1,54,12,Memphis,"W, 75-72",62,Home,20-3,7-1,
2012,Southern Miss,Southern Miss,Wed Feb 8,45,130,UAB,"L, 71-61",63,Away,20-4,7-2,
2012,Southern Miss,Southern Miss,Sat Feb 11,56,103,UCF,"W, 78-74",69,Home,21-4,8-2,
2012,Southern Miss,Southern Miss,Wed Feb 15,54,94,Tulsa,"W, 77-69",71,Home,22-4,9-2,
2012,Southern Miss,Southern Miss,Sat Feb 18,53,190,Houston,"L, 73-71",67,Away,22-5,9-3,
2012,Southern Miss,Southern Miss,Wed Feb 22,52,143,UTEP,"L, 76-68",73,Away,22-6,9-4,
2012,Southern Miss,Southern Miss,Sat Feb 25,57,148,Rice,"W, 58-56",62,Home,23-6,10-4,
2012,Southern Miss,Southern Miss,Wed Feb 29,67,200,SMU,"W, 67-60",57,Home,24-6,11-4,
2012,Southern Miss,Southern Miss,Sat Mar 3,67,78,Marshall,"L, 79-75",68,Away,24-7,11-5,
2012,Southern Miss,Southern Miss,Thu Mar 8,68,135,East Carolina,"W, 81-78",73,Neutral,25-7,,Conference USA
2012,Southern Miss,Southern Miss,Fri Mar 9,68,78,Marshall,"L, 73-62",65,Neutral,25-8,,Conference USA
2012,Southern Miss,Southern Miss,Thu Mar 15,74,23,Kansas St.,"L, 70-64",65,Neutral,25-9,,NCAA
