Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Temple,Temple,Mon Nov 14,15,139,Penn,"W, 73-67",71,Away,1-0,,
2012,Temple,Temple,Thu Nov 17,17,170,Western Michigan,"W, 69-55",71,Neutral,2-0,,
2012,Temple,Temple,Fri Nov 18,13,30,Purdue,"L, 85-77",71,Neutral,2-1,,
2012,Temple,Temple,Sun Nov 20,20,11,Wichita St.,"W, 78-74",77,Neutral,3-1,,
2012,Temple,Temple,Sun Nov 27,19,132,Bowling Green,"L, 67-64",60,Away,3-2,,
2012,Temple,Temple,Sat Dec 3,33,253,Central Michigan,"W, 86-74",69,Home,4-2,,
2012,Temple,Temple,Wed Dec 7,41,206,Toledo,"W, 77-58",71,Away,5-2,,
2012,Temple,Temple,Sat Dec 10,37,85,Villanova,"W, 78-67",70,Home,6-2,,
2012,Temple,Temple,Sat Dec 17,36,32,Texas,"L, 77-65",69,Away,6-3,,
2012,Temple,Temple,Mon Dec 19,39,148,Rice,"W, 77-70",72,Away,7-3,,
2012,Temple,Temple,Wed Dec 28,37,92,Buffalo,"W, 87-85",83,Home,8-3,,
2012,Temple,Temple,Fri Dec 30,39,169,Delaware,"W, 66-63",64,Away,9-3,,
2012,Temple,Temple,Wed Jan 4,44,19,Duke,"W, 78-73",69,Home,10-3,,
2012,Temple,Temple,Sat Jan 7,42,69,Dayton,"L, 87-77",75,Home,10-4,0-1,
2012,Temple,Temple,Wed Jan 11,50,14,Saint Louis,"W, 72-67",65,Away,11-4,1-1,
2012,Temple,Temple,Sat Jan 14,42,109,Richmond,"L, 76-65",66,Away,11-5,1-2,
2012,Temple,Temple,Wed Jan 18,53,62,La Salle,"W, 76-70",68,Home,12-5,2-2,
2012,Temple,Temple,Sat Jan 21,50,134,Maryland,"W, 73-60",66,Home,13-5,,
2012,Temple,Temple,Wed Jan 25,53,151,Charlotte,"W, 79-57",68,Away,14-5,3-2,
2012,Temple,Temple,Sat Jan 28,42,67,Saint Joseph's,"W, 78-60",65,Home,15-5,4-2,
2012,Temple,Temple,Wed Feb 1,37,270,Fordham,"W, 78-60",62,Home,16-5,5-2,
2012,Temple,Temple,Sat Feb 4,38,225,Rhode Island,"W, 73-56",62,Away,17-5,6-2,
2012,Temple,Temple,Wed Feb 8,36,171,George Washington,"W, 79-72",67,Home,18-5,7-2,
2012,Temple,Temple,Sat Feb 11,39,53,Xavier,"W, 85-72",69,Home,19-5,8-2,
2012,Temple,Temple,Wed Feb 15,36,60,St. Bonaventure,"W, 76-70",68,Away,20-5,9-2,
2012,Temple,Temple,Sat Feb 18,35,124,Duquesne,"W, 78-59",64,Home,21-5,10-2,
2012,Temple,Temple,Wed Feb 22,31,62,La Salle,"W, 80-79",76,Away,22-5,11-2,
2012,Temple,Temple,Sat Feb 25,31,67,Saint Joseph's,"L, 82-72",67,Away,22-6,11-3,
2012,Temple,Temple,Wed Feb 29,32,74,Massachusetts,"W, 90-88",89,Home,23-6,12-3,
2012,Temple,Temple,Sat Mar 3,34,270,Fordham,"W, 80-60",65,Away,24-6,13-3,
2012,Temple,Temple,Fri Mar 9,34,74,Massachusetts,"L, 77-71",71,Neutral,24-7,,Atlantic 10
2012,Temple,Temple,Fri Mar 16,37,48,South Florida,"L, 58-44",57,Neutral,24-8,,NCAA
