Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,UNLV,UNLV,Fri Nov 11,18,NR,Grand Canyon,"W, 83-66",74,Home,1-0,,
2012,UNLV,UNLV,Mon Nov 14,19,106,Nevada,"W, 71-67",68,Home,2-0,,
2012,UNLV,UNLV,Thu Nov 17,28,326,Canisius,"W, 95-70",77,Home,3-0,,
2012,UNLV,UNLV,Sun Nov 20,26,252,Morgan St.,"W, 92-55",78,Home,4-0,,
2012,UNLV,UNLV,Tue Nov 22,15,166,Cal Poly,"W, 75-52",67,Home,5-0,,
2012,UNLV,UNLV,Fri Nov 25,16,220,USC,"W, 66-55",62,Home,6-0,,
2012,UNLV,UNLV,Sat Nov 26,15,6,North Carolina,"W, 90-80",80,Home,7-0,,
2012,UNLV,UNLV,Wed Nov 30,15,107,UC Santa Barbara,"W, 94-88",82,Away,8-0,,
2012,UNLV,UNLV,Sun Dec 4,16,11,Wichita St.,"L, 89-70",60,Away,8-1,,
2012,UNLV,UNLV,Wed Dec 7,21,NR,Cal St. San Marcos,"W, 94-50",70,Home,9-1,,
2012,UNLV,UNLV,Sat Dec 10,24,8,Wisconsin,"L, 62-51",62,Away,9-2,,
2012,UNLV,UNLV,Wed Dec 14,26,143,UTEP,"W, 65-54",66,Home,10-2,,
2012,UNLV,UNLV,Sat Dec 17,27,76,Illinois,"W, 64-48",72,Semi-Away,11-2,,
2012,UNLV,UNLV,Mon Dec 19,20,311,Louisiana Monroe,"W, 81-63",62,Home,12-2,,
2012,UNLV,UNLV,Fri Dec 23,24,29,California,"W, 85-68",76,Home,13-2,,
2012,UNLV,UNLV,Wed Dec 28,17,320,Central Arkansas,"W, 124-75",84,Home,14-2,,
2012,UNLV,UNLV,Sat Dec 31,16,213,Hawaii,"W, 74-69",75,Away,15-2,,
2012,UNLV,UNLV,Thu Jan 5,24,244,Cal St. Bakersfield,"W, 89-57",69,Away,16-2,,
2012,UNLV,UNLV,Sat Jan 14,18,66,San Diego St.,"L, 69-67",74,Away,16-3,0-1,
2012,UNLV,UNLV,Wed Jan 18,19,161,TCU,"W, 101-78",78,Home,17-3,1-1,
2012,UNLV,UNLV,Sat Jan 21,19,20,New Mexico,"W, 80-63",64,Home,18-3,2-1,
2012,UNLV,UNLV,Wed Jan 25,16,154,Boise St.,"W, 77-72",76,Away,19-3,3-1,
2012,UNLV,UNLV,Sat Jan 28,17,188,Air Force,"W, 65-63",69,Away,20-3,4-1,
2012,UNLV,UNLV,Wed Feb 1,21,88,Colorado St.,"W, 82-63",67,Home,21-3,5-1,
2012,UNLV,UNLV,Sat Feb 4,19,90,Wyoming,"L, 68-66",63,Away,21-4,5-2,
2012,UNLV,UNLV,Sat Feb 11,19,66,San Diego St.,"W, 65-63",68,Home,22-4,6-2,
2012,UNLV,UNLV,Tue Feb 14,22,161,TCU,"L, 102-97",82,Away,22-5,6-3,
2012,UNLV,UNLV,Sat Feb 18,28,20,New Mexico,"L, 65-45",64,Away,22-6,6-4,
2012,UNLV,UNLV,Wed Feb 22,29,154,Boise St.,"W, 75-58",68,Home,23-6,7-4,
2012,UNLV,UNLV,Sat Feb 25,30,188,Air Force,"W, 68-58",71,Home,24-6,8-4,
2012,UNLV,UNLV,Wed Feb 29,30,88,Colorado St.,"L, 66-59",62,Away,24-7,8-5,
2012,UNLV,UNLV,Sat Mar 3,31,90,Wyoming,"W, 74-63",69,Home,25-7,9-5,
2012,UNLV,UNLV,Thu Mar 8,32,90,Wyoming,"W, 56-48",68,Home,26-7,,Mountain West
2012,UNLV,UNLV,Fri Mar 9,32,20,New Mexico,"L, 72-67",65,Home,26-8,,Mountain West
2012,UNLV,UNLV,Thu Mar 15,33,81,Colorado,"L, 68-64",75,Neutral,26-9,,NCAA
