Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Vanderbilt,Vanderbilt,Fri Nov 11,9,59,Oregon,"W, 78-64",71,Home,1-0,,
2012,Vanderbilt,Vanderbilt,Sun Nov 13,13,80,Cleveland St.,"L, 71-58",70,Home,1-1,,
2012,Vanderbilt,Vanderbilt,Tue Nov 15,16,89,Bucknell,"W, 80-68",65,Home,2-1,,
2012,Vanderbilt,Vanderbilt,Sat Nov 19,21,43,N.C. State,"W, 86-79",76,Neutral,3-1,,
2012,Vanderbilt,Vanderbilt,Mon Nov 21,21,87,Oregon St.,"W, 64-62",72,Neutral,4-1,,
2012,Vanderbilt,Vanderbilt,Fri Nov 25,20,290,Monmouth,"W, 95-73",75,Home,5-1,,
2012,Vanderbilt,Vanderbilt,Mon Nov 28,31,53,Xavier,"L, 82-70",78,Home,5-2,,
2012,Vanderbilt,Vanderbilt,Fri Dec 2,43,17,Louisville,"L, 62-60",68,Away,5-3,,
2012,Vanderbilt,Vanderbilt,Wed Dec 7,42,71,Davidson,"W, 87-83",74,Away,6-3,,
2012,Vanderbilt,Vanderbilt,Sat Dec 17,40,137,Indiana St.,"L, 61-55",66,Home,6-4,,
2012,Vanderbilt,Vanderbilt,Mon Dec 19,51,341,Longwood,"W, 99-71",75,Home,7-4,,
2012,Vanderbilt,Vanderbilt,Wed Dec 21,52,239,Lafayette,"W, 89-58",71,Home,8-4,,
2012,Vanderbilt,Vanderbilt,Thu Dec 29,56,18,Marquette,"W, 74-57",70,Away,9-4,,
2012,Vanderbilt,Vanderbilt,Mon Jan 2,40,191,Miami OH,"W, 69-62",60,Home,10-4,,
2012,Vanderbilt,Vanderbilt,Sat Jan 7,47,147,Auburn,"W, 65-35",58,Home,11-4,1-0,
2012,Vanderbilt,Vanderbilt,Tue Jan 10,37,164,South Carolina,"W, 67-57",55,Away,12-4,2-0,
2012,Vanderbilt,Vanderbilt,Sat Jan 14,35,112,Georgia,"W, 77-66",62,Home,13-4,3-0,
2012,Vanderbilt,Vanderbilt,Thu Jan 19,36,27,Alabama,"W, 69-59",68,Away,14-4,4-0,
2012,Vanderbilt,Vanderbilt,Sat Jan 21,31,77,Mississippi St.,"L, 78-77",71,Home,14-5,4-1,
2012,Vanderbilt,Vanderbilt,Tue Jan 24,32,63,Tennessee,"W, 65-47",68,Home,15-5,5-1,
2012,Vanderbilt,Vanderbilt,Sat Jan 28,30,49,Middle Tennessee,"W, 84-77",67,Home,16-5,,
2012,Vanderbilt,Vanderbilt,Tue Jan 31,28,127,Arkansas,"L, 82-74",67,Away,16-6,5-2,
2012,Vanderbilt,Vanderbilt,Sat Feb 4,31,10,Florida,"L, 73-65",68,Away,16-7,5-3,
2012,Vanderbilt,Vanderbilt,Wed Feb 8,31,98,LSU,"W, 76-61",61,Home,17-7,6-3,
2012,Vanderbilt,Vanderbilt,Sat Feb 11,32,1,Kentucky,"L, 69-63",62,Home,17-8,6-4,
2012,Vanderbilt,Vanderbilt,Thu Feb 16,30,95,Mississippi,"W, 102-76",71,Away,18-8,7-4,
2012,Vanderbilt,Vanderbilt,Sun Feb 19,27,112,Georgia,"W, 61-52",62,Away,19-8,8-4,
2012,Vanderbilt,Vanderbilt,Wed Feb 22,24,164,South Carolina,"W, 59-48",57,Home,20-8,9-4,
2012,Vanderbilt,Vanderbilt,Sat Feb 25,24,1,Kentucky,"L, 83-74",65,Away,20-9,9-5,
2012,Vanderbilt,Vanderbilt,Tue Feb 28,20,10,Florida,"W, 77-67",60,Home,21-9,10-5,
2012,Vanderbilt,Vanderbilt,Sat Mar 3,19,63,Tennessee,"L, 68-61",62,Away,21-10,10-6,
2012,Vanderbilt,Vanderbilt,Fri Mar 9,20,112,Georgia,"W, 63-41",62,Neutral,22-10,,Southeastern
2012,Vanderbilt,Vanderbilt,Sat Mar 10,18,95,Mississippi,"W, 65-53",62,Neutral,23-10,,Southeastern
2012,Vanderbilt,Vanderbilt,Sun Mar 11,17,1,Kentucky,"W, 71-64",66,Neutral,24-10,,Southeastern
2012,Vanderbilt,Vanderbilt,Thu Mar 15,16,41,Harvard,"W, 79-70",65,Neutral,25-10,,NCAA
2012,Vanderbilt,Vanderbilt,Sat Mar 17,14,8,Wisconsin,"L, 60-57",57,Neutral,25-11,,NCAA
