Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2012,Western Kentucky,Western Kentucky,Fri Nov 11,265,67,Saint Joseph's,"L, 72-61",73,Home,0-1,,
2012,Western Kentucky,Western Kentucky,Mon Nov 14,273,168,Tennessee St.,"W, 52-49",67,Home,1-1,,
2012,Western Kentucky,Western Kentucky,Thu Nov 17,267,94,Tulsa,"L, 65-49",70,Neutral,1-2,,
2012,Western Kentucky,Western Kentucky,Fri Nov 18,277,98,LSU,"L, 76-57",71,Neutral,1-3,,
2012,Western Kentucky,Western Kentucky,Sun Nov 20,282,46,VCU,"L, 69-64",67,Neutral,1-4,,
2012,Western Kentucky,Western Kentucky,Wed Nov 23,274,46,VCU,"L, 68-45",63,Home,1-5,,
2012,Western Kentucky,Western Kentucky,Sat Nov 26,299,301,Southeastern Louisiana,"W, 72-67",74,Home,2-5,,
2012,Western Kentucky,Western Kentucky,Thu Dec 1,285,35,Murray St.,"L, 70-59",63,Home,2-6,,
2012,Western Kentucky,Western Kentucky,Sun Dec 4,292,132,Bowling Green,"W, 60-53",71,Home,3-6,,
2012,Western Kentucky,Western Kentucky,Wed Dec 7,273,222,Southern Illinois,"W, 62-55",69,Away,4-6,,
2012,Western Kentucky,Western Kentucky,Sat Dec 10,258,202,IUPUI,"L, 84-76",75,Away,4-7,,
2012,Western Kentucky,Western Kentucky,Sat Dec 17,251,247,Furman,"L, 76-63",65,Home,4-8,,
2012,Western Kentucky,Western Kentucky,Fri Dec 23,265,17,Louisville,"L, 70-60",68,Away,4-9,,
2012,Western Kentucky,Western Kentucky,Thu Dec 29,251,311,Louisiana Monroe,"W, 76-71",70,Away,5-9,1-0,
2012,Western Kentucky,Western Kentucky,Sat Dec 31,243,228,FIU,"L, 81-63",73,Home,5-10,1-1,
2012,Western Kentucky,Western Kentucky,Thu Jan 5,264,204,Louisiana Lafayette,"L, 72-70",76,Home,5-11,1-2,
2012,Western Kentucky,Western Kentucky,Sat Jan 7,267,268,Troy,"L, 67-65",66,Home,5-12,1-3,
2012,Western Kentucky,Western Kentucky,Thu Jan 12,277,167,North Texas,"L, 84-67",73,Away,5-13,1-4,
2012,Western Kentucky,Western Kentucky,Sun Jan 15,282,73,Denver,"L, 78-65",60,Away,5-14,1-5,
2012,Western Kentucky,Western Kentucky,Sat Jan 21,279,180,Arkansas Little Rock,"W, 65-53",67,Home,6-14,2-5,
2012,Western Kentucky,Western Kentucky,Thu Jan 26,265,201,Florida Atlantic,"L, 67-66",66,Away,6-15,2-6,
2012,Western Kentucky,Western Kentucky,Sat Jan 28,258,228,FIU,"W, 61-51",73,Away,7-15,3-6,
2012,Western Kentucky,Western Kentucky,Sat Feb 4,244,210,South Alabama,"W, 75-66",62,Home,8-15,4-6,
2012,Western Kentucky,Western Kentucky,Thu Feb 9,232,49,Middle Tennessee,"L, 72-64",74,Away,8-16,4-7,
2012,Western Kentucky,Western Kentucky,Sat Feb 11,224,268,Troy,"L, 83-77",75,Away,8-17,4-8,
2012,Western Kentucky,Western Kentucky,Thu Feb 16,225,201,Florida Atlantic,"W, 64-57",66,Home,9-17,5-8,
2012,Western Kentucky,Western Kentucky,Sat Feb 18,218,210,South Alabama,"L, 66-61",72,Away,9-18,5-9,
2012,Western Kentucky,Western Kentucky,Thu Feb 23,226,194,Arkansas St.,"W, 79-76",68,Home,10-18,6-9,
2012,Western Kentucky,Western Kentucky,Sat Feb 25,222,49,Middle Tennessee,"W, 73-67",68,Home,11-18,7-9,
2012,Western Kentucky,Western Kentucky,Sat Mar 3,214,228,FIU,"W, 67-63",67,Neutral,12-18,,Sun Belt
2012,Western Kentucky,Western Kentucky,Sun Mar 4,212,180,Arkansas Little Rock,"W, 68-63",69,Neutral,13-18,,Sun Belt
2012,Western Kentucky,Western Kentucky,Mon Mar 5,209,73,Denver,"W, 67-63",62,Neutral,14-18,,Sun Belt
2012,Western Kentucky,Western Kentucky,Tue Mar 6,197,167,North Texas,"W, 74-70",66,Neutral,15-18,,Sun Belt
2012,Western Kentucky,Western Kentucky,Tue Mar 13,189,237,Mississippi Valley St.,"W, 59-58",79,Neutral,16-18,,NCAA
2012,Western Kentucky,Western Kentucky,Thu Mar 15,193,1,Kentucky,"L, 81-66",70,Neutral,16-19,,NCAA
