Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Akron,Akron,Fri Nov 9,76,231,Coastal Carolina,"L, 74-70",74,Away,0-1,,
2013,Akron,Akron,Mon Nov 12,86,NR,John Carroll,"W, 97-53",69,Home,1-1,,
2013,Akron,Akron,Thu Nov 15,90,24,Oklahoma St.,"L, 69-65",72,Neutral,1-2,,
2013,Akron,Akron,Fri Nov 16,91,203,UNC Asheville,"W, 82-63",66,Neutral,2-2,,
2013,Akron,Akron,Sun Nov 18,74,161,Penn St.,"W, 85-60",63,Neutral,3-2,,
2013,Akron,Akron,Sun Dec 2,57,44,Middle Tennessee,"W, 82-77",76,Home,4-2,,
2013,Akron,Akron,Sun Dec 9,56,15,Creighton,"L, 77-61",63,Away,4-3,,
2013,Akron,Akron,Sat Dec 15,61,77,Detroit,"L, 80-73",72,Away,4-4,,
2013,Akron,Akron,Tue Dec 18,65,281,Arkansas Pine Bluff,"W, 76-46",74,Home,5-4,,
2013,Akron,Akron,Sun Dec 23,57,260,Cleveland St.,"W, 87-57",71,Home,6-4,,
2013,Akron,Akron,Thu Dec 27,46,155,Texas Southern,"W, 83-68",67,Home,7-4,,
2013,Akron,Akron,Sun Dec 30,49,87,Princeton,"W, 62-58",58,Home,8-4,,
2013,Akron,Akron,Wed Jan 2,51,313,Coppin St.,"W, 91-63",80,Home,9-4,,
2013,Akron,Akron,Wed Jan 9,43,140,Western Michigan,"W, 65-43",61,Home,10-4,1-0,
2013,Akron,Akron,Sat Jan 12,33,322,Northern Illinois,"W, 68-53",66,Away,11-4,2-0,
2013,Akron,Akron,Wed Jan 16,35,253,Ball St.,"W, 71-64",67,Home,12-4,3-0,
2013,Akron,Akron,Sat Jan 19,49,121,Kent St.,"W, 71-67",71,Away,13-4,4-0,
2013,Akron,Akron,Wed Jan 23,47,186,Toledo,"W, 71-56",65,Away,14-4,5-0,
2013,Akron,Akron,Sat Jan 26,42,189,Buffalo,"W, 68-64",65,Home,15-4,6-0,
2013,Akron,Akron,Wed Jan 30,48,213,Bowling Green,"W, 68-55",64,Away,16-4,7-0,
2013,Akron,Akron,Sat Feb 2,47,82,Ohio,"W, 86-72",70,Home,17-4,8-0,
2013,Akron,Akron,Tue Feb 5,42,247,Central Michigan,"W, 68-56",62,Home,18-4,9-0,
2013,Akron,Akron,Sat Feb 9,46,241,Miami OH,"W, 54-50",62,Away,19-4,10-0,
2013,Akron,Akron,Wed Feb 13,54,233,Eastern Michigan,"W, 70-62",64,Away,20-4,11-0,
2013,Akron,Akron,Sat Feb 16,53,213,Bowling Green,"W, 67-50",66,Home,21-4,12-0,
2013,Akron,Akron,Fri Feb 22,51,75,North Dakota St.,"W, 68-53",71,Home,22-4,,
2013,Akron,Akron,Wed Feb 27,49,82,Ohio,"W, 88-81",73,Away,23-4,13-0,
2013,Akron,Akron,Sat Mar 2,46,189,Buffalo,"L, 81-67",66,Away,23-5,13-1,
2013,Akron,Akron,Tue Mar 5,53,241,Miami OH,"W, 72-58",65,Home,24-5,14-1,
2013,Akron,Akron,Fri Mar 8,55,121,Kent St.,"L, 68-64",66,Home,24-6,14-2,
2013,Akron,Akron,Fri Mar 15,58,121,Kent St.,"W, 62-59",67,Neutral,25-6,,Mid American
2013,Akron,Akron,Sat Mar 16,60,82,Ohio,"W, 65-46",65,Neutral,26-6,,Mid American
2013,Akron,Akron,Thu Mar 21,55,18,VCU,"L, 88-42",65,Neutral,26-7,,NCAA
