Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Belmont,Belmont,Fri Nov 9,34,289,Lipscomb,"W, 89-60",74,Away,1-0,,
2013,Belmont,Belmont,Tue Nov 13,24,NR,Maryville MO,"W, 88-49",70,Home,2-0,,
2013,Belmont,Belmont,Sun Nov 18,25,48,Stanford,"W, 70-62",76,Away,3-0,,
2013,Belmont,Belmont,Wed Nov 21,21,NR,Alaska Anchorage,"W, 74-60",65,Away,4-0,,
2013,Belmont,Belmont,Fri Nov 23,23,178,Northeastern,"L, 74-71",62,Neutral,4-1,,
2013,Belmont,Belmont,Sat Nov 24,30,144,Oral Roberts,"W, 70-67",67,Neutral,5-1,,
2013,Belmont,Belmont,Sat Dec 1,35,18,VCU,"L, 75-65",70,Away,5-2,,
2013,Belmont,Belmont,Tue Dec 4,34,289,Lipscomb,"W, 100-66",71,Home,6-2,,
2013,Belmont,Belmont,Thu Dec 13,26,44,Middle Tennessee,"W, 64-49",62,Home,7-2,,
2013,Belmont,Belmont,Sat Dec 15,23,8,Kansas,"L, 89-60",77,Away,7-3,,
2013,Belmont,Belmont,Wed Dec 19,32,96,South Dakota St.,"W, 76-49",66,Home,8-3,,
2013,Belmont,Belmont,Fri Dec 28,22,143,Boston University,"W, 64-48",65,Neutral,9-3,,
2013,Belmont,Belmont,Sat Dec 29,20,130,UCF,"L, 66-63",66,Away,9-4,,
2013,Belmont,Belmont,Thu Jan 3,23,204,Jacksonville St.,"W, 73-62",64,Away,10-4,1-0,
2013,Belmont,Belmont,Sat Jan 5,22,271,Tennessee Tech,"W, 83-52",70,Away,11-4,2-0,
2013,Belmont,Belmont,Thu Jan 10,23,224,Southeast Missouri St.,"W, 107-72",77,Home,12-4,3-0,
2013,Belmont,Belmont,Sat Jan 12,22,332,Tennessee Martin,"W, 90-53",72,Home,13-4,4-0,
2013,Belmont,Belmont,Thu Jan 17,23,110,Eastern Kentucky,"W, 83-76",73,Home,14-4,5-0,
2013,Belmont,Belmont,Sat Jan 19,23,165,Tennessee St.,"W, 78-66",66,Home,15-4,6-0,
2013,Belmont,Belmont,Thu Jan 24,25,225,Morehead St.,"W, 64-63",68,Away,16-4,7-0,
2013,Belmont,Belmont,Sat Jan 26,36,110,Eastern Kentucky,"W, 85-74",64,Away,17-4,8-0,
2013,Belmont,Belmont,Thu Jan 31,27,225,Morehead St.,"W, 93-74",77,Home,18-4,9-0,
2013,Belmont,Belmont,Sat Feb 2,31,271,Tennessee Tech,"W, 74-52",66,Home,19-4,10-0,
2013,Belmont,Belmont,Thu Feb 7,31,131,Murray St.,"L, 79-74",62,Away,19-5,10-1,
2013,Belmont,Belmont,Sat Feb 9,42,311,Austin Peay,"W, 78-65",67,Away,20-5,11-1,
2013,Belmont,Belmont,Thu Feb 14,45,165,Tennessee St.,"L, 80-69",73,Away,20-6,11-2,
2013,Belmont,Belmont,Wed Feb 20,51,272,Eastern Illinois,"W, 80-49",63,Away,21-6,12-2,
2013,Belmont,Belmont,Sat Feb 23,45,82,Ohio,"W, 81-62",68,Home,22-6,,
2013,Belmont,Belmont,Wed Feb 27,38,307,SIU Edwardsville,"W, 73-43",65,Home,23-6,13-2,
2013,Belmont,Belmont,Sat Mar 2,33,204,Jacksonville St.,"W, 78-71",60,Home,24-6,14-2,
2013,Belmont,Belmont,Fri Mar 8,41,165,Tennessee St.,"W, 82-73",71,Semi-Home,25-6,,Ohio Valley
2013,Belmont,Belmont,Sat Mar 9,42,131,Murray St.,"W, 70-68",72,Semi-Home,26-6,,Ohio Valley
2013,Belmont,Belmont,Thu Mar 21,44,14,Arizona,"L, 81-64",65,Neutral,26-7,,NCAA
