Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,California,California,Sun Nov 11,38,237,Cal St. Bakersfield,"W, 78-65",73,Home,1-0,,
2013,California,California,Tue Nov 13,43,221,Pepperdine,"W, 79-62",69,Home,2-0,,
2013,California,California,Fri Nov 16,49,47,Denver,"W, 72-61",67,Away,3-0,,
2013,California,California,Thu Nov 22,44,118,Drake,"W, 73-70",69,Neutral,4-0,,
2013,California,California,Fri Nov 23,50,104,Georgia Tech,"W, 68-57",66,Neutral,5-0,,
2013,California,California,Sun Nov 25,44,128,Pacific,"W, 78-58",68,Neutral,6-0,,
2013,California,California,Sun Dec 2,33,12,Wisconsin,"L, 81-56",70,Away,6-1,,
2013,California,California,Sun Dec 9,41,38,UNLV,"L, 76-75",74,Home,6-2,,
2013,California,California,Sat Dec 15,43,15,Creighton,"L, 74-64",73,Home,6-3,,
2013,California,California,Tue Dec 18,48,223,UC Santa Barbara,"W, 68-59",64,Home,7-3,,
2013,California,California,Sat Dec 22,56,324,Prairie View A&M,"W, 85-53",69,Home,8-3,,
2013,California,California,Sat Dec 29,52,93,Harvard,"L, 67-62",64,Home,8-4,,
2013,California,California,Thu Jan 3,58,46,UCLA,"L, 79-65",70,Away,8-5,0-1,
2013,California,California,Sat Jan 5,63,101,USC,"W, 72-64",66,Away,9-5,1-1,
2013,California,California,Wed Jan 9,61,81,Washington,"L, 62-47",60,Home,9-6,1-2,
2013,California,California,Sat Jan 12,74,90,Washington St.,"W, 67-54",63,Home,10-6,2-2,
2013,California,California,Sat Jan 19,68,48,Stanford,"L, 69-59",63,Away,10-7,2-3,
2013,California,California,Thu Jan 24,77,115,Utah,"W, 62-57",62,Away,11-7,3-3,
2013,California,California,Sun Jan 27,75,45,Colorado,"L, 81-71",73,Away,11-8,3-4,
2013,California,California,Thu Jan 31,72,97,Oregon St.,"W, 71-68",60,Home,12-8,4-4,
2013,California,California,Sat Feb 2,75,35,Oregon,"W, 58-54",69,Home,13-8,5-4,
2013,California,California,Thu Feb 7,76,72,Arizona St.,"L, 66-62",70,Away,13-9,5-5,
2013,California,California,Sun Feb 10,78,14,Arizona,"W, 77-69",65,Away,14-9,6-5,
2013,California,California,Thu Feb 14,67,46,UCLA,"W, 76-63",68,Home,15-9,7-5,
2013,California,California,Sun Feb 17,61,101,USC,"W, 76-68",66,Home,16-9,8-5,
2013,California,California,Thu Feb 21,59,35,Oregon,"W, 48-46",65,Away,17-9,9-5,
2013,California,California,Sat Feb 23,58,97,Oregon St.,"W, 60-59",64,Away,18-9,10-5,
2013,California,California,Thu Feb 28,58,115,Utah,"W, 64-46",65,Home,19-9,11-5,
2013,California,California,Sat Mar 2,56,45,Colorado,"W, 62-46",58,Home,20-9,12-5,
2013,California,California,Wed Mar 6,49,48,Stanford,"L, 83-70",65,Home,20-10,12-6,
2013,California,California,Thu Mar 14,54,115,Utah,"L, 79-69",68,Neutral,20-11,,Pac 12
2013,California,California,Thu Mar 21,61,38,UNLV,"W, 64-61",70,Neutral,21-11,,NCAA
2013,California,California,Sat Mar 23,58,9,Syracuse,"L, 66-60",68,Neutral,21-12,,NCAA
