Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,La Salle,La Salle,Sat Nov 10,71,167,Delaware,"W, 73-66",66,Home,1-0,,
2013,La Salle,La Salle,Sun Nov 18,72,257,Central Connecticut,"L, 81-74",69,Home,1-1,,
2013,La Salle,La Salle,Tue Nov 20,88,226,Hartford,"W, 64-51",64,Away,2-1,,
2013,La Salle,La Salle,Sun Nov 25,85,53,Villanova,"W, 77-74",72,Home,3-1,,
2013,La Salle,La Salle,Thu Nov 29,93,160,Rider,"W, 63-52",67,Away,4-1,,
2013,La Salle,La Salle,Wed Dec 5,80,161,Penn St.,"W, 82-57",59,Semi-Home,5-1,,
2013,La Salle,La Salle,Sat Dec 8,68,178,Northeastern,"W, 66-64",60,Away,6-1,,
2013,La Salle,La Salle,Sat Dec 15,68,58,Bucknell,"L, 74-66",64,Away,6-2,,
2013,La Salle,La Salle,Thu Dec 20,67,89,Iona,"W, 88-74",82,Home,7-2,,
2013,La Salle,La Salle,Sat Dec 22,66,268,Sacred Heart,"W, 100-71",81,Home,8-2,,
2013,La Salle,La Salle,Sat Dec 29,59,298,Siena,"W, 80-52",66,Away,9-2,,
2013,La Salle,La Salle,Wed Jan 2,52,13,Miami FL,"L, 76-59",67,Away,9-3,,
2013,La Salle,La Salle,Sat Jan 5,59,249,Penn,"W, 74-57",75,Home,10-3,,
2013,La Salle,La Salle,Wed Jan 9,59,129,Charlotte,"L, 74-65",75,Away,10-4,0-1,
2013,La Salle,La Salle,Sat Jan 12,62,83,Richmond,"W, 71-59",65,Home,11-4,1-1,
2013,La Salle,La Salle,Wed Jan 16,64,67,Dayton,"W, 72-70",71,Home,12-4,2-1,
2013,La Salle,La Salle,Sat Jan 19,64,78,Xavier,"L, 70-63",70,Away,12-5,2-2,
2013,La Salle,La Salle,Wed Jan 23,69,42,Butler,"W, 54-53",58,Home,13-5,3-2,
2013,La Salle,La Salle,Sat Jan 26,65,18,VCU,"W, 69-61",64,Away,14-5,4-2,
2013,La Salle,La Salle,Wed Jan 30,55,86,Massachusetts,"L, 61-60",64,Home,14-6,4-3,
2013,La Salle,La Salle,Sat Feb 2,61,111,George Washington,"W, 80-71",66,Away,15-6,5-3,
2013,La Salle,La Salle,Sat Feb 9,58,252,Fordham,"W, 89-53",64,Home,16-6,6-3,
2013,La Salle,La Salle,Wed Feb 13,47,119,St. Bonaventure,"W, 69-66",73,Away,17-6,7-3,
2013,La Salle,La Salle,Sat Feb 16,47,79,Saint Joseph's,"W, 76-64",60,Semi-Home,18-6,8-3,
2013,La Salle,La Salle,Thu Feb 21,47,59,Temple,"L, 82-74",69,Away,18-7,8-4,
2013,La Salle,La Salle,Sun Feb 24,50,193,Rhode Island,"W, 72-65",65,Away,19-7,9-4,
2013,La Salle,La Salle,Sat Mar 2,51,240,Duquesne,"W, 97-64",75,Home,20-7,10-4,
2013,La Salle,La Salle,Wed Mar 6,47,111,George Washington,"W, 84-70",64,Home,21-7,11-4,
2013,La Salle,La Salle,Sat Mar 9,45,19,Saint Louis,"L, 78-54",68,Away,21-8,11-5,
2013,La Salle,La Salle,Fri Mar 15,51,42,Butler,"L, 69-58",63,Neutral,21-9,,Atlantic 10
2013,La Salle,La Salle,Wed Mar 20,57,54,Boise St.,"W, 80-71",61,Neutral,22-9,,NCAA
2013,La Salle,La Salle,Fri Mar 22,49,27,Kansas St.,"W, 63-61",58,Neutral,23-9,,NCAA
2013,La Salle,La Salle,Sun Mar 24,49,34,Mississippi,"W, 76-74",67,Neutral,24-9,,NCAA
2013,La Salle,La Salle,Thu Mar 28,45,17,Wichita St.,"L, 72-58",63,Neutral,24-10,,NCAA
