Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Memphis,Memphis,Mon Nov 12,19,248,North Florida,"W, 81-66",69,Home,1-0,,
2013,Memphis,Memphis,Sat Nov 17,21,293,Samford,"W, 65-54",56,Home,2-0,,
2013,Memphis,Memphis,Thu Nov 22,31,18,VCU,"L, 78-65",73,Neutral,2-1,,
2013,Memphis,Memphis,Fri Nov 23,35,20,Minnesota,"L, 84-75",71,Neutral,2-2,,
2013,Memphis,Memphis,Sat Nov 24,37,68,Northern Iowa,"W, 52-47",61,Neutral,3-2,,
2013,Memphis,Memphis,Thu Nov 29,40,332,Tennessee Martin,"W, 93-65",74,Home,4-2,,
2013,Memphis,Memphis,Wed Dec 5,37,82,Ohio,"W, 84-58",71,Home,5-2,,
2013,Memphis,Memphis,Sat Dec 8,25,311,Austin Peay,"W, 83-65",77,Home,6-2,,
2013,Memphis,Memphis,Sat Dec 15,34,1,Louisville,"L, 87-78",76,Home,6-3,,
2013,Memphis,Memphis,Thu Dec 20,35,289,Lipscomb,"W, 62-56",77,Home,7-3,,
2013,Memphis,Memphis,Fri Dec 28,48,144,Oral Roberts,"W, 72-57",65,Home,8-3,,
2013,Memphis,Memphis,Sun Dec 30,48,124,Loyola MD,"W, 78-64",72,Home,9-3,,
2013,Memphis,Memphis,Fri Jan 4,52,73,Tennessee,"W, 85-80",70,Away,10-3,,
2013,Memphis,Memphis,Wed Jan 9,45,125,East Carolina,"W, 67-54",66,Home,11-3,1-0,
2013,Memphis,Memphis,Sat Jan 12,50,163,UAB,"W, 69-53",70,Away,12-3,2-0,
2013,Memphis,Memphis,Wed Jan 16,44,325,Rice,"W, 77-51",64,Away,13-3,3-0,
2013,Memphis,Memphis,Sat Jan 19,43,93,Harvard,"W, 60-50",69,Home,14-3,,
2013,Memphis,Memphis,Tue Jan 22,46,146,Tulane,"W, 71-60",66,Home,15-3,4-0,
2013,Memphis,Memphis,Sat Jan 26,47,217,Marshall,"W, 73-72",69,Home,16-3,5-0,
2013,Memphis,Memphis,Wed Jan 30,58,125,East Carolina,"W, 75-68",73,Away,17-3,6-0,
2013,Memphis,Memphis,Sat Feb 2,59,181,Tulsa,"W, 94-64",72,Home,18-3,7-0,
2013,Memphis,Memphis,Wed Feb 6,52,185,SMU,"W, 60-52",66,Away,19-3,8-0,
2013,Memphis,Memphis,Sat Feb 9,51,61,Southern Miss,"W, 89-76",71,Away,20-3,9-0,
2013,Memphis,Memphis,Wed Feb 13,43,130,UCF,"W, 93-71",72,Home,21-3,10-0,
2013,Memphis,Memphis,Sat Feb 16,35,217,Marshall,"W, 71-59",70,Away,22-3,11-0,
2013,Memphis,Memphis,Wed Feb 20,36,180,Houston,"W, 81-74",73,Home,23-3,12-0,
2013,Memphis,Memphis,Sat Feb 23,41,61,Southern Miss,"W, 89-73",74,Home,24-3,13-0,
2013,Memphis,Memphis,Tue Feb 26,37,78,Xavier,"L, 64-62",66,Away,24-4,,
2013,Memphis,Memphis,Sat Mar 2,41,130,UCF,"W, 76-67",72,Away,25-4,14-0,
2013,Memphis,Memphis,Tue Mar 5,37,114,UTEP,"W, 56-54",63,Away,26-4,15-0,
2013,Memphis,Memphis,Sat Mar 9,40,163,UAB,"W, 86-71",81,Home,27-4,16-0,
2013,Memphis,Memphis,Thu Mar 14,39,146,Tulane,"W, 81-68",72,Neutral,28-4,,Conference USA
2013,Memphis,Memphis,Fri Mar 15,39,181,Tulsa,"W, 85-74",68,Semi-Away,29-4,,Conference USA
2013,Memphis,Memphis,Sat Mar 16,38,61,Southern Miss,"W, 91-79",83,Neutral,30-4,,Conference USA
2013,Memphis,Memphis,Thu Mar 21,39,21,Saint Mary's,"W, 54-52",63,Neutral,31-4,,NCAA
2013,Memphis,Memphis,Sat Mar 23,34,10,Michigan St.,"L, 70-48",68,Neutral,31-5,,NCAA
