Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Minnesota,Minnesota,Fri Nov 9,26,277,American,"W, 72-36",58,Home,1-0,,
2013,Minnesota,Minnesota,Mon Nov 12,17,186,Toledo,"W, 82-56",72,Home,2-0,,
2013,Minnesota,Minnesota,Thu Nov 15,15,165,Tennessee St.,"W, 72-43",71,Home,3-0,,
2013,Minnesota,Minnesota,Sun Nov 18,12,83,Richmond,"W, 72-57",65,Home,4-0,,
2013,Minnesota,Minnesota,Thu Nov 22,12,6,Duke,"L, 89-71",72,Neutral,4-1,,
2013,Minnesota,Minnesota,Fri Nov 23,14,37,Memphis,"W, 84-75",71,Neutral,5-1,,
2013,Minnesota,Minnesota,Sat Nov 24,14,48,Stanford,"W, 66-63",65,Neutral,6-1,,
2013,Minnesota,Minnesota,Tue Nov 27,13,120,Florida St.,"W, 77-68",64,Away,7-1,,
2013,Minnesota,Minnesota,Sat Dec 1,11,248,North Florida,"W, 87-59",72,Home,8-1,,
2013,Minnesota,Minnesota,Tue Dec 4,9,96,South Dakota St.,"W, 88-64",68,Home,9-1,,
2013,Minnesota,Minnesota,Sat Dec 8,10,101,USC,"W, 71-57",72,Away,10-1,,
2013,Minnesota,Minnesota,Tue Dec 11,10,75,North Dakota St.,"W, 70-57",62,Home,11-1,,
2013,Minnesota,Minnesota,Sat Dec 22,11,171,Lafayette,"W, 75-50",61,Home,12-1,,
2013,Minnesota,Minnesota,Mon Dec 31,10,10,Michigan St.,"W, 76-63",66,Home,13-1,1-0,
2013,Minnesota,Minnesota,Sun Jan 6,9,132,Northwestern,"W, 69-51",57,Home,14-1,2-0,
2013,Minnesota,Minnesota,Wed Jan 9,9,39,Illinois,"W, 84-67",70,Away,15-1,3-0,
2013,Minnesota,Minnesota,Sat Jan 12,8,3,Indiana,"L, 88-81",74,Away,15-2,3-1,
2013,Minnesota,Minnesota,Thu Jan 17,7,4,Michigan,"L, 83-75",66,Home,15-3,3-2,
2013,Minnesota,Minnesota,Wed Jan 23,7,132,Northwestern,"L, 55-48",57,Away,15-4,3-3,
2013,Minnesota,Minnesota,Sat Jan 26,9,12,Wisconsin,"L, 45-44",51,Away,15-5,3-4,
2013,Minnesota,Minnesota,Tue Jan 29,9,136,Nebraska,"W, 84-65",60,Home,16-5,4-4,
2013,Minnesota,Minnesota,Sun Feb 3,8,29,Iowa,"W, 62-59",59,Home,17-5,5-4,
2013,Minnesota,Minnesota,Wed Feb 6,11,10,Michigan St.,"L, 61-50",56,Away,17-6,5-5,
2013,Minnesota,Minnesota,Sun Feb 10,11,39,Illinois,"L, 57-53",54,Home,17-7,5-6,
2013,Minnesota,Minnesota,Thu Feb 14,14,12,Wisconsin,"W, 58-53",60,Home,18-7,6-6,
2013,Minnesota,Minnesota,Sun Feb 17,14,29,Iowa,"L, 72-51",62,Away,18-8,6-7,
2013,Minnesota,Minnesota,Wed Feb 20,14,7,Ohio St.,"L, 71-45",69,Away,18-9,6-8,
2013,Minnesota,Minnesota,Tue Feb 26,19,3,Indiana,"W, 77-73",64,Home,19-9,7-8,
2013,Minnesota,Minnesota,Sat Mar 2,17,161,Penn St.,"W, 73-44",63,Home,20-9,8-8,
2013,Minnesota,Minnesota,Wed Mar 6,14,136,Nebraska,"L, 53-51",48,Away,20-10,8-9,
2013,Minnesota,Minnesota,Sat Mar 9,16,74,Purdue,"L, 89-73",69,Away,20-11,8-10,
2013,Minnesota,Minnesota,Thu Mar 14,24,39,Illinois,"L, 51-49",55,Neutral,20-12,,Big Ten
2013,Minnesota,Minnesota,Fri Mar 22,22,46,UCLA,"W, 83-63",70,Neutral,21-12,,NCAA
2013,Minnesota,Minnesota,Sun Mar 24,18,2,Florida,"L, 78-64",62,Neutral,21-13,,NCAA
