Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,New Mexico St.,New Mexico St.,Sun Nov 11,125,97,Oregon St.,"L, 71-62",71,Away,0-1,,
2013,New Mexico St.,New Mexico St.,Thu Nov 15,126,285,Southeastern Louisiana,"W, 81-56",64,Home,1-1,,
2013,New Mexico St.,New Mexico St.,Sat Nov 17,112,58,Bucknell,"L, 62-49",60,Neutral,1-2,,
2013,New Mexico St.,New Mexico St.,Sun Nov 18,120,139,Niagara,"L, 86-83",78,Away,1-3,,
2013,New Mexico St.,New Mexico St.,Wed Nov 21,122,NR,Northern New Mexico,"W, 67-37",65,Home,2-3,,
2013,New Mexico St.,New Mexico St.,Fri Nov 23,120,229,Louisiana Lafayette,"W, 79-57",79,Home,3-3,,
2013,New Mexico St.,New Mexico St.,Wed Nov 28,108,114,UTEP,"L, 55-54",61,Away,3-4,,
2013,New Mexico St.,New Mexico St.,Sat Dec 1,110,61,Southern Miss,"W, 68-60",63,Home,4-4,,
2013,New Mexico St.,New Mexico St.,Tue Dec 4,105,194,South Alabama,"W, 58-52",68,Away,5-4,,
2013,New Mexico St.,New Mexico St.,Sat Dec 15,99,23,New Mexico,"L, 73-58",63,Away,5-5,,
2013,New Mexico St.,New Mexico St.,Wed Dec 19,99,23,New Mexico,"L, 68-63",61,Home,5-6,,
2013,New Mexico St.,New Mexico St.,Sat Dec 22,105,212,Missouri St.,"W, 71-51",68,Home,6-6,,
2013,New Mexico St.,New Mexico St.,Sat Dec 29,97,149,UT Arlington,"L, 68-47",61,Away,6-7,0-1,
2013,New Mexico St.,New Mexico St.,Mon Dec 31,123,85,Louisiana Tech,"L, 81-72",71,Away,6-8,0-2,
2013,New Mexico St.,New Mexico St.,Thu Jan 3,129,254,UTSA,"W, 82-62",69,Home,7-8,1-2,
2013,New Mexico St.,New Mexico St.,Sat Jan 5,117,255,Texas St.,"W, 78-67",68,Home,8-8,2-2,
2013,New Mexico St.,New Mexico St.,Thu Jan 10,121,230,Seattle,"W, 83-82",87,Away,9-8,3-2,
2013,New Mexico St.,New Mexico St.,Sat Jan 12,123,199,Idaho,"W, 71-70",61,Away,10-8,4-2,
2013,New Mexico St.,New Mexico St.,Thu Jan 17,111,108,Utah St.,"W, 64-51",56,Home,11-8,5-2,
2013,New Mexico St.,New Mexico St.,Sat Jan 19,105,305,San Jose St.,"W, 70-53",62,Home,12-8,6-2,
2013,New Mexico St.,New Mexico St.,Wed Jan 23,102,47,Denver,"W, 53-42",56,Home,13-8,7-2,
2013,New Mexico St.,New Mexico St.,Thu Jan 31,95,255,Texas St.,"W, 86-72",70,Away,14-8,8-2,
2013,New Mexico St.,New Mexico St.,Sat Feb 2,92,254,UTSA,"W, 75-62",62,Away,15-8,9-2,
2013,New Mexico St.,New Mexico St.,Thu Feb 7,87,199,Idaho,"W, 76-74",67,Home,16-8,10-2,
2013,New Mexico St.,New Mexico St.,Sat Feb 9,96,230,Seattle,"W, 60-57",65,Home,17-8,11-2,
2013,New Mexico St.,New Mexico St.,Thu Feb 14,99,305,San Jose St.,"W, 67-57",67,Away,18-8,12-2,
2013,New Mexico St.,New Mexico St.,Sat Feb 16,101,108,Utah St.,"L, 73-69",62,Away,18-9,12-3,
2013,New Mexico St.,New Mexico St.,Sat Feb 23,101,114,UTEP,"W, 55-51",61,Home,19-9,,
2013,New Mexico St.,New Mexico St.,Sat Mar 2,99,47,Denver,"L, 66-60",58,Away,19-10,12-4,
2013,New Mexico St.,New Mexico St.,Thu Mar 7,95,85,Louisiana Tech,"W, 78-60",68,Home,20-10,13-4,
2013,New Mexico St.,New Mexico St.,Sat Mar 9,86,149,UT Arlington,"W, 69-66",71,Home,21-10,14-4,
2013,New Mexico St.,New Mexico St.,Thu Mar 14,87,199,Idaho,"W, 65-49",57,Neutral,22-10,,Western Athletic
2013,New Mexico St.,New Mexico St.,Fri Mar 15,80,255,Texas St.,"W, 74-65",68,Neutral,23-10,,Western Athletic
2013,New Mexico St.,New Mexico St.,Sat Mar 16,83,149,UT Arlington,"W, 64-55",65,Neutral,24-10,,Western Athletic
2013,New Mexico St.,New Mexico St.,Thu Mar 21,81,19,Saint Louis,"L, 64-44",61,Neutral,24-11,,NCAA
