Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,North Carolina A&T,North Carolina A&T,Fri Nov 9,310,NR,Greensboro,"W, 83-52",79,Home,1-0,,
2013,North Carolina A&T,North Carolina A&T,Mon Nov 12,312,295,Utah Valley,"L, 64-55",62,Home,1-1,,
2013,North Carolina A&T,North Carolina A&T,Fri Nov 16,321,122,Wright St.,"L, 56-44",60,Away,1-2,,
2013,North Carolina A&T,North Carolina A&T,Sun Nov 18,324,40,Cincinnati,"L, 93-39",80,Away,1-3,,
2013,North Carolina A&T,North Carolina A&T,Tue Nov 20,330,30,Iowa St.,"L, 86-57",76,Away,1-4,,
2013,North Carolina A&T,North Carolina A&T,Fri Nov 23,331,300,Campbell,"W, 85-60",68,Neutral,2-4,,
2013,North Carolina A&T,North Carolina A&T,Sat Nov 24,323,204,Jacksonville St.,"L, 54-50",60,Neutral,2-5,,
2013,North Carolina A&T,North Carolina A&T,Wed Nov 28,321,286,UNC Greensboro,"W, 90-79",86,Away,3-5,,
2013,North Carolina A&T,North Carolina A&T,Sat Dec 1,304,164,North Carolina Central,"L, 66-62",64,Home,3-6,0-1,
2013,North Carolina A&T,North Carolina A&T,Thu Dec 13,304,263,NJIT,"W, 76-71",75,Away,4-6,,
2013,North Carolina A&T,North Carolina A&T,Sun Dec 16,295,117,Seton Hall,"L, 77-66",71,Away,4-7,,
2013,North Carolina A&T,North Carolina A&T,Wed Dec 19,286,110,Eastern Kentucky,"W, 78-67",70,Home,5-7,,
2013,North Carolina A&T,North Carolina A&T,Fri Dec 28,268,239,Texas Tech,"L, 85-74",69,Away,5-8,,
2013,North Carolina A&T,North Carolina A&T,Sun Dec 30,266,237,Cal St. Bakersfield,"L, 60-52",67,Away,5-9,,
2013,North Carolina A&T,North Carolina A&T,Wed Jan 2,265,296,Radford,"W, 81-77",79,Home,6-9,,
2013,North Carolina A&T,North Carolina A&T,Sat Jan 5,262,282,Georgia Southern,"W, 71-65",63,Away,7-9,,
2013,North Carolina A&T,North Carolina A&T,Sat Jan 12,245,270,Bethune Cookman,"L, 72-60",66,Away,7-10,0-2,
2013,North Carolina A&T,North Carolina A&T,Mon Jan 14,255,328,Florida A&M,"W, 68-40",66,Away,8-10,1-2,
2013,North Carolina A&T,North Carolina A&T,Sat Jan 19,221,329,Howard,"W, 61-37",63,Home,9-10,2-2,
2013,North Carolina A&T,North Carolina A&T,Sat Jan 26,205,202,Morgan St.,"L, 55-52",60,Home,9-11,2-3,
2013,North Carolina A&T,North Carolina A&T,Mon Jan 28,217,313,Coppin St.,"W, 63-62",62,Home,10-11,3-3,
2013,North Carolina A&T,North Carolina A&T,Sat Feb 2,225,344,Maryland Eastern Shore,"W, 46-44",65,Away,11-11,4-3,
2013,North Carolina A&T,North Carolina A&T,Mon Feb 4,229,284,Delaware St.,"L, 53-44",58,Away,11-12,4-4,
2013,North Carolina A&T,North Carolina A&T,Sat Feb 9,233,270,Bethune Cookman,"W, 65-55",61,Home,12-12,5-4,
2013,North Carolina A&T,North Carolina A&T,Mon Feb 11,236,328,Florida A&M,"W, 64-56",62,Home,13-12,6-4,
2013,North Carolina A&T,North Carolina A&T,Sat Feb 16,235,340,South Carolina St.,"L, 72-70",72,Away,13-13,6-5,
2013,North Carolina A&T,North Carolina A&T,Mon Feb 18,245,208,Savannah St.,"L, 56-49",69,Away,13-14,6-6,
2013,North Carolina A&T,North Carolina A&T,Sat Feb 23,246,164,North Carolina Central,"L, 51-47",56,Away,13-15,6-7,
2013,North Carolina A&T,North Carolina A&T,Sat Mar 2,246,340,South Carolina St.,"W, 58-35",67,Home,14-15,7-7,
2013,North Carolina A&T,North Carolina A&T,Mon Mar 4,240,208,Savannah St.,"W, 59-57",67,Home,15-15,8-7,
2013,North Carolina A&T,North Carolina A&T,Thu Mar 7,240,216,Norfolk St.,"L, 55-48",69,Away,15-16,8-8,
2013,North Carolina A&T,North Carolina A&T,Tue Mar 12,243,328,Florida A&M,"W, 65-54",59,Neutral,16-16,,Mid-Eastern Athletic
2013,North Carolina A&T,North Carolina A&T,Wed Mar 13,240,164,North Carolina Central,"W, 55-42",67,Neutral,17-16,,Mid-Eastern Athletic
2013,North Carolina A&T,North Carolina A&T,Fri Mar 15,228,284,Delaware St.,"W, 84-78",72,Neutral,18-16,,Mid-Eastern Athletic
2013,North Carolina A&T,North Carolina A&T,Sat Mar 16,228,202,Morgan St.,"W, 57-54",66,Neutral,19-16,,Mid-Eastern Athletic
2013,North Carolina A&T,North Carolina A&T,Tue Mar 19,226,266,Liberty,"W, 73-72",65,Neutral,20-16,,NCAA
2013,North Carolina A&T,North Carolina A&T,Thu Mar 21,222,1,Louisville,"L, 79-48",68,Semi-Away,20-17,,NCAA
