Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Northwestern St.,Northwestern St.,Fri Nov 9,255,NR,East Texas Baptist,"W, 118-77",94,Home,1-0,,
2013,Northwestern St.,Northwestern St.,Mon Nov 12,258,300,Campbell,"W, 71-67",70,Away,2-0,,
2013,Northwestern St.,Northwestern St.,Sat Nov 17,242,NR,Hannibal LaGrange,"W, 92-43",76,Home,3-0,,
2013,Northwestern St.,Northwestern St.,Tue Nov 20,242,102,LSU,"L, 102-95",87,Away,3-1,,
2013,Northwestern St.,Northwestern St.,Mon Nov 26,232,95,Texas A&M,"L, 78-65",66,Away,3-2,,
2013,Northwestern St.,Northwestern St.,Fri Nov 30,231,51,Oklahoma,"L, 69-65",71,Away,3-3,,
2013,Northwestern St.,Northwestern St.,Tue Dec 4,216,85,Louisiana Tech,"W, 89-83",86,Home,4-3,,
2013,Northwestern St.,Northwestern St.,Sat Dec 15,203,NR,Missouri Valley,"W, 95-78",82,Home,5-3,,
2013,Northwestern St.,Northwestern St.,Sat Dec 29,199,80,Arkansas,"L, 79-61",77,Away,5-4,,
2013,Northwestern St.,Northwestern St.,Mon Dec 31,193,NR,LeTourneau,"W, 102-52",79,Home,6-4,,
2013,Northwestern St.,Northwestern St.,Thu Jan 3,190,291,McNeese St.,"W, 78-63",73,Home,7-4,1-0,
2013,Northwestern St.,Northwestern St.,Sat Jan 5,180,346,Lamar,"W, 86-58",80,Home,8-4,2-0,
2013,Northwestern St.,Northwestern St.,Mon Jan 7,155,228,Sam Houston St.,"W, 73-64",70,Away,9-4,3-0,
2013,Northwestern St.,Northwestern St.,Thu Jan 10,147,144,Oral Roberts,"L, 80-74",67,Away,9-5,3-1,
2013,Northwestern St.,Northwestern St.,Sat Jan 12,143,294,Central Arkansas,"W, 100-88",81,Away,10-5,4-1,
2013,Northwestern St.,Northwestern St.,Thu Jan 17,128,290,Nicholls St.,"L, 93-78",83,Home,10-6,4-2,
2013,Northwestern St.,Northwestern St.,Sat Jan 19,168,285,Southeastern Louisiana,"W, 103-68",77,Home,11-6,5-2,
2013,Northwestern St.,Northwestern St.,Sat Jan 26,144,70,Stephen F. Austin,"W, 61-57",70,Home,12-6,6-2,
2013,Northwestern St.,Northwestern St.,Thu Jan 31,134,346,Lamar,"W, 85-63",82,Away,13-6,7-2,
2013,Northwestern St.,Northwestern St.,Sun Feb 3,129,291,McNeese St.,"W, 86-74",74,Away,14-6,8-2,
2013,Northwestern St.,Northwestern St.,Thu Feb 7,128,144,Oral Roberts,"W, 85-73",79,Home,15-6,9-2,
2013,Northwestern St.,Northwestern St.,Sat Feb 9,126,294,Central Arkansas,"W, 93-73",87,Home,16-6,10-2,
2013,Northwestern St.,Northwestern St.,Thu Feb 14,122,285,Southeastern Louisiana,"W, 79-76",71,Away,17-6,11-2,
2013,Northwestern St.,Northwestern St.,Sat Feb 16,128,290,Nicholls St.,"W, 84-79",79,Away,18-6,12-2,
2013,Northwestern St.,Northwestern St.,Tue Feb 19,128,315,Texas A&M Corpus Chris,"W, 82-71",70,Away,19-6,13-2,
2013,Northwestern St.,Northwestern St.,Sat Feb 23,128,139,Niagara,"L, 92-76",75,Away,19-7,,
2013,Northwestern St.,Northwestern St.,Sat Mar 2,149,70,Stephen F. Austin,"L, 64-63",65,Away,19-8,13-3,
2013,Northwestern St.,Northwestern St.,Thu Mar 7,134,315,Texas A&M Corpus Chris,"W, 66-51",61,Home,20-8,14-3,
2013,Northwestern St.,Northwestern St.,Sat Mar 9,134,228,Sam Houston St.,"W, 84-73",68,Home,21-8,15-3,
2013,Northwestern St.,Northwestern St.,Fri Mar 15,138,228,Sam Houston St.,"W, 55-52",57,Neutral,22-8,,Southland
2013,Northwestern St.,Northwestern St.,Sat Mar 16,141,70,Stephen F. Austin,"W, 68-66",61,Neutral,23-8,,Southland
2013,Northwestern St.,Northwestern St.,Fri Mar 22,132,2,Florida,"L, 79-47",64,Neutral,23-9,,NCAA
