Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Oregon,Oregon,Sat Nov 10,91,292,Northern Arizona,"W, 83-73",78,Home,1-0,,
2013,Oregon,Oregon,Mon Nov 12,105,304,Portland St.,"W, 80-69",72,Home,2-0,,
2013,Oregon,Oregon,Fri Nov 16,109,98,Vanderbilt,"W, 74-48",68,Home,3-0,,
2013,Oregon,Oregon,Mon Nov 19,79,204,Jacksonville St.,"W, 67-45",67,Home,4-0,,
2013,Oregon,Oregon,Fri Nov 23,76,38,UNLV,"W, 83-79",81,Away,5-0,,
2013,Oregon,Oregon,Sat Nov 24,65,40,Cincinnati,"L, 77-66",70,Neutral,5-1,,
2013,Oregon,Oregon,Thu Nov 29,64,254,UTSA,"W, 95-78",78,Home,6-1,,
2013,Oregon,Oregon,Sat Dec 1,64,281,Arkansas Pine Bluff,"W, 80-59",72,Home,7-1,,
2013,Oregon,Oregon,Sat Dec 8,72,320,Idaho St.,"W, 87-35",61,Home,8-1,,
2013,Oregon,Oregon,Sat Dec 15,44,136,Nebraska,"W, 60-38",64,Home,9-1,,
2013,Oregon,Oregon,Wed Dec 19,35,114,UTEP,"L, 91-84",87,Away,9-2,,
2013,Oregon,Oregon,Sat Dec 22,40,326,Houston Baptist,"W, 91-50",76,Home,10-2,,
2013,Oregon,Oregon,Mon Dec 31,35,172,Nevada,"W, 56-43",65,Home,11-2,,
2013,Oregon,Oregon,Sun Jan 6,28,97,Oregon St.,"W, 79-66",70,Away,12-2,1-0,
2013,Oregon,Oregon,Thu Jan 10,26,14,Arizona,"W, 70-66",67,Home,13-2,2-0,
2013,Oregon,Oregon,Sun Jan 13,23,72,Arizona St.,"W, 68-65",66,Home,14-2,3-0,
2013,Oregon,Oregon,Thu Jan 17,24,101,USC,"W, 76-74",70,Away,15-2,4-0,
2013,Oregon,Oregon,Sat Jan 19,24,46,UCLA,"W, 76-67",73,Away,16-2,5-0,
2013,Oregon,Oregon,Wed Jan 23,23,90,Washington St.,"W, 68-61",69,Home,17-2,6-0,
2013,Oregon,Oregon,Sat Jan 26,23,81,Washington,"W, 81-76",76,Home,18-2,7-0,
2013,Oregon,Oregon,Wed Jan 30,23,48,Stanford,"L, 76-52",73,Away,18-3,7-1,
2013,Oregon,Oregon,Sat Feb 2,34,56,California,"L, 58-54",69,Away,18-4,7-2,
2013,Oregon,Oregon,Thu Feb 7,35,45,Colorado,"L, 48-47",55,Home,18-5,7-3,
2013,Oregon,Oregon,Sat Feb 9,43,115,Utah,"W, 73-64",67,Home,19-5,8-3,
2013,Oregon,Oregon,Wed Feb 13,45,81,Washington,"W, 65-52",62,Away,20-5,9-3,
2013,Oregon,Oregon,Sat Feb 16,37,90,Washington St.,"W, 79-77",68,Away,21-5,10-3,
2013,Oregon,Oregon,Thu Feb 21,37,56,California,"L, 48-46",65,Home,21-6,10-4,
2013,Oregon,Oregon,Sat Feb 23,40,48,Stanford,"W, 77-66",75,Home,22-6,11-4,
2013,Oregon,Oregon,Thu Feb 28,39,97,Oregon St.,"W, 85-75",72,Home,23-6,12-4,
2013,Oregon,Oregon,Thu Mar 7,39,45,Colorado,"L, 76-53",72,Away,23-7,12-5,
2013,Oregon,Oregon,Sat Mar 9,48,115,Utah,"L, 72-62",62,Away,23-8,12-6,
2013,Oregon,Oregon,Thu Mar 14,52,81,Washington,"W, 80-77",77,Neutral,24-8,,Pac 12
2013,Oregon,Oregon,Fri Mar 15,52,115,Utah,"W, 64-45",61,Neutral,25-8,,Pac 12
2013,Oregon,Oregon,Sat Mar 16,47,46,UCLA,"W, 78-69",73,Neutral,26-8,,Pac 12
2013,Oregon,Oregon,Thu Mar 21,43,24,Oklahoma St.,"W, 68-55",70,Neutral,27-8,,NCAA
2013,Oregon,Oregon,Sat Mar 23,39,19,Saint Louis,"W, 74-57",70,Neutral,28-8,,NCAA
2013,Oregon,Oregon,Fri Mar 29,29,1,Louisville,"L, 77-69",69,Neutral,28-9,,NCAA
