Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Pacific,Pacific,Sat Nov 10,194,NR,Holy Names,"W, 76-38",65,Home,1-0,,
2013,Pacific,Pacific,Fri Nov 16,187,109,Fresno St.,"L, 66-61",65,Away,1-1,,
2013,Pacific,Pacific,Mon Nov 19,189,144,Oral Roberts,"L, 69-67",61,Home,1-2,,
2013,Pacific,Pacific,Thu Nov 22,193,78,Xavier,"W, 70-67",60,Neutral,2-2,,
2013,Pacific,Pacific,Fri Nov 23,172,21,Saint Mary's,"W, 76-66",64,Neutral,3-2,,
2013,Pacific,Pacific,Sun Nov 25,145,56,California,"L, 78-58",68,Neutral,3-3,,
2013,Pacific,Pacific,Sat Dec 1,156,5,Gonzaga,"L, 85-67",64,Away,3-4,,
2013,Pacific,Pacific,Tue Dec 4,146,172,Nevada,"W, 78-72",70,Home,4-4,,
2013,Pacific,Pacific,Sat Dec 8,143,134,San Francisco,"W, 67-59",62,Home,5-4,,
2013,Pacific,Pacific,Sat Dec 15,137,76,Santa Clara,"L, 75-71",70,Home,5-5,,
2013,Pacific,Pacific,Wed Dec 19,144,21,Saint Mary's,"L, 74-46",61,Away,5-6,,
2013,Pacific,Pacific,Fri Dec 21,169,NR,Cal Maritime,"W, 80-42",66,Home,6-6,,
2013,Pacific,Pacific,Sat Dec 29,164,157,Long Beach St.,"L, 67-63",66,Away,6-7,0-1,
2013,Pacific,Pacific,Sat Jan 5,171,215,UC Davis,"W, 74-64",71,Away,7-7,1-1,
2013,Pacific,Pacific,Thu Jan 10,153,223,UC Santa Barbara,"W, 80-62",61,Home,8-7,2-1,
2013,Pacific,Pacific,Sat Jan 12,137,152,Cal Poly,"W, 77-55",56,Home,9-7,3-1,
2013,Pacific,Pacific,Thu Jan 17,112,210,Hawaii,"L, 60-52",72,Away,9-8,3-2,
2013,Pacific,Pacific,Sat Jan 19,122,219,Cal St. Northridge,"W, 74-62",61,Away,10-8,4-2,
2013,Pacific,Pacific,Thu Jan 24,108,314,UC Riverside,"W, 63-58",60,Home,11-8,5-2,
2013,Pacific,Pacific,Sat Jan 26,122,201,Cal St. Fullerton,"W, 71-67",71,Home,12-8,6-2,
2013,Pacific,Pacific,Sat Feb 2,117,215,UC Davis,"W, 77-64",64,Home,13-8,7-2,
2013,Pacific,Pacific,Thu Feb 7,117,152,Cal Poly,"L, 67-62",58,Away,13-9,7-3,
2013,Pacific,Pacific,Sat Feb 9,122,223,UC Santa Barbara,"L, 66-53",61,Away,13-10,7-4,
2013,Pacific,Pacific,Thu Feb 14,130,219,Cal St. Northridge,"W, 66-59",66,Home,14-10,8-4,
2013,Pacific,Pacific,Sat Feb 16,131,210,Hawaii,"W, 80-71",64,Home,15-10,9-4,
2013,Pacific,Pacific,Wed Feb 20,133,147,UC Irvine,"L, 68-59",67,Away,15-11,9-5,
2013,Pacific,Pacific,Sat Feb 23,140,140,Western Michigan,"L, 67-62",57,Away,15-12,,
2013,Pacific,Pacific,Thu Feb 28,140,201,Cal St. Fullerton,"W, 64-55",63,Away,16-12,10-5,
2013,Pacific,Pacific,Sat Mar 2,129,314,UC Riverside,"W, 70-68",60,Away,17-12,11-5,
2013,Pacific,Pacific,Thu Mar 7,139,147,UC Irvine,"W, 70-62",66,Home,18-12,12-5,
2013,Pacific,Pacific,Sat Mar 9,133,157,Long Beach St.,"W, 71-51",64,Home,19-12,13-5,
2013,Pacific,Pacific,Thu Mar 14,124,223,UC Santa Barbara,"W, 71-68",62,Neutral,20-12,,Big West
2013,Pacific,Pacific,Fri Mar 15,126,152,Cal Poly,"W, 55-53",56,Neutral,21-12,,Big West
2013,Pacific,Pacific,Sat Mar 16,124,147,UC Irvine,"W, 64-55",58,Neutral,22-12,,Big West
2013,Pacific,Pacific,Fri Mar 22,130,13,Miami FL,"L, 78-49",63,Neutral,22-13,,NCAA
