Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Southern,Southern,Fri Nov 9,332,30,Iowa St.,"L, 82-59",81,Away,0-1,,
2013,Southern,Southern,Sun Nov 11,329,136,Nebraska,"L, 66-55",62,Away,0-2,,
2013,Southern,Southern,Wed Nov 14,327,251,South Dakota,"W, 83-79",72,Neutral,1-2,,
2013,Southern,Southern,Thu Nov 15,326,164,North Carolina Central,"L, 59-55",71,Neutral,1-3,,
2013,Southern,Southern,Fri Nov 16,326,100,Wyoming,"L, 67-60",61,Away,1-4,,
2013,Southern,Southern,Sat Nov 24,322,146,Tulane,"L, 68-65",67,Away,1-5,,
2013,Southern,Southern,Sat Dec 1,300,NR,Champion Baptist,"W, 90-36",67,Home,2-5,,
2013,Southern,Southern,Mon Dec 10,294,NR,William Carey,"W, 77-50",75,Home,3-5,,
2013,Southern,Southern,Thu Dec 13,294,327,Louisiana Monroe,"W, 68-39",64,Away,4-5,,
2013,Southern,Southern,Tue Dec 18,244,265,TCU,"L, 68-57",60,Away,4-6,,
2013,Southern,Southern,Sat Dec 22,248,95,Texas A&M,"W, 53-51",59,Away,5-6,,
2013,Southern,Southern,Fri Dec 28,224,NR,Spring Hill,"W, 67-46",62,Home,6-6,,
2013,Southern,Southern,Wed Jan 2,213,155,Texas Southern,"W, 63-57",57,Home,7-6,1-0,
2013,Southern,Southern,Fri Jan 4,207,324,Prairie View A&M,"W, 50-45",52,Home,8-6,2-0,
2013,Southern,Southern,Sun Jan 6,200,347,Grambling St.,"W, 82-43",67,Away,9-6,3-0,
2013,Southern,Southern,Tue Jan 8,178,316,Jackson St.,"W, 80-67",66,Away,10-6,4-0,
2013,Southern,Southern,Sat Jan 12,170,281,Arkansas Pine Bluff,"W, 84-50",69,Home,11-6,5-0,
2013,Southern,Southern,Mon Jan 14,133,339,Mississippi Valley St.,"W, 88-54",64,Home,12-6,6-0,
2013,Southern,Southern,Sat Jan 19,114,331,Alabama St.,"W, 79-67",70,Away,13-6,7-0,
2013,Southern,Southern,Mon Jan 21,114,336,Alabama A&M,"W, 82-68",73,Away,14-6,8-0,
2013,Southern,Southern,Sat Jan 26,123,323,Alcorn St.,"L, 61-57",66,Away,14-7,8-1,
2013,Southern,Southern,Sat Feb 2,138,347,Grambling St.,"W, 59-31",61,Home,15-7,9-1,
2013,Southern,Southern,Mon Feb 4,133,316,Jackson St.,"W, 78-58",68,Home,16-7,10-1,
2013,Southern,Southern,Sat Feb 9,130,281,Arkansas Pine Bluff,"L, 55-52",64,Away,16-8,10-2,
2013,Southern,Southern,Mon Feb 11,147,339,Mississippi Valley St.,"W, 78-74",73,Away,17-8,11-2,
2013,Southern,Southern,Sat Feb 16,155,331,Alabama St.,"W, 58-49",64,Home,18-8,12-2,
2013,Southern,Southern,Mon Feb 18,161,336,Alabama A&M,"W, 81-67",66,Home,19-8,13-2,
2013,Southern,Southern,Sat Feb 23,166,323,Alcorn St.,"W, 61-48",62,Home,20-8,14-2,
2013,Southern,Southern,Thu Feb 28,168,155,Texas Southern,"L, 79-66",69,Away,20-9,14-3,
2013,Southern,Southern,Sat Mar 2,174,324,Prairie View A&M,"W, 61-39",63,Away,21-9,15-3,
2013,Southern,Southern,Fri Mar 15,161,336,Alabama A&M,"W, 72-59",67,Neutral,22-9,,Southwestern Athletic
2013,Southern,Southern,Sat Mar 16,162,324,Prairie View A&M,"W, 45-44",58,Neutral,23-9,,Southwestern Athletic
2013,Southern,Southern,Thu Mar 21,175,5,Gonzaga,"L, 64-58",61,Neutral,23-10,,NCAA
