Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Valparaiso,Valparaiso,Fri Nov 9,131,282,Georgia Southern,"W, 85-54",61,Home,1-0,,
2013,Valparaiso,Valparaiso,Tue Nov 13,107,322,Northern Illinois,"W, 69-46",65,Home,2-0,,
2013,Valparaiso,Valparaiso,Thu Nov 15,98,136,Nebraska,"L, 50-48",61,Away,2-1,,
2013,Valparaiso,Valparaiso,Sun Nov 18,100,121,Kent St.,"W, 88-83",76,Away,3-1,,
2013,Valparaiso,Valparaiso,Fri Nov 23,92,297,Chicago St.,"W, 67-46",63,Home,4-1,,
2013,Valparaiso,Valparaiso,Sat Nov 24,92,270,Bethune Cookman,"W, 77-64",66,Home,5-1,,
2013,Valparaiso,Valparaiso,Sun Dec 2,89,19,Saint Louis,"L, 62-49",64,Away,5-2,,
2013,Valparaiso,Valparaiso,Wed Dec 5,91,243,IPFW,"W, 63-52",65,Home,6-2,,
2013,Valparaiso,Valparaiso,Sat Dec 8,95,23,New Mexico,"L, 65-52",65,Away,6-3,,
2013,Valparaiso,Valparaiso,Sat Dec 15,95,212,Missouri St.,"W, 62-54",60,Away,7-3,,
2013,Valparaiso,Valparaiso,Mon Dec 17,91,200,Oakland,"L, 70-68",71,Away,7-4,,
2013,Valparaiso,Valparaiso,Thu Dec 20,96,333,IUPUI,"W, 89-69",68,Home,8-4,,
2013,Valparaiso,Valparaiso,Sat Dec 22,95,NR,Purdue Calumet,"W, 79-51",71,Home,9-4,,
2013,Valparaiso,Valparaiso,Sat Dec 29,96,131,Murray St.,"W, 66-64",66,Away,10-4,,
2013,Valparaiso,Valparaiso,Wed Jan 2,87,166,Loyola Chicago,"L, 63-54",63,Home,10-5,0-1,
2013,Valparaiso,Valparaiso,Fri Jan 4,102,260,Cleveland St.,"W, 74-50",69,Home,11-5,1-1,
2013,Valparaiso,Valparaiso,Wed Jan 9,89,183,Illinois Chicago,"W, 75-70",67,Away,12-5,2-1,
2013,Valparaiso,Valparaiso,Sat Jan 12,94,301,Milwaukee,"W, 76-52",64,Away,13-5,3-1,
2013,Valparaiso,Valparaiso,Thu Jan 17,77,77,Detroit,"W, 89-88",73,Away,14-5,4-1,
2013,Valparaiso,Valparaiso,Sat Jan 19,75,122,Wright St.,"W, 69-63",62,Home,15-5,5-1,
2013,Valparaiso,Valparaiso,Wed Jan 23,79,126,Green Bay,"W, 73-61",66,Home,16-5,6-1,
2013,Valparaiso,Valparaiso,Wed Jan 30,78,191,Youngstown St.,"L, 80-68",68,Away,16-6,6-2,
2013,Valparaiso,Valparaiso,Fri Feb 1,87,301,Milwaukee,"W, 71-40",59,Home,17-6,7-2,
2013,Valparaiso,Valparaiso,Tue Feb 5,83,183,Illinois Chicago,"W, 86-61",65,Home,18-6,8-2,
2013,Valparaiso,Valparaiso,Sat Feb 9,71,260,Cleveland St.,"W, 80-72",63,Away,19-6,9-2,
2013,Valparaiso,Valparaiso,Tue Feb 12,71,122,Wright St.,"W, 68-61",64,Away,20-6,10-2,
2013,Valparaiso,Valparaiso,Sat Feb 16,69,77,Detroit,"L, 84-74",69,Home,20-7,10-3,
2013,Valparaiso,Valparaiso,Tue Feb 19,76,166,Loyola Chicago,"W, 85-76",68,Away,21-7,11-3,
2013,Valparaiso,Valparaiso,Sat Feb 23,74,110,Eastern Kentucky,"W, 82-60",69,Home,22-7,,
2013,Valparaiso,Valparaiso,Tue Feb 26,71,191,Youngstown St.,"W, 73-64",63,Home,23-7,12-3,
2013,Valparaiso,Valparaiso,Sat Mar 2,73,126,Green Bay,"W, 75-56",59,Away,24-7,13-3,
2013,Valparaiso,Valparaiso,Sat Mar 9,62,126,Green Bay,"W, 70-69",60,Home,25-7,,Horizon League
2013,Valparaiso,Valparaiso,Tue Mar 12,67,122,Wright St.,"W, 62-54",67,Home,26-7,,Horizon League
2013,Valparaiso,Valparaiso,Thu Mar 21,65,10,Michigan St.,"L, 65-54",60,Neutral,26-8,,NCAA
