Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2013,Wichita St.,Wichita St.,Sat Nov 10,44,164,North Carolina Central,"W, 71-57",64,Home,1-0,,
2013,Wichita St.,Wichita St.,Tue Nov 13,51,18,VCU,"W, 53-51",63,Away,2-0,,
2013,Wichita St.,Wichita St.,Thu Nov 15,42,245,Western Carolina,"W, 79-63",64,Home,3-0,,
2013,Wichita St.,Wichita St.,Sat Nov 17,48,329,Howard,"W, 69-50",65,Home,4-0,,
2013,Wichita St.,Wichita St.,Tue Nov 20,47,174,DePaul,"W, 75-62",74,Neutral,5-0,,
2013,Wichita St.,Wichita St.,Wed Nov 21,45,29,Iowa,"W, 75-63",68,Neutral,6-0,,
2013,Wichita St.,Wichita St.,Wed Nov 28,39,181,Tulsa,"W, 86-60",70,Home,7-0,,
2013,Wichita St.,Wichita St.,Sun Dec 2,29,99,Air Force,"W, 72-69",69,Away,8-0,,
2013,Wichita St.,Wichita St.,Sat Dec 8,28,242,Northern Colorado,"W, 80-54",68,Home,9-0,,
2013,Wichita St.,Wichita St.,Thu Dec 13,23,73,Tennessee,"L, 69-60",63,Away,9-1,,
2013,Wichita St.,Wichita St.,Thu Dec 20,26,179,Charleston Southern,"W, 65-53",69,Home,10-1,,
2013,Wichita St.,Wichita St.,Sat Dec 22,27,61,Southern Miss,"W, 59-51",67,Home,11-1,,
2013,Wichita St.,Wichita St.,Sun Dec 30,25,68,Northern Iowa,"W, 66-41",57,Home,12-1,1-0,
2013,Wichita St.,Wichita St.,Wed Jan 2,20,118,Drake,"W, 75-63",66,Away,13-1,2-0,
2013,Wichita St.,Wichita St.,Sun Jan 6,20,159,Bradley,"W, 69-63",63,Away,14-1,3-0,
2013,Wichita St.,Wichita St.,Wed Jan 9,21,177,Southern Illinois,"W, 82-76",66,Home,15-1,4-0,
2013,Wichita St.,Wichita St.,Sun Jan 13,27,84,Evansville,"L, 71-67",68,Away,15-2,4-1,
2013,Wichita St.,Wichita St.,Wed Jan 16,28,63,Illinois St.,"W, 74-62",70,Home,16-2,5-1,
2013,Wichita St.,Wichita St.,Sat Jan 19,26,15,Creighton,"W, 67-64",65,Home,17-2,6-1,
2013,Wichita St.,Wichita St.,Wed Jan 23,24,212,Missouri St.,"W, 62-52",60,Away,18-2,7-1,
2013,Wichita St.,Wichita St.,Sat Jan 26,25,159,Bradley,"W, 73-39",60,Home,19-2,8-1,
2013,Wichita St.,Wichita St.,Tue Jan 29,21,92,Indiana St.,"L, 68-55",60,Home,19-3,8-2,
2013,Wichita St.,Wichita St.,Sat Feb 2,24,68,Northern Iowa,"L, 57-52",59,Away,19-4,8-3,
2013,Wichita St.,Wichita St.,Tue Feb 5,28,177,Southern Illinois,"L, 64-62",62,Away,19-5,8-4,
2013,Wichita St.,Wichita St.,Sat Feb 9,37,212,Missouri St.,"W, 79-50",61,Home,20-5,9-4,
2013,Wichita St.,Wichita St.,Wed Feb 13,29,118,Drake,"W, 71-56",64,Home,21-5,10-4,
2013,Wichita St.,Wichita St.,Sun Feb 17,29,63,Illinois St.,"W, 68-67",69,Away,22-5,11-4,
2013,Wichita St.,Wichita St.,Tue Feb 19,31,92,Indiana St.,"W, 66-62",67,Away,23-5,12-4,
2013,Wichita St.,Wichita St.,Sat Feb 23,30,77,Detroit,"W, 94-79",73,Home,24-5,,
2013,Wichita St.,Wichita St.,Wed Feb 27,29,84,Evansville,"L, 59-56",60,Home,24-6,12-5,
2013,Wichita St.,Wichita St.,Sat Mar 2,35,15,Creighton,"L, 91-79",66,Away,24-7,12-6,
2013,Wichita St.,Wichita St.,Fri Mar 8,34,212,Missouri St.,"W, 69-59",59,Neutral,25-7,,Missouri Valley
2013,Wichita St.,Wichita St.,Sat Mar 9,38,63,Illinois St.,"W, 66-51",64,Neutral,26-7,,Missouri Valley
2013,Wichita St.,Wichita St.,Sun Mar 10,32,15,Creighton,"L, 68-65",60,Neutral,26-8,,Missouri Valley
2013,Wichita St.,Wichita St.,Thu Mar 21,34,11,Pittsburgh,"W, 73-55",68,Neutral,27-8,,NCAA
2013,Wichita St.,Wichita St.,Sat Mar 23,25,5,Gonzaga,"W, 76-70",64,Neutral,28-8,,NCAA
2013,Wichita St.,Wichita St.,Thu Mar 28,23,50,La Salle,"W, 72-58",63,Neutral,29-8,,NCAA
2013,Wichita St.,Wichita St.,Sat Mar 30,19,7,Ohio St.,"W, 70-66",71,Neutral,30-8,,NCAA
2013,Wichita St.,Wichita St.,Sat Apr 6,19,1,Louisville,"L, 72-68",62,Neutral,30-9,,NCAA
