Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,American,American,Fri Nov 8,288,141,George Mason,"L, 63-60",61,Away,0-1,,
2014,American,American,Thu Nov 14,265,323,UMBC,"W, 63-61",76,Home,1-1,,
2014,American,American,Wed Nov 20,267,19,Ohio St.,"L, 63-52",68,Away,1-2,,
2014,American,American,Sat Nov 23,249,209,Mount St. Mary's,"L, 68-64",59,Away,1-3,,
2014,American,American,Tue Nov 26,257,119,Columbia,"L, 61-47",56,Away,1-4,,
2014,American,American,Sat Nov 30,270,314,St. Francis PA,"W, 75-43",58,Away,2-4,,
2014,American,American,Wed Dec 4,215,332,Howard,"W, 76-53",66,Home,3-4,,
2014,American,American,Sat Dec 7,210,162,Brown,"L, 72-67",60,Home,3-5,,
2014,American,American,Thu Dec 19,218,65,Saint Mary's,"L, 59-44",56,Away,3-6,,
2014,American,American,Sun Dec 22,221,88,San Francisco,"L, 77-69",58,Away,3-7,,
2014,American,American,Sun Dec 29,216,336,Maryland Eastern Shore,"W, 71-58",64,Away,4-7,,
2014,American,American,Thu Jan 2,211,160,Bucknell,"W, 67-57",63,Away,5-7,1-0,
2014,American,American,Sun Jan 5,172,158,Holy Cross,"W, 69-54",64,Away,6-7,2-0,
2014,American,American,Wed Jan 8,134,292,Loyola MD,"W, 65-51",64,Home,7-7,3-0,
2014,American,American,Sat Jan 11,127,184,Colgate,"W, 69-62",55,Away,8-7,4-0,
2014,American,American,Wed Jan 15,109,242,Lehigh,"W, 65-63",60,Away,9-7,5-0,
2014,American,American,Sat Jan 18,109,245,Lafayette,"W, 66-61",62,Home,10-7,6-0,
2014,American,American,Wed Jan 22,117,126,Boston University,"W, 86-56",65,Home,11-7,7-0,
2014,American,American,Sat Jan 25,103,228,Army,"W, 84-74",64,Away,12-7,8-0,
2014,American,American,Wed Jan 29,95,308,Navy,"W, 74-52",60,Home,13-7,9-0,
2014,American,American,Sat Feb 1,91,158,Holy Cross,"W, 63-57",55,Home,14-7,10-0,
2014,American,American,Wed Feb 5,93,292,Loyola MD,"L, 62-58",57,Away,14-8,10-1,
2014,American,American,Sat Feb 8,96,184,Colgate,"L, 63-60",60,Home,14-9,10-2,
2014,American,American,Wed Feb 12,100,242,Lehigh,"W, 64-44",64,Home,15-9,11-2,
2014,American,American,Sat Feb 15,97,245,Lafayette,"L, 74-62",58,Away,15-10,11-3,
2014,American,American,Wed Feb 19,111,126,Boston University,"L, 71-62",63,Away,15-11,11-4,
2014,American,American,Sat Feb 22,115,228,Army,"W, 58-54",63,Home,16-11,12-4,
2014,American,American,Wed Feb 26,117,308,Navy,"W, 64-55",62,Away,17-11,13-4,
2014,American,American,Sat Mar 1,115,160,Bucknell,"L, 56-51",60,Home,17-12,13-5,
2014,American,American,Wed Mar 5,126,184,Colgate,"W, 59-50",63,Home,18-12,,Patriot League
2014,American,American,Sat Mar 8,122,158,Holy Cross,"W, 57-46",53,Home,19-12,,Patriot League
2014,American,American,Wed Mar 12,115,126,Boston University,"W, 55-36",56,Away,20-12,,Patriot League
2014,American,American,Thu Mar 20,96,5,Wisconsin,"L, 75-35",58,Neutral,20-13,,NCAA
