Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Arizona St.,Arizona St.,Fri Nov 8,54,323,UMBC,"W, 96-61",77,Home,1-0,,
2014,Arizona St.,Arizona St.,Tue Nov 12,45,218,Miami OH,"W, 90-54",71,Home,2-0,,
2014,Arizona St.,Arizona St.,Fri Nov 15,37,260,Idaho St.,"W, 88-60",70,Home,3-0,,
2014,Arizona St.,Arizona St.,Tue Nov 19,33,79,UNLV,"W, 86-80",81,Away,4-0,,
2014,Arizona St.,Arizona St.,Fri Nov 22,34,214,Bradley,"W, 70-58",60,Home,5-0,,
2014,Arizona St.,Arizona St.,Mon Nov 25,36,68,Marquette,"W, 79-77",64,Home,6-0,,
2014,Arizona St.,Arizona St.,Thu Nov 28,44,17,Creighton,"L, 88-60",68,Neutral,6-1,,
2014,Arizona St.,Arizona St.,Fri Nov 29,60,200,College of Charleston,"W, 80-58",64,Neutral,7-1,,
2014,Arizona St.,Arizona St.,Sun Dec 1,49,77,Miami FL,"L, 60-57",56,Neutral,7-2,,
2014,Arizona St.,Arizona St.,Fri Dec 6,65,183,DePaul,"W, 78-56",72,Away,8-2,,
2014,Arizona St.,Arizona St.,Sat Dec 14,47,350,Grambling St.,"W, 97-55",71,Home,9-2,,
2014,Arizona St.,Arizona St.,Sat Dec 21,44,80,Texas Tech,"W, 76-62",67,Home,10-2,,
2014,Arizona St.,Arizona St.,Sat Dec 28,38,90,UC Irvine,"W, 74-61",74,Home,11-2,,
2014,Arizona St.,Arizona St.,Thu Jan 2,39,98,Washington,"L, 76-65",73,Home,11-3,0-1,
2014,Arizona St.,Arizona St.,Sun Jan 5,53,190,Washington St.,"W, 66-47",64,Home,12-3,1-1,
2014,Arizona St.,Arizona St.,Thu Jan 9,44,151,USC,"W, 79-60",77,Away,13-3,2-1,
2014,Arizona St.,Arizona St.,Sun Jan 12,37,14,UCLA,"L, 87-72",75,Away,13-4,2-2,
2014,Arizona St.,Arizona St.,Thu Jan 16,36,2,Arizona,"L, 91-68",76,Away,13-5,2-3,
2014,Arizona St.,Arizona St.,Thu Jan 23,35,40,Utah,"W, 79-75",68,Home,14-5,3-3,
2014,Arizona St.,Arizona St.,Sat Jan 25,36,67,Colorado,"W, 72-51",66,Home,15-5,4-3,
2014,Arizona St.,Arizona St.,Wed Jan 29,34,60,California,"W, 89-78",80,Away,16-5,5-3,
2014,Arizona St.,Arizona St.,Sat Feb 1,28,34,Stanford,"L, 76-70",69,Away,16-6,5-4,
2014,Arizona St.,Arizona St.,Thu Feb 6,31,107,Oregon St.,"W, 86-82",81,Home,17-6,6-4,
2014,Arizona St.,Arizona St.,Sat Feb 8,33,28,Oregon,"W, 74-72",73,Home,18-6,7-4,
2014,Arizona St.,Arizona St.,Fri Feb 14,33,2,Arizona,"W, 69-66",77,Home,19-6,8-4,
2014,Arizona St.,Arizona St.,Wed Feb 19,30,67,Colorado,"L, 61-52",66,Away,19-7,8-5,
2014,Arizona St.,Arizona St.,Sun Feb 23,33,40,Utah,"L, 86-63",77,Away,19-8,8-6,
2014,Arizona St.,Arizona St.,Wed Feb 26,42,34,Stanford,"W, 76-64",65,Home,20-8,9-6,
2014,Arizona St.,Arizona St.,Sat Mar 1,38,60,California,"W, 78-60",62,Home,21-8,10-6,
2014,Arizona St.,Arizona St.,Tue Mar 4,33,28,Oregon,"L, 85-78",72,Away,21-9,10-7,
2014,Arizona St.,Arizona St.,Sat Mar 8,36,107,Oregon St.,"L, 78-76",71,Away,21-10,10-8,
2014,Arizona St.,Arizona St.,Thu Mar 13,36,34,Stanford,"L, 79-58",65,Neutral,21-11,,Pac 12
2014,Arizona St.,Arizona St.,Thu Mar 20,49,41,Texas,"L, 87-85",70,Neutral,21-12,,NCAA
