Season,TeamCanonical,TeamKP,Date,Team Rank,Opponent Rank,Opponent Name,Result,Possession Number,Location,Record,Conference,Postseason
2014,Cal Poly,Cal Poly,Fri Nov 8,152,2,Arizona,"L, 73-62",61,Away,0-1,,
2014,Cal Poly,Cal Poly,Tue Nov 12,147,143,Nevada,"L, 60-58",62,Home,0-2,,
2014,Cal Poly,Cal Poly,Wed Nov 20,173,116,Fresno St.,"L, 63-46",61,Away,0-3,,
2014,Cal Poly,Cal Poly,Sat Nov 23,197,NR,Bethesda,"W, 78-39",61,Home,1-3,,
2014,Cal Poly,Cal Poly,Fri Nov 29,204,264,North Dakota,"W, 70-43",65,Neutral,2-3,,
2014,Cal Poly,Cal Poly,Sat Nov 30,151,148,Pacific,"L, 73-71",63,Neutral,2-4,,
2014,Cal Poly,Cal Poly,Sun Dec 1,150,28,Oregon,"L, 82-61",61,Away,2-5,,
2014,Cal Poly,Cal Poly,Sat Dec 7,159,154,Santa Clara,"W, 64-53",61,Home,3-5,,
2014,Cal Poly,Cal Poly,Sat Dec 14,139,NR,Cal St. Dominguez Hill,"W, 85-49",66,Home,4-5,,
2014,Cal Poly,Cal Poly,Tue Dec 17,134,178,Loyola Marymount,"L, 79-59",68,Away,4-6,,
2014,Cal Poly,Cal Poly,Sat Dec 21,162,16,Pittsburgh,"L, 73-56",62,Away,4-7,,
2014,Cal Poly,Cal Poly,Sun Dec 29,165,34,Stanford,"L, 79-62",66,Away,4-8,,
2014,Cal Poly,Cal Poly,Sat Jan 4,180,106,Delaware,"L, 82-72",68,Away,4-9,,
2014,Cal Poly,Cal Poly,Thu Jan 9,176,137,Hawaii,"W, 77-65",66,Home,5-9,1-0,
2014,Cal Poly,Cal Poly,Sat Jan 11,157,102,UC Santa Barbara,"W, 72-64",57,Away,6-9,2-0,
2014,Cal Poly,Cal Poly,Thu Jan 16,123,223,Cal St. Northridge,"W, 62-52",56,Home,7-9,3-0,
2014,Cal Poly,Cal Poly,Sat Jan 18,117,144,Long Beach St.,"L, 63-62",56,Home,7-10,3-1,
2014,Cal Poly,Cal Poly,Thu Jan 23,127,249,Cal St. Fullerton,"W, 58-56",55,Away,8-10,4-1,
2014,Cal Poly,Cal Poly,Sat Jan 25,123,273,UC Riverside,"L, 61-58",55,Away,8-11,4-2,
2014,Cal Poly,Cal Poly,Thu Jan 30,133,316,UC Davis,"L, 62-58",58,Home,8-12,4-3,
2014,Cal Poly,Cal Poly,Sat Feb 1,157,90,UC Irvine,"L, 64-50",58,Home,8-13,4-4,
2014,Cal Poly,Cal Poly,Sat Feb 8,176,137,Hawaii,"L, 69-60",60,Away,8-14,4-5,
2014,Cal Poly,Cal Poly,Thu Feb 13,181,223,Cal St. Northridge,"W, 62-55",64,Away,9-14,5-5,
2014,Cal Poly,Cal Poly,Sat Feb 15,172,144,Long Beach St.,"L, 74-65",65,Away,9-15,5-6,
2014,Cal Poly,Cal Poly,Thu Feb 20,175,249,Cal St. Fullerton,"L, 67-59",66,Home,9-16,5-7,
2014,Cal Poly,Cal Poly,Sat Feb 22,193,273,UC Riverside,"W, 69-64",59,Home,10-16,6-7,
2014,Cal Poly,Cal Poly,Thu Feb 27,195,316,UC Davis,"L, 85-73",63,Away,10-17,6-8,
2014,Cal Poly,Cal Poly,Sat Mar 1,209,90,UC Irvine,"L, 55-48",57,Away,10-18,6-9,
2014,Cal Poly,Cal Poly,Sat Mar 8,215,102,UC Santa Barbara,"L, 71-55",58,Home,10-19,6-10,
2014,Cal Poly,Cal Poly,Thu Mar 13,229,102,UC Santa Barbara,"W, 69-38",53,Neutral,11-19,,Big West
2014,Cal Poly,Cal Poly,Fri Mar 14,179,90,UC Irvine,"W, 61-58",55,Neutral,12-19,,Big West
2014,Cal Poly,Cal Poly,Sat Mar 15,171,223,Cal St. Northridge,"W, 61-59",60,Neutral,13-19,,Big West
2014,Cal Poly,Cal Poly,Wed Mar 19,177,259,Texas Southern,"W, 81-69",62,Neutral,14-19,,NCAA
2014,Cal Poly,Cal Poly,Fri Mar 21,168,6,Wichita St.,"L, 64-37",60,Neutral,14-20,,NCAA
